Aphrika	Африка
Tawa	4 (число)
Pichqa	5 (число)
Ch'usaq yupay	0 (число)
Stephen Harper	Харпер, Стивен
George Walker Bush	Буш, Джордж Уокер
Wask'a	Прямоугольник
Chiqan chhuka	Прямой угол
Litunya	Латвия
Ukranya	Украина
Chiksuyu	Чехия
Isluwakya	Словакия
Isluwinya	Словения
Vilnius	Вильнюс
Mulduwa	Молдавия
Rumanya	Румыния
Bulgarya	Болгария
Roma	Рим
Makidunya	Республика Македония
Albanya	Албания
Kalalit Suyu	Гренландия (административная единица)
Hurwatsuyu	Хорватия
Busna-Hirsiquwina	Босния и Герцеговина
Asarsuyu	Азербайджан
Andurra	Андорра
Kipru	Республика Кипр
Kartulsuyu	Грузия
Qasaqsuyu	Казахстан
Malta	Мальта
Munaku	Монако
Yanaurqu	Черногория
Watikanu llaqta	Ватикан
San Marino	Сан-Марино
Brussel	Брюссель
Kuwa	Куба
Bilisi	Белиз
Yatana llumpa	Компьютерная клавиатура
Indunisya	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Turku simi	Турецкий язык
Urin Aphrika	Южно-Африканская Республика
Alhirya	Алжир
Usbiksuyu	Узбекистан
Poznań	Познань
Warszawa	Варшава
Modena	Модена
Winu	Вино
Yaku	Вода
Qiru	Древесина
Ñawikaruy	Телевидение
Islandya simi	Исландский язык
Claude Monet	Моне, Клод
Diego Velázquez	Веласкес, Диего
Chili	Чили
El Greco	Эль Греко
Jesus	Иисус Христос
Elvis Presley	Пресли, Элвис
Galileo Galilei	Галилей, Галилео
Qatuylla	Меркурий
Wiñay kawsay	История
Ch'aska	Венера
Rimay	Язык
Khuyay	Любовь
Llaqta saruy	Диктатура
Ñuñu warani	Галактика
Pirwa	Юпитер
Michelle Bachelet	Бачелет, Мишель
Qullqaquyllur	Млечный Путь
Hatun t'uqyay	Большой взрыв
Uranu (puriq quyllur)	Уран (планета)
Bretagne	Бретань (историческая область)
Nicolas Sarkozy	Саркози, Николя
Niptun (puriq quyllur)	Нептун
Quyllur yachay	Астрономия
Singapur	Сингапур
Hamut'ay	Наука
Plutun (tuna puriq quyllur)	Плутон
Montreal	Монреаль
Qhipa pacha	Будущее
Qullana Mariya	Богородица
Liechtenstein	Лихтенштейн
Kurku kallpanchay	Спорт
Cambridge	Кембридж
Yellowstone mamallaqta parki	Йеллоустон
Adolf Hitler	Гитлер, Адольф
Huk ñiqin pachantin maqanakuy	Первая мировая война
Iskay ñiqin pachantin maqanakuy	Вторая мировая война
Köln	Кёльн
Pacha tupuq	Часы
Skopje	Скопье
Gdynia	Гдыня
Linux	Linux
Szczecin	Щецин
Yupay yachay	Математика
U2	U2
Latin simi	Латинский язык
Bahrayn	Бахрейн
Arminya	Армения
Sirbya	Сербия
Killa	Луна
Istanbul	Стамбул
Awstralya	Австралия
Bob Marley	Марли, Боб
Carl Sagan	Саган, Карл
Pachaykamay	Физика
Arhintina	Аргентина
Piruw	Перу
Kawsay yachay	Биология
Chusun Runakapaq Runallaqta Republika	Корейская Народно-Демократическая Республика
Kambuya	Камбоджа
Quran	Коран
Dinusawru	Динозавры
Suwuluhiya	Зоология
Islam	Ислам
Pira	Груша
Ljubljana	Любляна
Salvador Allende	Альенде, Сальвадор
Butanika	Ботаника
Lech Wałęsa	Валенса, Лех
Qalla	Колесо
Thak	Мир (отсутствие войны)
Lyon	Лион
Iwrupa Huñu	Европейский союз
Rhône-Alpes	Рона — Альпы
Warmi	Женщина
Sofiya	София
Witkhu	Акведук
Ñ	Ñ
Don Quijote	Дон Кихот (роман)
Harawi	Поэзия
Qilla	Лень
Antañiqiq añaw	Компьютерный вирус
Asikuy	Улыбка
Milano	Милан
Yuyay	Память
Torino	Турин
Aka	Кал
Sip'uti	Анус
Puquy k'allku	Лимон
Émile Zola	Золя, Эмиль
666	666 год
Tuktu	Цветок
Chomolungma	Джомолунгма
Kurkumanta yachay	Анатомия
Hatun llaqta	Город
Napoléon Bonaparte	Наполеон I
Quyllur	Звезда
Inti	Солнце
Hanaq pacha	Небо
Louis Pasteur	Пастер, Луи
Achkiy wata	Световой год
Uchuy llaqta	Село
Victor Hugo	Гюго, Виктор
Usiyanya	Океания
Giuseppe Garibaldi	Гарибальди, Джузеппе
Kallpanakuy	Лёгкая атлетика
Inti Llika	Солнечная система
Baltiku hatun qucha	Балтийское море
Trieste	Триест
Kiru	Зуб (биология)
Yakuchaq	Водород
Ilyu	Гелий
Ukhu pacha	Ад
Wikimedia Commons	Викисклад
Angela Merkel	Меркель, Ангела
Lityu	Литий
Berilyu	Бериллий
Ruqyaq	Громкоговоритель
Liwru	Книга
P'unchaw	Сутки
Anti Timur	Восточный Тимор
Tuta	Ночь
Wata	Год
Pachakwata	Век
Łódź	Лодзь
Rhein	Рейн
Oslo	Осло
Bonn	Бонн
Tukuy Santukuna	Собор всех святых
Katowice	Катовице
Luís de Camões	Камоэнс, Луис де
Chinaku	Гей
Siris (tuna puriq quyllur)	Церера
Lisboa	Лиссабон
Rzeszów	Жешув
Haumea (puriq quyllur)	Хаумеа
Makemake (tuna puriq quyllur)	Макемаке
Eris (tuna puriq quyllur)	Эрида
Lionel Messi	Месси, Лионель
Padova	Падуя
Boru	Бор (элемент)
Nicolaus Copernicus	Коперник, Николай
K'illimsayaq	Углерод
Alessandro Del Piero	Дель Пьеро, Алессандро
Qullpachaq	Азот
Bergamo	Бергамо
Muksichaq	Кислород
Inter Milano	Интернационале
Pachahina	Планета
Kleopatra VII	Клеопатра
Taki kapchiy	Музыка
Venezia	Венеция
Rennes	Ренн
Lille	Лилль
Moskwa	Москва
Flur	Фтор
Italya simi	Итальянский язык
Niyun	Неон
Chihuahua suyu	Чиуауа
Sankt Peterburg	Санкт-Петербург
Chad	Чад
Natriyu	Натрий
Chincha	Север
Qunta q'illay	Магний
Ch'aqu q'illay	Алюминий
Musuq Silanda	Новая Зеландия
Urin	Юг
Indya	Индия
Ullayayaq	Кремний
Fransyu	Франций
Tuwalu	Тувалу
Phusphuru	Фосфор
Khillay	Железо
Tunqa	Тонга
Kunti	Запад
Alessandro Volta	Вольта, Алессандро
Salina	Сера
Samwa	Самоа
Anti	Восток
Salumun wat'akuna	Соломоновы Острова
Wanwatu	Вануату
Molière	Мольер
Kluru	Хлор
Delft	Делфт
Papwa Ñukini	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Zuid-Holland pruwinsya	Южная Голландия
Palaw	Палау
Argun	Аргон
Nawru	Науру
Noord-Holland pruwinsya	Северная Голландия
Mikrunisya (mama llaqta)	Федеративные Штаты Микронезии
Kalyu	Калий
Zeeland pruwinsya	Зеландия (провинция)
Isku q'illay	Кальций
Flevoland pruwinsya	Флеволанд
Titi	Свинец
Marshall Wat'akuna	Маршалловы Острова
Kiribati	Кирибати
Mungul suyu	Монголия
Phiyi	Фиджи
Iskandyu	Скандий
Titanyu	Титан (элемент)
Winisuyla	Венесуэла
Qhapaq chunkana	Шахматы
Wanadyu	Ванадий
Maine suyu	Мэн (штат)
Krumu	Хром
Kawallu	Домашняя лошадь
Amsterdam	Амстердам
Ayñi	Оружие
Uywa	Животные
Surinam	Суринам
Manganisu	Марганец
Parawayi	Парагвай
Wayana	Гайана
Kapchiy	Искусство
Ikwadur	Эквадор
Renyu	Рений
Kulumbya	Колумбия
Kubaltu	Кобальт
Wolframyu	Вольфрам
Nikil	Никель
Muntipuquy	Земляника
Budismu	Буддизм
Groningen	Гронинген (город)
Puliwya	Боливия
Osmiyu	Осмий
Groningen pruwinsya	Гронинген (провинция)
Anta	Медь
Trinidad Tubaguwan	Тринидад и Тобаго
Yura	Растения
Tsinku	Цинк
New Hampshire suyu	Нью-Гэмпшир
Santa Lusiya wat'a	Сент-Люсия
Białystok	Белосток
Leonardo da Vinci	Леонардо да Винчи
San Kits Niwiswan	Сент-Китс и Невис
K'allampa	Грибы
Shamayka	Ямайка
Grinada	Гренада
Friesland pruwinsya	Фрисландия (Нидерланды)
Massachusetts suyu	Массачусетс
Drenthe pruwinsya	Дренте
Overijssel pruwinsya	Оверэйссел
Watimala	Гватемала
Gelderland	Гелдерланд
Utrecht pruwinsya	Утрехт (провинция)
Bahamakuna	Багамские Острова
Connecticut suyu	Коннектикут
Wallpa	Курица
Hawaii suyu	Гавайи
Unduras	Гондурас
Duminika	Доминика
Duminikana	Доминиканская Республика
Khuchi	Домашняя свинья
Artiku mama qucha	Северный Ледовитый океан
Ayti (mama llaqta)	Республика Гаити
Salwadur	Сальвадор
Zwolle	Зволле
Iran	Иран
Iraq	Ирак
Alaska suyu	Аляска
Assen	Ассен
Kustarika	Коста-Рика
Israyil	Израиль
Nowy Sącz	Новы-Сонч
Utrecht	Утрехт
Panama	Панама
Yaman	Йемен
Lausanne	Лозанна
Añaw	Вирусы
Pulaku simi	Польский язык
Hurdanya	Иордания
Nikarawa	Никарагуа
Florida suyu	Флорида
Kirkisuyu	Киргизия
Arizona suyu	Аризона
Kuwait	Кувейт
Law suyu	Лаос
Libanu	Ливан
Oregon suyu	Орегон
Maldiwakuna	Мальдивы
Awya Yala (Mulanpi)	Америка
Utah suyu	Юта
Waaka	Корова
Malasya	Малайзия
Myanmar	Мьянма
Nipal	Непал
Uman	Оман
Pakistan	Пакистан
Qatar	Катар
Sawud Arabya	Саудовская Аравия
Sri Lanka	Шри-Ланка
Yosif Stalin	Сталин, Иосиф Виссарионович
Sirya	Сирия
Platon	Платон
Galyu	Галлий
Tayiksuyu	Таджикистан
Chunwa Republika	Китайская Республика
Germanyu	Германий
Aristotelis	Аристотель
Thaysuyu	Таиланд
Antakuru	Поезд
Arsiniku	Мышьяк
Ankichiy	Радио
Turkminsuyu	Туркмения
Silinyu	Селен
Iridyu	Иридий
Hukllachasqa Arab Imiratukuna	Объединённые Арабские Эмираты
Bromu	Бром
Qullqiya	Платина
Witnam	Вьетнам
Charlie Chaplin	Чаплин, Чарльз
Nowosibirsk	Новосибирск
Tayhan Republika	Республика Корея
Jekaterinburg	Екатеринбург
Kriptun	Криптон
Afgansuyu	Афганистан
Nizhniy Novgorod	Нижний Новгород
John Ronald Reuel Tolkien	Толкин, Джон Рональд Руэл
Samara	Самара
Rubidyu	Рубидий
Quri	Золото
Omsk	Омск
Kazan	Казань
Yachaq	Учёный
Banladish	Бангладеш
Franz Kafka	Кафка, Франц
Jorge Luis Borges	Борхес, Хорхе Луис
Ufa	Уфа
Mali	Мали
Sokratis	Сократ
Angula	Ангола
Butan	Бутан
Bruniy	Бруней
Tansanya	Танзания
Yaku qullqi	Ртуть
Roald Amundsen	Амундсен, Руаль
Philipinakuna	Филиппины
Chawpi Aphrika Ripuwlika	Центральноафриканская Республика
Thalyu	Таллий
Urin qhipa	Южный полюс
Chinchay qhipa	Северный полюс
Isaac Newton	Ньютон, Исаак
Albert Einstein	Эйнштейн, Альберт
Istronsyu	Стронций
Itriyu	Иттрий
Wismutu	Висмут
Q'illu	Жёлтый цвет
Tugu	Того
Donald Tusk	Туск, Дональд
Tunisya	Тунис
John Bardeen	Бардин, Джон
Sambya	Замбия
Simbabwi	Зимбабве
Pikkin	Пекин
Urin Sudan	Южный Судан
Binin	Бенин
Butswana	Ботсвана
Burkina Phasu	Буркина-Фасо
Burundi	Бурунди
Kumurakuna	Коморы
Kungu Ripuwlika	Республика Конго
Obi mayu	Обь
Kungu Runakamaq Ripuwlika	Демократическая Республика Конго
San Antonio (Texas)	Сан-Антонио
Yiwuti	Джибути
Polonyu	Полоний
Bayern	Бавария
Chawpipacha Khiniya	Экваториальная Гвинея
Baden-Württemberg	Баден-Вюртемберг
Iritriya	Эритрея
Musuq Dilhi	Нью-Дели
Huwan Pawlu II	Иоанн Павел II
Fedor Dostoievski	Достоевский, Фёдор Михайлович
Tbilisi	Тбилиси
Pallpa	Младенец
Astatu	Астат
Gabun	Габон
Mohandas Gandhi	Махатма Ганди
Siq'isqa rikchasapa willakuy	Комикс
Gambya	Гамбия
Khiniya	Гвинея
Khiniya-Wisaw	Гвинея-Бисау
Marphil Chala	Кот-д’Ивуар
Kamirun	Камерун
Q'umir Kawu	Кабо-Верде
Suthusuyu	Лесото
Libirya	Либерия
Libya	Ливия
Aachen	Ахен
Madagaskar	Мадагаскар
Malawi	Малави
Stuttgart	Штутгарт
Muritanya	Мавритания
Mawrisyu	Маврикий
Maruku	Марокко
Musambik	Мозамбик
Namiwya	Намибия
Niqir	Нигер
Niqirya	Нигерия
Charles Darwin	Дарвин, Чарлз
Uganda	Уганда
Rwanda	Руанда
Sirkonyu	Цирконий
Santu Tumiy Prinsipipas	Сан-Томе и Принсипи
Sinigal	Сенегал
Sichillakuna	Сейшельские Острова
Carl von Linné	Линней, Карл
Liyun Urqu	Сьерра-Леоне
Sumalya	Сомали
Niyobyu	Ниобий
Jawaharlal Nehru	Неру, Джавахарлал
Gaius Iulius Caesar	Гай Юлий Цезарь
Sudan	Судан
Swasisuyu	Свазиленд
K'uychi	Радуга
Molibdenu	Молибден
Teknesyu	Технеций
Hamburg	Гамбург
Imayay yamkiy	Обмен веществ
Unquy hark'ay	Иммунная система
Ontario qucha	Онтарио (озеро)
Rikch'aqyay	Эволюция
Huñusqa Nasyunkuna	Организация Объединённых Наций
Hananqucha	Верхнее (озеро)
Dante Alighieri	Данте Алигьери
Allpa saywachi	География
Sunqu	Сердце
Ñutqu	Головной мозг
Qara	Кожа
Llimphi	Цвет
Salerno	Салерно
Sutirimana	Имя существительное
Praha	Прага
Ruthenyu	Рутений
Rodyu	Родий
Anqas	Синий цвет
Paladyu	Палладий
Qullqi q'illay	Серебро
Kadmiyu	Кадмий
Limburg (Urasuyu) pruwinsya	Лимбург (Нидерланды)
Indyu	Индий
Chayanta	Олово
Uranyu	Уран (элемент)
Antimunyu	Сурьма
Teluryu	Теллур
Noord-Brabant pruwinsya	Северный Брабант
Plutonyu	Плутоний
Yudu	Иод
Neptunyu	Нептуний
Senun	Ксенон
Anime	Аниме
Sesyu	Цезий
Protaktinyu	Протактиний
Pinchikilla chaqna	Электрический заряд
Baryu	Барий
Thoryu	Торий
Hafniyu	Гафний
Aktinyu	Актиний
Tantalyu	Тантал (элемент)
Bill Clinton	Клинтон, Билл
Radyu q'illay	Радий
Radun	Радон
Lorraine	Лотарингия
Alsace	Эльзас
Jean-Philippe Rameau	Рамо, Жан-Филипп
Indira Gandhi	Ганди, Индира
Auvergne	Овернь
Busto Arsizio	Бусто-Арсицио
Mumbai	Мумбаи
Andhra Pradesh	Андхра-Прадеш
Michigan suyu	Мичиган
Michigan qucha	Мичиган (озеро)
Bourgogne	Бургундия
Aquitaine	Аквитания (регион)
Burinkin	Пуэрто-Рико
Limousin	Лимузен (регион)
Schleswig-Holstein	Шлезвиг-Гольштейн
Mecklenburg-Vorpommern	Мекленбург-Передняя Померания
Niedersachsen	Нижняя Саксония
Nordrhein-Westfalen	Северный Рейн-Вестфалия
Hessen	Гессен
Rheinland-Pfalz	Рейнланд-Пфальц
Saarland	Саар
Sachsen	Саксония (земля)
John Lennon	Леннон, Джон
Illinois suyu	Иллинойс
Thüringen	Тюрингия
Sachsen-Anhalt	Саксония-Анхальт
North Dakota suyu	Северная Дакота
Brandenburg	Бранденбург
Bremen suyu	Бремен (земля)
Lombardia	Ломбардия
South Dakota suyu	Южная Дакота
Montana suyu	Монтана
Wyoming suyu	Вайоминг
Piemonte	Пьемонт
Yerushalayim	Иерусалим
Idaho suyu	Айдахо
Washington suyu	Вашингтон (штат)
Rutherfordyu	Резерфордий
Nevada suyu	Невада
Dubniyu	Дубний
Seaborgyu	Сиборгий
Trentino Urin Tirul	Трентино — Альто-Адидже
Indiku mama qucha	Индийский океан
Luigi Einaudi	Эйнауди, Луиджи
Veneto	Венето
Kusuwu	Республика Косово
Bohriyu	Борий
Hasyu	Хассий
Kofi Annan	Аннан, Кофи
Liguria	Лигурия
Butros Butros-Ghali	Бутрос-Гали, Бутрос
Meitneryu	Мейтнерий
Javier Pérez de Cuéllar	Перес де Куэльяр, Хавьер
Kurt Waldheim	Вальдхайм, Курт
Colorado suyu	Колорадо
Emilia-Romagna	Эмилия-Романья
U Thant	У Тан
Darmstadtiyu	Дармштадтий
Dag Hammarskjöld	Хаммаршёльд, Даг
Frédéric Chopin	Шопен, Фредерик
Trygve Lie	Ли, Трюгве
Roentgenyu	Рентгений
Toscana	Тоскана
Kopernisyu	Коперниций
Katiguriya:Qhapaq katiguriya	Категория:Всё
Abruzzo	Абруццо
Alpikuna	Альпы
Grenoble	Гренобль
Dortmund	Дортмунд
Chicago	Чикаго
The Beatles	The Beatles
Ununtriyu	Унунтрий
Ununkwadyu	Флеровий
Ununpentyu	Унунпентий
Ununheksiyu	Ливерморий
Ununseptiyu	Унунсептий
Ununoktiyu	Унуноктий
Como	Комо
Maastricht	Маастрихт
Arnhem	Арнем
Chiri mit'a	Зима
Ch'iraw mit'a	Весна
Ruphay mit'a	Лето
Puquy mit'a	Осень
Saddam Hussein	Саддам Хусейн
Kastilla simi	Испанский язык
Montevideo	Монтевидео
Johann Sebastian Bach	Бах, Иоганн Себастьян
Antonio Vivaldi	Вивальди, Антонио
Taki aranway	Опера
Philadelphia (Pennsylvania)	Филадельфия
Kolkata	Калькутта
Chennai	Ченнаи
Dilhi	Дели
Bangalore	Бангалор
Kunti Banla	Западная Бенгалия
Awaq uru	Пауки
Pakcha	Паукообразные
Sillwichaki	Членистоногие
Ruru	Плод
K'usillu	Обезьяны
Rantina qullqi	Деньги
Virginia suyu	Виргиния
West Virginia suyu	Западная Виргиния
Wata uchu	Перец овощной
Huron qucha	Гурон
New York suyu	Нью-Йорк (штат)
Seryu	Церий
Praseodimyu	Празеодим
Rhode Island suyu	Род-Айленд
Neodimyu	Неодим
Palama	Насекомые
Maryland suyu	Мэриленд
Delaware suyu	Делавэр
Lenin	Ленин, Владимир Ильич
Iwrupyu	Европий
Ohio suyu	Огайо
Pennsylvania suyu	Пенсильвания
Petrarca	Франческо Петрарка
Giovanni Boccaccio	Джованни Боккаччо
Uetersen	Итерзен
Augustus	Октавиан Август
Windows	Windows
New Jersey suyu	Нью-Джерси
Phinis simi	Финский язык
Indiana suyu	Индиана
Antawa	Автомобиль
Juventus FC	Ювентус
Roger Federer	Федерер, Роджер
Georgia suyu	Джорджия
Zagreb	Загреб
Texas suyu	Техас
Tamil Nadu	Тамилнад
Genova	Генуя
North Carolina suyu	Северная Каролина
South Carolina suyu	Южная Каролина
Sicilia	Сицилия
Manila	Манила
Sardegna	Сардиния
Bordeaux	Бордо
Corazón Aquino	Акино, Корасон
Buenos Aires	Буэнос-Айрес
Mishiku llaqta	Мехико
Tokyo	Токио
Chuqiyapu	Ла-Пас (Боливия)
Barcelona	Барселона
Chirimaway	Ананас крупнохохолковый
Mississippi suyu	Миссисипи (штат)
Fernão de Magalhães	Магеллан, Фернан
Mississippi mayu	Миссисипи
Mizoram	Мизорам
Pataqunya	Патагония
Tennessee suyu	Теннесси
Richard Wagner	Вагнер, Рихард
Astana	Астана
Musuq Mishiku suyu	Нью-Мексико
Athina	Афины
Minnesota suyu	Миннесота
Bagdad	Багдад
Karakas	Каракас
Wisconsin suyu	Висконсин
Marcus Tullius Cicero	Марк Туллий Цицерон
AC Milan	Милан (футбольный клуб)
Iowa suyu	Айова
Nebraska suyu	Небраска
Watimala llaqta	Гватемала (город)
Kansas suyu	Канзас
La Habana	Гавана
Hindi simi	Хинди
Marathi simi	Маратхи (язык)
Siyaru	Сигарета
Missouri suyu	Миссури (штат)
Louisiana suyu	Луизиана
Luigi Galvani	Гальвани, Луиджи
Kentucky suyu	Кентукки
Arkansas suyu	Арканзас
Neil Armstrong	Армстронг, Нил
Urdu simi	Урду
Oklahoma suyu	Оклахома
Danuwyu mayu	Дунай
Düsseldorf	Дюссельдорф
Wiesbaden	Висбаден
München	Мюнхен
Makiyasiy	Волейбол
Innsbruck	Инсбрук
Wien	Вена
København	Копенгаген
Stockholm	Стокгольм
Helsinki	Хельсинки
Baile Átha Cliath	Дублин
Reykjavík	Рейкьявик
Ella Fitzgerald	Фицджеральд, Элла
Tallinn	Таллин
Riga	Рига
Louis Armstrong	Армстронг, Луи
Bratislava	Братислава
Budapest	Будапешт
Gdańsk	Гданьск
Frankfurt am Main	Франкфурт-на-Майне
Wrocław	Вроцлав
Lanthanu	Лантан
Prometyu	Прометий
Samaryu	Самарий
Kaliningrad	Калининград
Gadolinyu	Гадолиний
Zinedine Zidane	Зидан, Зинедин
Terbyu	Тербий
Laurent Blanc	Блан, Лоран
Luksimbur (llaqta)	Люксембург (город)
Disprosyu	Диспрозий
Vaduz	Вадуц
Dyuspa Simin Qillqa	Библия
Holmyu	Гольмий
San Marino (uma llaqta)	Сан-Марино (город)
Erbyu	Эрбий
Phnom Penh	Пномпень
Thulyu	Тулий
Ho Chi Minh llaqta	Хошимин
Iterbyu	Иттербий
Lutesyu	Лютеций
Ha Nui	Ханой
Chiqap Jesuspa Inlisyan	Церковь истинного Иисуса
Inlish simi	Английский язык
Bangkok	Бангкок
Andorra la Vella	Андорра-ла-Велья
T'aypik	Тайбэй
Amerisyu	Америций
Kuriyu	Кюрий
Dong Hoi	Донгхой
Concepción (Chile)	Консепсьон (город, Чили)
Berkelyu	Берклий
Kalifornyu	Калифорний
Bologna	Болонья
Einsteinyu	Эйнштейний
Fermyu	Фермий
Cagliari	Кальяри
Mendelewyu	Менделевий
Kiyiw	Киев
Nobelyu	Нобелий
Catania	Катания
Ontario pruwinsya	Онтарио
Lawrensyu	Лоуренсий
Caserta	Казерта
Mathieu Debuchy	Дебюши, Матьё
Karim Benzema	Бензема, Карим
Franck Ribéry	Рибери, Франк
Ottawa	Оттава
Éric Abidal	Абидаль, Эрик
Nicolas Anelka	Анелька, Николя
Jérémy Toulalan	Тулалан, Жереми
Manitoba pruwinsya	Манитоба
Alberta pruwinsya	Альберта
Nova Scotia pruwinsya	Новая Шотландия
Yerevan	Ереван
Końskowola	Коньсковоля
Dar es Salaam	Дар-эс-Салам
New Brunswick pruwinsya	Нью-Брансуик
British Columbia pruwinsya	Британская Колумбия
Prince Edward Island pruwinsya	Остров Принца Эдуарда
2000	2000 год
2003	2003 год
2002	2002 год
2001	2001 год
Saskatchewan pruwinsya	Саскачеван
2012	2012 год
2011	2011 год
2010	2010 год
2009	2009 год
Chimlasay	Диоксид углерода
2013	2013 год
2014	2014 год
2015	2015 год
Newfoundland wan Labrador pruwinsya	Ньюфаундленд и Лабрадор
2008	2008 год
2004	2004 год
2005	2005 год
2006	2006 год
Cesare Pavese	Павезе, Чезаре
2007	2007 год
Verona	Верона
1900	1900 год
1901	1901 год
François Mitterrand	Миттеран, Франсуа
Charles de Gaulle	Де Голль, Шарль
1902	1902 год
Firenze	Флоренция
1903	1903 год
1904	1904 год
1905	1905 год
1907	1907 год
1906	1906 год
ACF Fiorentina	Фиорентина
1908	1908 год
1909	1909 год
1992	1992 год
1991	1991 год
1990	1990 год
1993	1993 год
Essen	Эссен
1994	1994 год
1995	1995 год
Juan Manuel Fangio	Фанхио, Хуан Мануэль
1996	1996 год
1910	1910 год
1911	1911 год
1912	1912 год
Leipzig	Лейпциг
1913	1913 год
Saint John (Newfoundland wan Labrador)	Сент-Джонс (Ньюфаундленд и Лабрадор)
1914	1914 год
1915	1915 год
1916	1916 год
1997	1997 год
1998	1998 год
1999	1999 год
1917	1917 год
1918	1918 год
Mikhuna	Пища
Edmonton	Эдмонтон
Mach'aqway	Змеи
Jacques Chirac	Ширак, Жак
Arika Parinaqutapas suyu	Арика-и-Паринакота
Tarapaka suyu	Тарапака
Antofagasta suyu	Антофагаста (область)
Atakama suyu	Атакама (область)
Kukimpu suyu	Кокимбо (область)
Regina (Saskatchewan)	Реджайна
Valéry Giscard d'Estaing	Жискар д’Эстен, Валери
Charlottetown	Шарлоттаун
Santiago suyu	Столичная область (Чили)
Victoria (British Columbia)	Виктория (Британская Колумбия)
O'Higgins suyu	Либертадор-Хенераль-Бернардо-О’Хиггинс
Winnipeg	Виннипег
Fredericton	Фредериктон
Halifax (Nova Scotia)	Галифакс (Новая Шотландия)
Quebec llaqta	Квебек (город)
1 ñiqin qhulla puquy killapi	1 января
2 ñiqin qhulla puquy killapi	2 января
1920	1920 год
3 ñiqin qhulla puquy killapi	3 января
