Afrika	Африка
Indonezija	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Turski jezik	Турецкий язык
Mandelbrotov skup	Множество Мандельброта
Južnoafrička Republika	Южно-Африканская Республика
Jean-François Champollion	Шампольон, Жан-Франсуа
Linkin Park	Linkin Park
Alžir	Алжир
Wikizvor	Викитека
Uzbekistan	Узбекистан
Poznanj	Познань
Taškent	Ташкент
Varšava	Варшава
Pjesma Eurovizije	Конкурс песни Евровидение
Modena	Модена
Viski	Виски
Vino	Вино
Voda	Вода
Koža (materijal)	Кожа (материал)
Drvo (materijal)	Древесина
Tours	Тур (город)
Televizija	Телевидение
Spol	Пол организмов
Pornografija	Порнография
Islandski jezik	Исландский язык
Claude Monet	Моне, Клод
Diego Velázquez	Веласкес, Диего
Čile	Чили
El Greco	Эль Греко
Isus	Иисус Христос
Elvis Presley	Пресли, Элвис
Tjelesna kazna	Телесные наказания
Galileo Galilei	Галилей, Галилео
Merkur	Меркурий
Povijest	История
Groblje Père-Lachaise	Пер-Лашез
Apple Inc.	Apple
Venera	Венера
Jezik	Язык
Ljubav	Любовь
Diktatura	Диктатура
Galaktika	Галактика
Jupiter	Юпитер
Michelle Bachelet	Бачелет, Мишель
Mliječni put	Млечный Путь
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Лланвайр-Пуллгвингилл
Veliki prasak	Большой взрыв
Uran	Уран (планета)
Bretanja	Бретань (историческая область)
Wikipedija na engleskom jeziku	Английская Википедия
Nicolas Sarkozy	Саркози, Николя
Bitka kod Marignana	Битва при Мариньяно
Neptun	Нептун
Astronomija	Астрономия
Singapur	Сингапур
Znanost	Наука
Chargoggagoggmanchauggagoggchaubunagungamaugg	Чаубунагунгамауг
Kozmologija	Космология
Pluton	Плутон
Montréal	Монреаль
Slobodna programska podrška	Свободное программное обеспечение
Budućnost	Будущее
Marija (majka Isusova)	Богородица
Luj IX., kralj Francuske	Людовик IX
Lihtenštajn	Лихтенштейн
Šport	Спорт
Cambridge	Кембридж
Nacionalni park Yellowstone	Йеллоустон
Adolf Hitler	Гитлер, Адольф
Blanka Kastiljska	Бланка Кастильская
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Ассанж, Джулиан
Prvi svjetski rat	Первая мировая война
Drugi svjetski rat	Вторая мировая война
Treći svjetski rat	Третья мировая война
Köln	Кёльн
Korupcija	Коррупция
Wikiknjige	Викиучебник
Augusto Pinochet	Пиночет, Аугусто
Wikicitat	Викицитатник
Wiki-sveučilište	Викиверситет
!!!	!!!
Wikivoyage	Викигид
Votka	Водка
Vafel proizvod	Вафля
Sat (instrument)	Часы
Janka Kupala	Янка Купала
Ubuntu	Ubuntu
Skoplje	Скопье
Gdynia	Гдыня
Linux	Linux
Bob Dylan	Боб Дилан
Szczecin	Щецин
Mjeriteljstvo	Метрология
Matematika	Математика
U2	U2
Latinski jezik	Латинский язык
Bahrein	Бахрейн
Armenija	Армения
Klinasto pismo	Клинопись
Higgsov bozon	Бозон Хиггса
Srbija	Сербия
Mjesec	Луна
Istanbul	Стамбул
Australija	Австралия
Bob Marley	Марли, Боб
Carl Sagan	Саган, Карл
Astrobiologija	Астробиология
Fizika	Физика
Argentina	Аргентина
Silbo Gomero	Сильбо гомеро
Telekomunikacija	Электросвязь
Peru	Перу
Biologija	Биология
NLO	Неопознанный летающий объект
Sjeverna Koreja	Корейская Народно-Демократическая Республика
Kambodža	Камбоджа
Kuiperov pojas	Пояс Койпера
Kuran	Коран
Dinosauri	Динозавры
Zoologija	Зоология
Islam	Ислам
Kruške	Груша
Aleksandrijska knjižnica	Александрийская библиотека
Ljubljana	Любляна
Vrhnika	Врхника
Salvador Allende	Альенде, Сальвадор
Botanika	Ботаника
Lech Wałęsa	Валенса, Лех
Kotač	Колесо
Encyclopédie	Энциклопедия, или Толковый словарь наук, искусств и ремёсел
Denis Diderot	Дидро, Дени
Um	Ум
Mir	Мир (отсутствие войны)
Encyclopædia Britannica	Энциклопедия Британника
Lyon	Лион
Europska unija	Европейский союз
Plovdiv	Пловдив
Internet Arhiv	Архив Интернета
Zvjezdani ratovi	Звёздные войны
Rona-Alpe	Рона — Альпы
World Wide Web	Всемирная паутина
Žena	Женщина
Sofija	София
Don Quijote	Дон Кихот (роман)
Poezija	Поэзия
Lijenost	Лень
Računalni virus	Компьютерный вирус
Černobilska katastrofa	Авария на Чернобыльской АЭС
Atomsko bombardiranje Hirošime i Nagasakija	Атомные бомбардировки Хиросимы и Нагасаки
Milano	Милан
Prijateljstvo	Дружба
Pamćenje	Память
Arthur Rimbaud	Рембо, Артюр
Torino	Турин
Izmet	Кал
Anus	Анус
Limun	Лимон
Charles Baudelaire	Бодлер, Шарль
Stendhal	Стендаль
Émile Zola	Золя, Эмиль
666.	666 год
Cvijet	Цветок
Gugol	Гугол
Marijanska brazda	Марианский жёлоб
Vladimir Visocki	Высоцкий, Владимир Семёнович
Mount Everest	Джомолунгма
Anatomija	Анатомия
Grad	Город
Napoleon Bonaparte	Наполеон I
Olympus Mons	Олимп (Марс)
Fiziologija	Физиология
Zvijezda	Звезда
Vezuv	Везувий
Sunce	Солнце
Nebo	Небо
Louis Pasteur	Пастер, Луи
Ingemar Stenmark	Стенмарк, Ингемар
Svjetlosna godina	Световой год
Selo	Село
Victor Hugo	Гюго, Виктор
Oceanija	Океания
Giuseppe Garibaldi	Гарибальди, Джузеппе
Orvieto	Орвието
Atletika	Лёгкая атлетика
Cenzura	Цензура
Sunčev sustav	Солнечная система
Baltičko more	Балтийское море
Trst	Триест
Visla	Висла
Sijamski borac	Бойцовая рыбка
Elizejske poljane	Елисейские Поля
Odra	Одра
Vodik	Водород
Patti Smith	Смит, Патти
Helij	Гелий
Zub	Зубы человека
Pakao	Ад
Zajednički poslužitelj	Викисклад
Čistilište	Чистилище
Angela Merkel	Меркель, Ангела
Litij	Литий
Berilij	Бериллий
Zvučnik	Громкоговоритель
Knjiga	Книга
Dan	Сутки
Istočni Timor	Восточный Тимор
Noć	Ночь
Godina	Год
Stoljeće	Век
Łódź	Лодзь
Villeurbanne	Вийёрбан
Mont Blanc	Монблан
Rajna	Рейн
Oslo	Осло
Bonn	Бонн
Svi sveti	Собор всех святых
Katowice	Катовице
Crna rupa	Чёрная дыра
Luís de Camões	Камоэнс, Луис де
Gej	Гей
1 Ceres	Церера
Lisabon	Лиссабон
Rzeszów	Жешув
136108 Haumea	Хаумеа
Rhône	Рона
136472 Makemake	Макемаке
Michael Bloomberg	Блумберг, Майкл Рубенс
Sveta Catherine Tekakwitha	Катери Текаквита
136199 Eris	Эрида
Dubai	Дубай (город)
Lionel Messi	Месси, Лионель
Padova	Падуя
Bor (element)	Бор (элемент)
Nikola Kopernik	Коперник, Николай
Versailles	Версаль (город)
Ludwigsburg	Людвигсбург
Ugljik	Углерод
Alessandro Del Piero	Дель Пьеро, Алессандро
Volga	Волга
Dušik	Азот
Bergamo	Бергамо
Kisik	Кислород
F.C. Internazionale Milano	Интернационале
Planet	Планета
Kleopatra	Клеопатра
Kate Bush	Буш, Кейт
Glazba	Музыка
Venecija	Венеция
Naruto	Наруто
Pad	По (река)
Sharm el-Sheikh	Шарм-эш-Шейх
Neva	Нева
Termometar	Термометр
Rennes	Ренн
Lille	Лилль
Moskva	Москва
Fluor	Фтор
Talijanski jezik	Итальянский язык
Chihuahua (pas)	Чихуахуа
Neon	Неон
Chihuahua	Чиуауа
Sankt Peterburg	Санкт-Петербург
Čad	Чад
Natrij	Натрий
Sjever	Север
Magnezij	Магний
Shin Seiki Evangelion	Евангелион
Aluminij	Алюминий
Novi Zeland	Новая Зеландия
Jug	Юг
Indija	Индия
Silicij	Кремний
Francij	Франций
Tuvalu	Тувалу
Fosfor	Фосфор
André-Marie Ampère	Ампер, Андре-Мари
Proza	Проза
Željezo	Железо
Tonga	Тонга
Zapad	Запад
Alessandro Volta	Вольта, Алессандро
Sumpor	Сера
Samoa	Самоа
Istok	Восток
Salomonski Otoci	Соломоновы Острова
Vanuatu	Вануату
Molière	Мольер
Klor	Хлор
Papua Nova Gvineja	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Basna	Басня
Palau	Палау
Argon	Аргон
Nauru	Науру
Mozilla Firefox	Mozilla Firefox
Bajka	Сказка
Savezne Države Mikronezije	Федеративные Штаты Микронезии
Kalij	Калий
Olympique Lyonnais	Олимпик Лион
Kalcij	Кальций
Olovo (element)	Свинец
Maršalovi Otoci	Маршалловы Острова
Kiribati	Кирибати
Mongolija	Монголия
Fidži	Фиджи
Skandij	Скандий
Stevie Wonder	Уандер, Стиви
Heilbronn	Хайльбронн
Titanij	Титан (элемент)
Venezuela	Венесуэла
Šah	Шахматы
Saginaw, Michigan	Сагино (Мичиган)
Džingis-kan	Чингисхан
Život, svemir i sve ostalo	Жизнь, Вселенная и всё остальное
Vanadij	Ванадий
Maine	Мэн (штат)
Krom	Хром
Domaći konj	Домашняя лошадь
Amsterdam	Амстердам
Oružje	Оружие
Životinje	Животные
Surinam	Суринам
Mangan	Марганец
Paragvaj	Парагвай
Gvajana	Гайана
Umjetnost	Искусство
Ekvador	Эквадор
Renij	Рений
Kolumbija	Колумбия
Kobalt	Кобальт
Jean Racine	Расин, Жан
Volfram	Вольфрам
Nikal	Никель
Jagoda	Земляника
Pierre Corneille	Корнель, Пьер
Budizam	Буддизм
Groningen	Гронинген (город)
Bolivija	Боливия
Osmij	Осмий
Bakar (element)	Медь
Trinidad i Tobago	Тринидад и Тобаго
Paul Verlaine	Верлен, Поль
Biljke	Растения
Sveti Vincent i Grenadini	Сент-Винсент и Гренадины
Cink	Цинк
New Hampshire	Нью-Гэмпшир
Sveta Lucija (država)	Сент-Люсия
Białystok	Белосток
Leonardo da Vinci	Леонардо да Винчи
Sveti Kristofor i Nevis	Сент-Китс и Невис
Gljive	Грибы
Dario Fo	Фо, Дарио
Jamajka	Ямайка
Stéphane Mallarmé	Малларме, Стефан
Supetar	Супетар
Grenada	Гренада
Massachusetts	Массачусетс
Gvatemala	Гватемала
Gelderland	Гелдерланд
Google Chrome	Google Chrome
Bahami	Багамские Острова
Connecticut	Коннектикут
Domaća kokoš	Курица
Antigva i Barbuda	Антигуа и Барбуда
Havaji	Гавайи
Honduras	Гондурас
Dominika	Доминика
Jersey (otok)	Джерси (остров)
Dominikanska Republika	Доминиканская Республика
Domaća svinja	Домашняя свинья
Arktički ocean	Северный Ледовитый океан
Haiti	Республика Гаити
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Тауматауакатангиангакоауауотаматеатурипукакапикимаунгахоронукупокануэнуакитанатаху
Salvador	Сальвадор
Iran	Иран
Irak	Ирак
Aljaska	Аляска
Mudrost	Мудрость
Kostarika	Коста-Рика
Izrael	Израиль
Utrecht (grad)	Утрехт
Panama	Панама
Jemen	Йемен
Randstad	Рандстад
Lausanne	Лозанна
Virusi	Вирусы
Poljski jezik	Польский язык
Jordan	Иордания
Nikaragva	Никарагуа
Florida	Флорида
Kirgistan	Киргизия
Arizona	Аризона
Kuvajt	Кувейт
Laos	Лаос
Libanon	Ливан
Oregon	Орегон
Maldivi	Мальдивы
Amerika	Америка
Utah	Юта
Divlje govedo	Корова
Malezija	Малайзия
Valais	Вале (кантон)
Mihail Bulgakov	Булгаков, Михаил Афанасьевич
Mjanmar	Мьянма
Nepal	Непал
Andrej Rubljov	Андрей Рублёв
Oman	Оман
Pakistan	Пакистан
James Bond	Джеймс Бонд
Katar	Катар
Tenis	Теннис
François Villon	Вийон, Франсуа
MySQL	MySQL
Saudijska Arabija	Саудовская Аравия
Lockheed L-1011 TriStar	Lockheed L-1011 TriStar
Andrej Tarkovski	Тарковский, Андрей Арсеньевич
Šri Lanka	Шри-Ланка
Josif Staljin	Сталин, Иосиф Виссарионович
Crtični kôd	Штриховой код
Sirija	Сирия
Platon	Платон
Galij	Галлий
Joseph Brodsky	Бродский, Иосиф Александрович
Tadžikistan	Таджикистан
Pokémon	Покемон
Republika Kina	Китайская Республика
YouTube	YouTube
Germanij	Германий
Aristotel	Аристотель
Tajland	Таиланд
Vlak	Поезд
Arsen	Мышьяк
Radio	Радио
Meryl Streep	Стрип, Мерил
Turkmenistan	Туркмения
Abakan (Hakasija, Rusija)	Абакан
Selenij	Селен
Iridij	Иридий
Ujedinjeni Arapski Emirati	Объединённые Арабские Эмираты
Brom	Бром
Platina	Платина
Vijetnam	Вьетнам
Charles Chaplin	Чаплин, Чарльз
Novosibirsk	Новосибирск
Južna Koreja	Республика Корея
Józef Piłsudski	Пилсудский, Юзеф
Simpsoni	Симпсоны
Ekaterinburg	Екатеринбург
Kripton	Криптон
Afganistan	Афганистан
Gangnam Style	Gangnam Style
Nižnji Novgorod	Нижний Новгород
John Ronald Reuel Tolkien	Толкин, Джон Рональд Руэл
Limunada	Лимонад
Samara	Самара
Rubidij	Рубидий
Zlato	Золото
Omsk	Омск
Sueski kanal	Суэцкий канал
Kazanj	Казань
Bangladeš	Бангладеш
Erta Ale	Эрта Але
Franz Kafka	Кафка, Франц
Čeljabinsk	Челябинск
Rostov na Donu	Ростов-на-Дону
Jorge Luis Borges	Борхес, Хорхе Луис
Ufa	Уфа
Mali	Мали
Sokrat	Сократ
Volgograd	Волгоград
Angola	Ангола
Perm (Permski kraj, Rusija)	Пермь
Kraljevina Butan	Бутан
Twitter	Твиттер
Krasnojarsk	Красноярск
Brunej	Бруней
Brač	Брач
Tanzanija	Танзания
Živa	Ртуть
Roald Amundsen	Амундсен, Руаль
Harry Mulisch	Мулиш, Харри
Filipini	Филиппины
Srednjoafrička Republika	Центральноафриканская Республика
Naruto Uzumaki	Наруто Удзумаки
Talij	Таллий
Polovi južne polutke	Южный полюс
Polovi sjeverne polutke	Северный полюс
Isaac Newton	Ньютон, Исаак
OpenStreetMap	OpenStreetMap
Albert Einstein	Эйнштейн, Альберт
Stroncij	Стронций
Pedro I. Brazilski	Педру I (император Бразилии)
Itrij	Иттрий
Bizmut	Висмут
Žuta	Жёлтый цвет
Kvantna mehanika	Квантовая механика
Togo	Того
Donald Tusk	Туск, Дональд
Tunis	Тунис
John Bardeen	Бардин, Джон
Zambija	Замбия
Zimbabve	Зимбабве
Peking	Пекин
Južni Sudan	Южный Судан
Vladivostok	Владивосток
Tuva	Тыва
Benin	Бенин
Bocvana	Ботсвана
Burkina Faso	Буркина-Фасо
Burundi	Бурунди
Komori	Коморы
Republika Kongo	Республика Конго
Ob	Обь
Demokratska Republika Kongo	Демократическая Республика Конго
San Antonio (Teksas)	Сан-Антонио
Džibuti	Джибути
Mem	Мем
Polonij	Полоний
Bavarska	Бавария
Svjetski skijaški kup	Кубок мира по горнолыжному спорту
Ekvatorska Gvineja	Экваториальная Гвинея
Baden-Württemberg	Баден-Вюртемберг
Eritreja	Эритрея
New Delhi	Нью-Дели
Ivan Pavao II.	Иоанн Павел II
Fjodor Mihajlovič Dostojevski	Достоевский, Фёдор Михайлович
Kamčatka	Камчатка
Tbilisi	Тбилиси
Andrej Saharov	Сахаров, Андрей Дмитриевич
Astat	Астат
Gabon	Габон
Mahatma Gandhi	Махатма Ганди
Čukotski poluotok	Чукотский полуостров
Solidarnost (sindikat)	Солидарность (профсоюз)
Strip	Комикс
Gambija	Гамбия
Gvineja	Гвинея
Gvineja Bisau	Гвинея-Бисау
Obala Bjelokosti	Кот-д’Ивуар
Kamerun	Камерун
Maribor	Марибор
Zelenortska Republika	Кабо-Верде
Celje	Целе
Lesoto	Лесото
Liberija	Либерия
Kopar	Копер
Libija	Ливия
Aachen	Ахен
Nova Gorica	Нова-Горица
Madagaskar	Мадагаскар
Malavi	Малави
Kranj	Крань
Stuttgart	Штутгарт
Triglav (vrh)	Триглав (гора)
Mauretanija	Мавритания
Poljaci	Поляки
Mauricijus	Маврикий
Maroko	Марокко
Mozambik	Мозамбик
Namibija	Намибия
France Prešeren	Прешерн, Франце
Niger	Нигер
Nigerija	Нигерия
Charles Darwin	Дарвин, Чарлз
Uganda	Уганда
Ruanda	Руанда
Cirkonij	Цирконий
Sveti Toma i Princip	Сан-Томе и Принсипи
Karlsruhe	Карлсруэ
Senegal	Сенегал
Sejšeli	Сейшельские Острова
Carl Linné	Линней, Карл
Sijera Leone	Сьерра-Леоне
Somalija	Сомали
Niobij	Ниобий
Džavaharlal Nehru	Неру, Джавахарлал
Gaj Julije Cezar	Гай Юлий Цезарь
Sudan	Судан
Svazi	Свазиленд
Ivan Regen	Реген, Иван
Duga	Радуга
Molibden	Молибден
Tehnecij	Технеций
Hamburg	Гамбург
Italo Balbo	Бальбо, Итало
Metabolizam	Обмен веществ
Imunološki sustav	Иммунная система
Gudžarat	Гуджарат
Ontario (jezero)	Онтарио (озеро)
Evolucija	Эволюция
Alessandro Manzoni	Мандзони, Алессандро
Ujedinjeni narodi	Организация Объединённых Наций
Superior	Верхнее (озеро)
Dante Alighieri	Данте Алигьери
Geologija	Геология
Geografija	География
Srce	Сердце
Mozak	Головной мозг
Koža	Кожа
Boja	Цвет
Zvjezdane staze: Originalna serija	Звёздный путь: Оригинальный сериал
Na putu prema dolje	Во все тяжкие
Salerno	Салерно
Imenice	Имя существительное
Prag	Прага
Rutenij	Рутений
Rodij	Родий
Plava	Синий цвет
Paladij	Палладий
Srebro	Серебро
Kadmij	Кадмий
Zvjezdane staze	Звёздный путь
Limburg (Nizozemska)	Лимбург (Нидерланды)
Indij	Индий
Limburg (Belgija)	Лимбург (провинция Бельгии)
Kositar	Олово
Berlinski glavni kolodvor	Центральный вокзал Берлина
Uranij	Уран (элемент)
Antimon	Сурьма
Telurij	Теллур
Sjeverni Brabant	Северный Брабант
Plutonij	Плутоний
Jod	Иод
Neptunij	Нептуний
Ksenon	Ксенон
Anime	Аниме
Cezij	Цезий
Protaktinij	Протактиний
Ujedinjena Federacija Planeta	Объединённая федерация планет
Električni naboj	Электрический заряд
Barij	Барий
Zapadna Flandrija	Западная Фландрия
Istočna Flandrija	Восточная Фландрия
Torij	Торий
Antwerpen (pokrajina)	Антверпен (провинция)
Flamanski Brabant	Фламандский Брабант
Hafnij	Гафний
Aktinij	Актиний
Valonski Brabant	Валлонский Брабант
Tantal (element)	Тантал (элемент)
Bill Clinton	Клинтон, Билл
Namur (pokrajina)	Намюр (провинция)
Luxembourg (Belgija)	Люксембург (провинция Бельгии)
Liège (pokrajina)	Льеж (провинция)
Radij	Радий
Hainaut (pokrajina)	Эно
Radon	Радон
Lorena	Лотарингия
Elzas	Эльзас
Jean-Philippe Rameau	Рамо, Жан-Филипп
Indira Gandhi	Ганди, Индира
Merkur (mitologija)	Меркурий (мифология)
Hector Berlioz	Берлиоз, Гектор
Auvergne	Овернь
Mumbai	Мумбаи
Međunarodni atletski savez	Международная ассоциация легкоатлетических федераций
Andhra Pradesh	Андхра-Прадеш
Limburg	Лимбург
Arunachal Pradesh	Аруначал-Прадеш
Assam	Ассам
Bihar	Бихар
Michigan	Мичиган
Chhattisgarh	Чхаттисгарх
Jezero Michigan	Мичиган (озеро)
Goa	Гоа
Burgundija	Бургундия
Haryana	Харьяна
Himachal Pradesh	Химачал-Прадеш
Maurice Ravel	Равель, Морис
Akvitanija	Аквитания (регион)
Jammu i Kashmir	Джамму и Кашмир
Portoriko	Пуэрто-Рико
Jharkhand	Джаркханд
Karnataka	Карнатака
Kerala	Керала
Madhya Pradesh	Мадхья-Прадеш
Usain Bolt	Болт, Усэйн
Limousin	Лимузен (регион)
Maharashtra	Махараштра
Jean-Baptiste Lully	Люлли, Жан-Батист
Manipur	Манипур
Schleswig-Holstein	Шлезвиг-Гольштейн
Meghalaya	Мегхалая
Mecklenburg-Zapadno Pomorje	Мекленбург-Передняя Померания
Donja Saska	Нижняя Саксония
Sjeverna Rajna-Vestfalija	Северный Рейн-Вестфалия
Hessen	Гессен
Falačko Porajnje	Рейнланд-Пфальц
Saarska	Саар
Saska (pokrajina)	Саксония (земля)
John Lennon	Леннон, Джон
Illinois	Иллинойс
Tiringija	Тюрингия
Saska-Anhalt	Саксония-Анхальт
Sjeverna Dakota	Северная Дакота
Brandenburg	Бранденбург
Bremen (pokrajina)	Бремен (земля)
Lombardija	Ломбардия
Južna Dakota	Южная Дакота
Montana	Монтана
Wyoming	Вайоминг
Straight edge	Straight edge
Pijemont	Пьемонт
Jeruzalem	Иерусалим
Giorgio Napolitano	Наполитано, Джорджо
Idaho	Айдахо
Valle d'Aosta	Валле-д’Аоста
Washington (savezna država)	Вашингтон (штат)
Bruce Springsteen	Спрингстин, Брюс
Raderfordij	Резерфордий
Nevada	Невада
Don	Дон
Francesco Cossiga	Коссига, Франческо
Dubnij	Дубний
Siborgij	Сиборгий
Trentino-Južni Tirol	Трентино — Альто-Адидже
Indijski ocean	Индийский океан
Antonio Segni	Сеньи, Антонио
Veneto	Венето
Kosovo	Республика Косово
Karipsko more	Карибское море
Borij	Борий
Furlanija-Julijska krajina	Фриули-Венеция-Джулия
Kotijske Alpe	Котские Альпы
Hasij	Хассий
Ban Ki-mun	Пан Ги Мун
Kofi Atta Annan	Аннан, Кофи
Ligurija	Лигурия
Butros Butros-Gali	Бутрос-Гали, Бутрос
Meitnerij	Мейтнерий
Javier Pérez de Cuéllar	Перес де Куэльяр, Хавьер
Kurt Waldheim	Вальдхайм, Курт
Colorado	Колорадо
Emilia-Romagna	Эмилия-Романья
U Thant	У Тан
Colorado (rijeka)	Колорадо (река)
Darmštatij	Дармштадтий
Dag Hammarskjöld	Хаммаршёльд, Даг
Frédéric Chopin	Шопен, Фредерик
Džem	Конфитюр
Trygve Lie	Ли, Трюгве
Roentgenij	Рентгений
Toskana	Тоскана
Gladwyn Jebb	Джебб, Глэдвин
Leonard Cohen	Коэн, Леонард
Kopernicij	Коперниций
Marke	Марке
Umbrija	Умбрия
Lacij	Лацио
Dolomiti	Доломитовые Альпы
Abruzzo	Абруццо
Apenini	Апеннинские горы
Alpe	Альпы
Jansenizam	Янсенизм
Karpati	Карпаты
Grenoble	Гренобль
Blaise Pascal	Паскаль, Блез
Dama	Шашки
Dortmund	Дортмунд
Gent	Гент
Chicago, Illinois	Чикаго
The Beatles	The Beatles
Ununtrij	Унунтрий
Flerovij	Флеровий
Ununpentij	Унунпентий
Livermorij	Ливерморий
Ununseptij	Унунсептий
Ununoktij	Унуноктий
Como	Комо
Maastricht	Маастрихт
Arnhem	Арнем
Zima	Зима
Proljeće	Весна
Ljeto	Лето
Jesen	Осень
Ravnodnevica	Равноденствие
