આફ્રિકા	Африка
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Елисейские Поля
ઉદકજન	Водород
હીલિયમ	Гелий
નર્ક	Ад
વિકિમીડિયા કૉમન્સ	Викисклад
લિથિયમ	Литий
બેરિલિયમ	Бериллий
દિવસ	Сутки
પૂર્વ તિમોર	Восточный Тимор
વર્ષ	Год
ઓસ્લો	Осло
કૃષ્ણ વિવર	Чёрная дыра
સિરસ (વામન ગ્રહ)	Церера
હૌમેયા (વામન ગ્રહ)	Хаумеа
મેકમેક (વામન ગ્રહ)	Макемаке
બોરોન	Бор (элемент)
કાર્બન	Углерод
નત્રલવાયુ	Азот
પ્રાણવાયુ (ઑક્સીજન)	Кислород
ગ્રહ	Планета
સંગીત	Музыка
ઉષ્ણતામાપક	Термометр
ફ્લોરિન	Фтор
નિયોન	Неон
ચૅડ	Чад
ક્ષારાતુ	Натрий
ઉત્તર	Север
મેગ્નેશિયમ	Магний
સ્ફટયાતુ	Алюминий
દક્ષિણ	Юг
ભારત	Индия
સિલિકોન	Кремний
ફ્રાંસીયમ	Франций
ફોસ્ફરસ	Фосфор
લોખંડ	Железо
પશ્ચિમ	Запад
ગંધક	Сера
સમોઆ	Самоа
નીરજી	Хлор
વિલિયમ શેક્સપીયર	Шекспир, Уильям
આર્ગોન	Аргон
નૌરુ	Науру
પોટેશિયમ	Калий
કેલ્શિયમ	Кальций
સીસું	Свинец
મંગોલિયા	Монголия
સ્કેન્ડિયમ	Скандий
ટાઇટેનિયમ	Титан (элемент)
વેનેઝુએલા	Венесуэла
ચેસ	Шахматы
વેનેડિયમ	Ванадий
વર્ણાતુ	Хром
ઘોડો	Домашняя лошадь
હથિયારો	Оружие
પ્રાણી	Животные
સુરીનામ	Суринам
મેંગેનિઝ	Марганец
ગુયાના	Гайана
કલા	Искусство
ઈક્વેડોર	Эквадор
રિનીયમ	Рений
કોલમ્બિયા	Колумбия
કોબાલ્ટ	Кобальт
ટંગસ્ટન	Вольфрам
નિકલ	Никель
બૌદ્ધ ધર્મ	Буддизм
બોલીવિયા	Боливия
ઓસ્મીયમ	Осмий
તાંબુ	Медь
ટ્રિનિદાદ અને ટોબેગો	Тринидад и Тобаго
જસત	Цинк
ન્યૂ હેમ્પશાયર	Нью-Гэмпшир
લિઓનાર્ડો દ વિન્ચી	Леонардо да Винчи
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Гондурас
હૈતી	Республика Гаити
ઈરાન	Иран
ઈરાક	Ирак
શાણપણ	Мудрость
ઈઝરાયલ	Израиль
પનામા	Панама
યેમેન	Йемен
જૉર્ડન	Иордания
કિર્ગિસ્તાન	Киргизия
કુવૈત	Кувейт
લાઓસ	Лаос
લેબેનાન	Ливан
માલદીવ્સ	Мальдивы
અમેરિકા	Америка
મલેશિયા	Малайзия
બર્મા	Мьянма
નેપાળ	Непал
ઓમાન	Оман
પાકિસ્તાન	Пакистан
જેમ્સ બોન્ડ	Джеймс Бонд
કતાર (અરબસ્તાન)	Катар
સાઉદી અરેબિયા	Саудовская Аравия
શ્રીલંકા	Шри-Ланка
સ્ટાલિન	Сталин, Иосиф Виссарионович
સિરિયા	Сирия
પ્લેટો	Платон
ગેલિયમ	Галлий
તાજિકિસ્તાન	Таджикистан
ચીની ગણતંત્ર	Китайская Республика
યુ ટ્યુબ	YouTube
જર્મેનિયમ	Германий
એરિસ્ટોટલ	Аристотель
થાઇલેન્ડ	Таиланд
સોમલ	Мышьяк
તુર્કમેનિસ્તાન	Туркмения
સેલિનીયમ	Селен
ઈરિડીયમ	Иридий
બ્રોમિન	Бром
પ્લેટિનમ	Платина
વિયેતનામ	Вьетнам
ચાર્લી ચૅપ્લિન	Чаплин, Чарльз
દક્ષિણ કોરિયા	Республика Корея
ક્રિપ્ટોન	Криптон
અફઘાનિસ્તાન	Афганистан
રુબિડીયમ	Рубидий
સોનું	Золото
સુએઝ નહેર	Суэцкий канал
બાંગ્લાદેશ	Бангладеш
સોક્રેટિસ	Сократ
ભૂતાન	Бутан
બ્રુનેઈ	Бруней
ટાન્ઝાનિયા	Танзания
પારો	Ртуть
ફીલીપાઈન્સ	Филиппины
થેલીયમ	Таллий
આઇઝેક ન્યુટન	Ньютон, Исаак
આલ્બર્ટ આઇન્સ્ટાઇન	Эйнштейн, Альберт
સ્ટ્રોન્શિયમ	Стронций
ઈટ્રીયમ	Иттрий
બિસ્મથ	Висмут
ટોગો	Того
ટ્યુનિશિયા	Тунис
બેઇજિંગ	Пекин
બેનિન	Бенин
પોલોનીયમ	Полоний
એસ્ટાટીન	Астат
મહાત્મા ગાંધી	Махатма Ганди
મડાગાસ્કર	Мадагаскар
સ્ટુટગાર્ટ	Штутгарт
નાઈજર	Нигер
નાઈજેરિયા	Нигерия
ચાર્લ્સ ડાર્વિન	Дарвин, Чарлз
ઝિર્કોનિયમ	Цирконий
નાયોબિયમ	Ниобий
જવાહરલાલ નેહરુ	Неру, Джавахарлал
જુલિયસ સીઝર	Гай Юлий Цезарь
સુદાન	Судан
સ્વાઝીલેન્ડ	Свазиленд
મેઘધનુષ	Радуга
મોલિબ્ડેનમ	Молибден
ટેક્નેશિયમ	Технеций
ચયાપચય	Обмен веществ
નરેન્દ્ર મોદી	Моди, Нарендра
ગુજરાત	Гуджарат
ઉત્ક્રાંતિ	Эволюция
સંયુક્ત રાષ્ટ્રસંઘ	Организация Объединённых Наций
અમદાવાદ	Ахмадабад
ભૂગોળ	География
મગજ	Головной мозг
સંજ્ઞા	Имя существительное
રુથેનિયમ	Рутений
રોડિયમ	Родий
પલેડિયમ	Палладий
ચાંદી	Серебро
કેડમિયમ	Кадмий
ઈંડિયમ	Индий
ટીન	Олово
યુરેનિયમ	Уран (элемент)
એંટિમની	Сурьма
ટેલુરિયમ	Теллур
પ્લુટોનીયમ	Плутоний
આયોડિન	Иод
નેપ્ચ્યુનીયમ	Нептуний
ઝેનોન	Ксенон
સીસીયમ	Цезий
પ્રોટેક્ટિનીયમ	Протактиний
બેરિયમ	Барий
થોરીયમ	Торий
હાફનીયમ	Гафний
એક્ટિનીયમ	Актиний
ટેન્ટેલમ	Тантал (элемент)
રેડિયમ	Радий
રેડૉન	Радон
ઈન્દિરા ગાંધી	Ганди, Индира
જામનગર	Джамнагар
મુંબઈ	Мумбаи
આંધ્ર પ્રદેશ	Андхра-Прадеш
અરુણાચલ પ્રદેશ	Аруначал-Прадеш
આસામ	Ассам
બિહાર	Бихар
છત્તીસગઢ	Чхаттисгарх
ગોઆ	Гоа
હરિયાણા	Харьяна
હિમાચલ પ્રદેશ	Химачал-Прадеш
જમ્મુ અને કાશ્મીર	Джамму и Кашмир
ઝારખંડ	Джаркханд
કર્ણાટક	Карнатака
કેરળ	Керала
મધ્ય પ્રદેશ	Мадхья-Прадеш
યુસૈન બોલ્ટ	Болт, Усэйн
મહારાષ્ટ્ર	Махараштра
મણિપુર	Манипур
મેઘાલય	Мегхалая
બ્રુસ સ્પ્રિન્ગસ્ટીન	Спрингстин, Брюс
રુથરફોર્ડીયમ	Резерфордий
ડૂબનીયમ	Дубний
સીબોર્ગીયમ	Сиборгий
હિંદ મહાસાગર	Индийский океан
કેરેબિયન સાગર	Карибское море
બોહ્રીયમ	Борий
હેસીયમ	Хассий
માઈટનિરીયમ	Мейтнерий
ડાર્મસ્ટેડીયમ	Дармштадтий
રેન્ટજિનીયમ	Рентгений
કોપરનિસીયમ	Коперниций
ધ બિટલ્સ	The Beatles
શિયાળો	Зима
ઉનાળો	Лето
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Равноденствие
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Филадельфия
કોલકાતા	Калькутта
ચેન્નઈ	Ченнаи
દિલ્હી	Дели
ઢાકા	Дакка
બેંગલોર	Бангалор
પશ્ચિમ બંગાળ	Западная Бенгалия
હૈદરાબાદ	Хайдарабад (Индия)
ઇસ્લામાબાદ	Исламабад
ત્રિપુરા	Трипура
વાંદરો	Обезьяны
સિરીયમ	Церий
પ્રેસિયોડિમિયમ	Празеодим
નિયોડીમીયમ	Неодим
લેનિન	Ленин, Владимир Ильич
યુરોપિયમ	Европий
ઊએતેર્સેન્	Итерзен
ઇન્ડિયાના	Индиана
નોકિયા	Nokia
મોટરગાડી	Автомобиль
ટ્રાજન	Траян
રોજર ફેડરર	Федерер, Роджер
રાજસ્થાન	Раджастхан
તમિલનાડુ	Тамилнад
હોકી	Хоккей на траве
ક્રોહનનો રોગ	Болезнь Крона
ઉત્તર પ્રદેશ	Уттар-Прадеш
ઉત્તરાખંડ	Уттаракханд
મિઝોરમ	Мизорам
સિક્કિમ	Сикким
ટેનેસી	Теннесси
નાગપુર	Нагпур
કારાકાસ	Каракас
પુના	Пуна
આયોવા	Айова
નેબ્રાસ્કા	Небраска
કેન્સાસ	Канзас
હિંદી ભાષા	Хинди
મરાઠી ભાષા	Маратхи (язык)
ગણેશ	Ганеша
મિઝોરી	Миссури (штат)
લ્યુઇસિયાના	Луизиана
નાગાલેંડ	Нагаленд
અરકાનસાસ	Арканзас
નીલ આર્મસ્ટ્રૉંગ	Армстронг, Нил
ઉર્દુ ભાષા	Урду
ઓક્લાહોમા	Оклахома
બુડાપેસ્ટ	Будапешт
લેન્થેનમ	Лантан
પ્રોમેથિયમ	Прометий
સમેરિયમ	Самарий
ગેડોલિનીયમ	Гадолиний
ટર્બિયમ	Тербий
ડીસ્પ્રોસીયમ	Диспрозий
બાઇબલ	Библия
હોલ્મીયમ	Гольмий
અર્બિયમ	Эрбий
થુલિયમ	Тулий
ઈટરબિયમ	Иттербий
લ્યુટેશિયમ	Лютеций
સત્ય ઇસુ દેવળ	Церковь истинного Иисуса
અંગ્રેજી ભાષા	Английский язык
અમેરિસીયમ	Америций
ક્યુરીયમ	Кюрий
બર્કેલીયમ	Берклий
કેલિફોર્નીયમ	Калифорний
આઇન્સ્ટેનીયમ	Эйнштейний
ફર્મીયમ	Фермий
મેન્ડેલિવીયમ	Менделевий
નોબેલીયમ	Нобелий
લોરેન્સીયમ	Лоуренсий
ગુરુના ચંદ્રો	Спутники Юпитера
કઞ્સ્કવલા	Коньсковоля
૨૦૦૧	2001 год
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993 год
૧૯૧૦	1910 год
સાપ	Змеи
મુખ મૈથુન	Оральный секс
જાન્યુઆરી ૧	1 января
જાન્યુઆરી ૨	2 января
સુભાષચંદ્ર બોઝ	Бос, Субхас Чандра
જાન્યુઆરી ૩	3 января
જાન્યુઆરી ૪	4 января
જાન્યુઆરી ૫	5 января
જાન્યુઆરી ૬	6 января
જાન્યુઆરી ૭	7 января
જાન્યુઆરી ૮	8 января
જાન્યુઆરી ૯	9 января
જાન્યુઆરી ૧૦	10 января
જાન્યુઆરી ૧૧	11 января
જાન્યુઆરી ૧૨	12 января
જાન્યુઆરી ૧૩	13 января
બર્મિંગહામ	Бирмингем
જાન્યુઆરી ૧૪	14 января
જાન્યુઆરી ૧૫	15 января
જાન્યુઆરી ૧૬	16 января
જાન્યુઆરી ૧૭	17 января
જાન્યુઆરી ૧૮	18 января
જાન્યુઆરી ૧૯	19 января
જાન્યુઆરી ૨૦	20 января
જાન્યુઆરી ૨૧	21 января
જાન્યુઆરી ૨૨	22 января
જાન્યુઆરી ૨૩	23 января
જાન્યુઆરી ૨૪	24 января
જાન્યુઆરી ૨૫	25 января
જાન્યુઆરી ૨૬	26 января
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	27 января
જાન્યુઆરી ૨૮	28 января
જાન્યુઆરી ૨૯	29 января
જાન્યુઆરી ૩૦	30 января
જાન્યુઆરી ૩૧	31 января
ડિસેમ્બર ૨	2 декабря
ડિસેમ્બર ૧	1 декабря
ડિસેમ્બર ૩	3 декабря
ડિસેમ્બર ૭	7 декабря
ડિસેમ્બર ૫	5 декабря
ડિસેમ્બર ૮	8 декабря
ડિસેમ્બર ૧૦	10 декабря
ડિસેમ્બર ૬	6 декабря
ડિસેમ્બર ૯	9 декабря
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	4 декабря
ફેબ્રુઆરી ૧	1 февраля
ફેબ્રુઆરી ૨	2 февраля
ફેબ્રુઆરી ૩	3 февраля
કુરોવ	Курув
ફેબ્રુઆરી ૪	4 февраля
ફેબ્રુઆરી ૫	5 февраля
ફેબ્રુઆરી ૬	6 февраля
ફેબ્રુઆરી ૭	7 февраля
ફેબ્રુઆરી ૮	8 февраля
ફેબ્રુઆરી ૯	9 февраля
ફેબ્રુઆરી ૧૦	10 февраля
રસાયણ શાસ્ત્ર	Химия
ફેબ્રુઆરી ૧૪	14 февраля
ફેબ્રુઆરી ૧૩	13 февраля
ફેબ્રુઆરી ૧૫	15 февраля
ફેબ્રુઆરી ૧૧	11 февраля
ફેબ્રુઆરી ૧૨	12 февраля
ફેબ્રુઆરી ૧૯	19 февраля
ફેબ્રુઆરી ૧૭	17 февраля
ફેબ્રુઆરી ૧૬	16 февраля
ફેબ્રુઆરી ૧૮	18 февраля
ફેબ્રુઆરી ૨૦	20 февраля
ફેબ્રુઆરી ૨૧	21 февраля
ફેબ્રુઆરી ૨૨	22 февраля
ફેબ્રુઆરી ૨૩	23 февраля
ફેબ્રુઆરી ૨૪	24 февраля
ફેબ્રુઆરી ૨૫	25 февраля
ફેબ્રુઆરી ૨૬	26 февраля
ફેબ્રુઆરી ૨૭	27 февраля
ફેબ્રુઆરી ૨૮	28 февраля
ડિસેમ્બર ૧૧	11 декабря
ફેબ્રુઆરી ૨૯	29 февраля
ડિસેમ્બર ૧૨	12 декабря
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C Sharp
ડિસેમ્બર ૧૩	13 декабря
ડિસેમ્બર ૧૪	14 декабря
ડિસેમ્બર ૧૫	15 декабря
માર્ચ ૨	2 марта
માર્ચ ૩	3 марта
માર્ચ ૫	5 марта
માર્ચ ૧	1 марта
માર્ચ ૭	7 марта
માર્ચ ૮	8 марта
માર્ચ ૪	4 марта
માર્ચ ૧૦	10 марта
માર્ચ ૧૧	11 марта
માર્ચ ૬	6 марта
માર્ચ ૧૩	13 марта
માર્ચ ૯	9 марта
માર્ચ ૧૨	12 марта
માર્ચ ૧૫	15 марта
માર્ચ ૧૪	14 марта
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	16 декабря
ડિસેમ્બર ૧૭	17 декабря
માર્ચ ૧૬	16 марта
માર્ચ ૧૭	17 марта
માર્ચ ૧૮	18 марта
માર્ચ ૧૯	19 марта
માર્ચ ૨૦	20 марта
માર્ચ ૨૧	21 марта
માર્ચ ૨૨	22 марта
ડિસેમ્બર ૧૮	18 декабря
માર્ચ ૨૩	23 марта
ડિસેમ્બર ૧૯	19 декабря
માર્ચ ૨૪	24 марта
માર્ચ ૨૫	25 марта
ડિસેમ્બર ૨૦	20 декабря
માર્ચ ૨૬	26 марта
માર્ચ ૨૭	27 марта
માર્ચ ૨૮	28 марта
માર્ચ ૨૯	29 марта
માર્ચ ૩૦	30 марта
માર્ચ ૩૧	31 марта
એપ્રિલ ૧૫	15 апреля
એપ્રિલ ૧૩	13 апреля
એપ્રિલ ૧૨	12 апреля
એપ્રિલ ૧૪	14 апреля
એપ્રિલ ૧૧	11 апреля
એપ્રિલ ૧૦	10 апреля
એપ્રિલ ૮	8 апреля
એપ્રિલ ૯	9 апреля
એપ્રિલ ૭	7 апреля
એપ્રિલ ૬	6 апреля
એપ્રિલ ૫	5 апреля
એપ્રિલ ૪	4 апреля
એપ્રિલ ૩	3 апреля
એપ્રિલ ૧	1 апреля
એપ્રિલ ૨	2 апреля
એપ્રિલ ૧૬	16 апреля
એપ્રિલ ૧૭	17 апреля
એપ્રિલ ૧૮	18 апреля
એપ્રિલ ૧૯	19 апреля
એપ્રિલ ૨૦	20 апреля
એપ્રિલ ૨૧	21 апреля
એપ્રિલ ૨૨	22 апреля
એપ્રિલ ૨૩	23 апреля
એપ્રિલ ૨૪	24 апреля
એપ્રિલ ૨૫	25 апреля
એપ્રિલ ૨૬	26 апреля
એપ્રિલ ૨૭	27 апреля
એપ્રિલ ૨૮	28 апреля
એપ્રિલ ૨૯	29 апреля
એપ્રિલ ૩૦	30 апреля
મે ૧	1 мая
મે ૨	2 мая
મે ૩	3 мая
મે ૪	4 мая
મે ૫	5 мая
મે ૬	6 мая
મે ૭	7 мая
મે ૮	8 мая
મે ૯	9 мая
મે ૧૦	10 мая
મે ૧૧	11 мая
મે ૧૨	12 мая
મે ૧૩	13 мая
મે ૧૪	14 мая
મે ૧૫	15 мая
મે ૧૬	16 мая
મે ૧૭	17 мая
મે ૧૮	18 мая
મે ૧૯	19 мая
મે ૨૦	20 мая
મે ૨૧	21 мая
મે ૨૨	22 мая
મે ૨૩	23 мая
મે ૨૪	24 мая
મે ૨૫	25 мая
મે ૨૬	26 мая
મે ૨૭	27 мая
મે ૨૮	28 мая
મે ૨૯	29 мая
મે ૩૦	30 мая
મે ૩૧	31 мая
ડિસેમ્બર ૨૧	21 декабря
જૂન ૧૪	14 июня
જૂન ૧૫	15 июня
જૂન ૧૩	13 июня
જૂન ૧૦	10 июня
જૂન ૭	7 июня
જૂન ૧૧	11 июня
જૂન ૯	9 июня
જૂન ૧૨	12 июня
જૂન ૬	6 июня
જૂન ૮	8 июня
જૂન ૫	5 июня
જૂન ૩	3 июня
જૂન ૨	2 июня
જૂન ૧	1 июня
જૂન ૪	4 июня
ડિસેમ્બર ૨૨	22 декабря
જૂન ૧૬	16 июня
જૂન ૩૦	30 июня
જૂન ૨૯	29 июня
જૂન ૨૮	28 июня
જૂન ૨૬	26 июня
જૂન ૨૫	25 июня
જૂન ૨૨	22 июня
જૂન ૨૭	27 июня
જૂન ૨૪	24 июня
જૂન ૨૦	20 июня
જૂન ૨૩	23 июня
જૂન ૧૯	19 июня
જૂન ૧૮	18 июня
જૂન ૨૧	21 июня
જૂન ૧૭	17 июня
ડિસેમ્બર ૨૩	23 декабря
આર્નોલ્ડ શ્વાર્ઝેનેગર	Шварценеггер, Арнольд
જુલાઇ ૧૫	15 июля
જુલાઇ ૧૩	13 июля
જુલાઇ ૧૨	12 июля
જુલાઇ ૧૦	10 июля
જુલાઇ ૯	9 июля
જુલાઇ ૧૪	14 июля
જુલાઇ ૮	8 июля
જુલાઇ ૭	7 июля
જુલાઇ ૬	6 июля
જુલાઇ ૫	5 июля
જુલાઇ ૨	2 июля
જુલાઇ ૪	4 июля
જુલાઇ ૩	3 июля
જુલાઇ ૧	1 июля
જુલાઇ ૧૧	11 июля
ડિસેમ્બર ૨૪	24 декабря
જુલાઇ ૩૧	31 июля
જુલાઇ ૩૦	30 июля
જુલાઇ ૨૯	29 июля
જુલાઇ ૨૮	28 июля
જુલાઇ ૨૭	27 июля
જુલાઇ ૨૫	25 июля
જુલાઇ ૨૪	24 июля
જુલાઇ ૨૩	23 июля
જુલાઇ ૨૬	26 июля
જુલાઇ ૨૨	22 июля
જુલાઇ ૧૯	19 июля
જુલાઇ ૨૧	21 июля
જુલાઇ ૨૦	20 июля
જુલાઇ ૧૭	17 июля
જુલાઇ ૧૮	18 июля
જુલાઇ ૧૬	16 июля
અસોસિએશન ફુટબોલ	Футбол
ડિસેમ્બર ૨૫	25 декабря
ડિસેમ્બર ૨૬	26 декабря
ઓગસ્ટ ૧૪	14 августа
ઓગસ્ટ ૧૫	15 августа
ઓગસ્ટ ૧૩	13 августа
ઓગસ્ટ ૧૨	12 августа
ઓગસ્ટ ૧૧	11 августа
ઓગસ્ટ ૧૦	10 августа
ઓગસ્ટ ૮	8 августа
ઓગસ્ટ ૭	7 августа
ઓગસ્ટ ૯	9 августа
ઓગસ્ટ ૫	5 августа
ઓગસ્ટ ૪	4 августа
ઓગસ્ટ ૨	2 августа
ઓગસ્ટ ૩	3 августа
ઓગસ્ટ ૬	6 августа
ઓગસ્ટ ૧	1 августа
આઇપેડ (iPad)	IPad
ડિસેમ્બર ૨૭	27 декабря
સબમરીન	Подводная лодка
ઓગસ્ટ ૧૬	16 августа
ઓગસ્ટ ૨૯	29 августа
ઓગસ્ટ ૨૮	28 августа
ઓગસ્ટ ૩૦	30 августа
ઓગસ્ટ ૨૫	25 августа
ઓગસ્ટ ૨૬	26 августа
ઓગસ્ટ ૨૩	23 августа
ઓગસ્ટ ૨૭	27 августа
ઓગસ્ટ ૨૧	21 августа
ઓગસ્ટ ૨૦	20 августа
ઓગસ્ટ ૨૪	24 августа
ઓગસ્ટ ૧૮	18 августа
ઓગસ્ટ ૧૭	17 августа
ઓગસ્ટ ૨૨	22 августа
ઓગસ્ટ ૧૯	19 августа
ઓગસ્ટ ૩૧	31 августа
માઇકલ જેકસન	Джексон, Майкл
ડિસેમ્બર ૨૮	28 декабря
સપ્ટેમ્બર ૧૫	15 сентября
સપ્ટેમ્બર ૧૪	14 сентября
સપ્ટેમ્બર ૧૩	13 сентября
સપ્ટેમ્બર ૧૨	12 сентября
સપ્ટેમ્બર ૮	8 сентября
સપ્ટેમ્બર ૧૧	11 сентября
સપ્ટેમ્બર ૭	7 сентября
સપ્ટેમ્બર ૧૦	10 сентября
સપ્ટેમ્બર ૫	5 сентября
સપ્ટેમ્બર ૪	4 сентября
સપ્ટેમ્બર ૯	9 сентября
સપ્ટેમ્બર ૨	2 сентября
સપ્ટેમ્બર ૬	6 сентября
સપ્ટેમ્બર ૧	1 сентября
સપ્ટેમ્બર ૩	3 сентября
ડિસેમ્બર ૨૯	29 декабря
સપ્ટેમ્બર ૩૦	30 сентября
સપ્ટેમ્બર ૨૯	29 сентября
સપ્ટેમ્બર ૨૮	28 сентября
