Afrika	Африка
Apriili 17	17 апреля
Apriili 18	18 апреля
Apriili 19	19 апреля
Apriili 20	20 апреля
Apriili 21	21 апреля
Apriili 22	22 апреля
Apriili 23	23 апреля
Apriili 24	24 апреля
Apriili 25	25 апреля
Apriili 26	26 апреля
Apriili 27	27 апреля
Apriili 28	28 апреля
Apriili 29	29 апреля
Apriili 30	30 апреля
Maaji 1	1 мая
Maaji 2	2 мая
Maaji 3	3 мая
Maaji 4	4 мая
Maaji 5	5 мая
Maaji 6	6 мая
Maaji 7	7 мая
Maaji 8	8 мая
Maaji 9	9 мая
Maaji 10	10 мая
Maaji 11	11 мая
Maaji 12	12 мая
Maaji 13	13 мая
Maaji 14	14 мая
Maaji 15	15 мая
Maaji 16	16 мая
Maaji 17	17 мая
Maaji 18	18 мая
Maaji 19	19 мая
Maaji 20	20 мая
Maaji 21	21 мая
Maaji 22	22 мая
Maaji 23	23 мая
Maaji 24	24 мая
Maaji 25	25 мая
Maaji 26	26 мая
Maaji 27	27 мая
Maaji 28	28 мая
Maaji 29	29 мая
Maaji 30	30 мая
Maaji 31	31 мая
Decemberi 21	21 декабря
Juuni 14	14 июня
Juuni 15	15 июня
Juuni 13	13 июня
Juuni 10	10 июня
Juuni 7	7 июня
Juuni 11	11 июня
Juuni 9	9 июня
Juuni 12	12 июня
Juuni 6	6 июня
Juuni 8	8 июня
Juuni 5	5 июня
Juuni 3	3 июня
Juuni 2	2 июня
Juuni 1	1 июня
Juuni 4	4 июня
Decemberi 22	22 декабря
Juuni 16	16 июня
Juuni 30	30 июня
Juuni 29	29 июня
Juuni 28	28 июня
Juuni 26	26 июня
Juuni 25	25 июня
Juuni 22	22 июня
Juuni 27	27 июня
Juuni 24	24 июня
Juuni 20	20 июня
Juuni 23	23 июня
Juuni 19	19 июня
Juuni 18	18 июня
Juuni 21	21 июня
Juuni 17	17 июня
Decemberi 23	23 декабря
Arnold Schwarzenegger	Шварценеггер, Арнольд
Juuli 15	15 июля
Juuli 13	13 июля
Juuli 12	12 июля
Juuli 10	10 июля
Juuli 9	9 июля
Juuli 14	14 июля
Juuli 8	8 июля
Juuli 7	7 июля
Juuli 6	6 июля
Juuli 5	5 июля
Juuli 2	2 июля
Juuli 4	4 июля
Juuli 3	3 июля
Juuli 1	1 июля
Juuli 11	11 июля
Decemberi 24	24 декабря
Juuli 31	31 июля
Juuli 30	30 июля
Juuli 29	29 июля
Juuli 28	28 июля
Juuli 27	27 июля
Juuli 25	25 июля
Juuli 24	24 июля
Juuli 23	23 июля
Juuli 26	26 июля
Juuli 22	22 июля
Juuli 19	19 июля
Juuli 21	21 июля
Juuli 20	20 июля
Juuli 17	17 июля
Juuli 18	18 июля
Juuli 16	16 июля
Decemberi 25	25 декабря
Decemberi 26	26 декабря
Aggusti 14	14 августа
Aggusti 15	15 августа
Aggusti 13	13 августа
Aggusti 12	12 августа
Aggusti 11	11 августа
Aggusti 10	10 августа
Aggusti 8	8 августа
Aggusti 7	7 августа
Aggusti 9	9 августа
Aggusti 5	5 августа
Aggusti 4	4 августа
Aggusti 2	2 августа
Aggusti 3	3 августа
Aggusti 6	6 августа
Aggusti 1	1 августа
Decemberi 27	27 декабря
Madrid	Мадрид
Aggusti 16	16 августа
Aggusti 29	29 августа
Aggusti 28	28 августа
Aggusti 30	30 августа
Aggusti 25	25 августа
Aggusti 26	26 августа
Aggusti 23	23 августа
Aggusti 27	27 августа
Aggusti 21	21 августа
Aggusti 20	20 августа
Aggusti 24	24 августа
Aggusti 18	18 августа
Aggusti 17	17 августа
Aggusti 22	22 августа
Aggusti 19	19 августа
Aggusti 31	31 августа
Decemberi 28	28 декабря
Bogotá	Богота
Brasilia	Бразилиа
Septemberi 15	15 сентября
Septemberi 14	14 сентября
Septemberi 13	13 сентября
Septemberi 12	12 сентября
Septemberi 8	8 сентября
Septemberi 11	11 сентября
Septemberi 7	7 сентября
Septemberi 10	10 сентября
Septemberi 5	5 сентября
Septemberi 4	4 сентября
Septemberi 9	9 сентября
Septemberi 2	2 сентября
Septemberi 6	6 сентября
Septemberi 1	1 сентября
Septemberi 3	3 сентября
Decemberi 29	29 декабря
Canadami nunatat killeqarfiillu	Провинции и территории Канады
Septemberi 30	30 сентября
Septemberi 29	29 сентября
Septemberi 28	28 сентября
Septemberi 27	27 сентября
Septemberi 26	26 сентября
Septemberi 25	25 сентября
Santiago (Chile)	Сантьяго
Septemberi 23	23 сентября
Septemberi 22	22 сентября
Septemberi 24	24 сентября
Septemberi 21	21 сентября
Septemberi 20	20 сентября
Septemberi 18	18 сентября
Septemberi 17	17 сентября
Septemberi 19	19 сентября
Septemberi 16	16 сентября
Decemberi 30	30 декабря
Sucre	Сукре (город)
Decemberi 31	31 декабря
Oktoberi 1	1 октября
Oktoberi 15	15 октября
Oktoberi 12	12 октября
Oktoberi 10	10 октября
Oktoberi 14	14 октября
Oktoberi 9	9 октября
Oktoberi 8	8 октября
Oktoberi 13	13 октября
Oktoberi 7	7 октября
Oktoberi 11	11 октября
Oktoberi 6	6 октября
Oktoberi 4	4 октября
Oktoberi 5	5 октября
Oktoberi 3	3 октября
Oktoberi 2	2 октября
Oktoberi 31	31 октября
Oktoberi 30	30 октября
Oktoberi 29	29 октября
Oktoberi 28	28 октября
Oktoberi 26	26 октября
Oktoberi 25	25 октября
Oktoberi 24	24 октября
Oktoberi 27	27 октября
Oktoberi 22	22 октября
Oktoberi 23	23 октября
Oktoberi 20	20 октября
Oktoberi 21	21 октября
Oktoberi 19	19 октября
Oktoberi 17	17 октября
Oktoberi 16	16 октября
Oktoberi 18	18 октября
Novemberi 15	15 ноября
Novemberi 14	14 ноября
Novemberi 13	13 ноября
Novemberi 12	12 ноября
Novemberi 11	11 ноября
Novemberi 10	10 ноября
Novemberi 7	7 ноября
Novemberi 8	8 ноября
Novemberi 9	9 ноября
Novemberi 6	6 ноября
Novemberi 5	5 ноября
Novemberi 4	4 ноября
Novemberi 3	3 ноября
Novemberi 2	2 ноября
Novemberi 1	1 ноября
Novemberi 30	30 ноября
Novemberi 29	29 ноября
Novemberi 28	28 ноября
Novemberi 27	27 ноября
Novemberi 26	26 ноября
Novemberi 25	25 ноября
Novemberi 23	23 ноября
Novemberi 24	24 ноября
Novemberi 21	21 ноября
Novemberi 20	20 ноября
Novemberi 22	22 ноября
Novemberi 19	19 ноября
Novemberi 18	18 ноября
Novemberi 17	17 ноября
Novemberi 16	16 ноября
Canberra	Канберра
Sydney	Сидней
Melbourne	Мельбурн
Tripoli	Триполи
Angol	Анголь
Antofagasta	Антофагаста
Tehran	Тегеран
Jakarta	Джакарта
Ankara	Анкара
Riyadh	Эр-Рияд
Chiguayante	Чигуаянте
Damascus	Дамаск
Chillán	Чильян
Amman	Амман
Coyhaique	Койайке
Beirut	Бейрут
Masqat, Oman	Маскат
Nicosia	Никосия
Doha	Доха
Dodoma	Додома
Copiapó	Копьяпо
Nairobi	Найроби
Manama	Манама
Kampala	Кампала
Antananarivo	Антананариву
Osasco	Озаску
Mittarfik Dong Hoi	Донгхой (аэропорт)
Arusha	Аруша (город)
Kuritiba	Куритиба
Talca, Chile	Талька (Чили)
Rancagua, Chile	Ранкагуа
Konfusiusi	Конфуций
Corbin Bleu	Блю, Корбин
Sumut atassuseq:Matematikki	Категория:Математика
Savalimmiut	Фарерские острова
Surat	Сурат
Hangzhou	Ханчжоу
Céline Dion	Дион, Селин
Nunavissuaq	Континент
Illoqarfiit pingaarnersaat	Столица
Monzón	Монсон
Ukiup qaammatai	Месяц
Almazán	Альмасан
Japanimiusut	Японский язык
Encyklopædi	Энциклопедия
Saqqaa	Заглавная страница
Eurasia	Евразия
Francisco Goya	Гойя, Франсиско
Tatarstan	Татарстан
Salvador Dalí	Дали, Сальвадор
Vincent van Gogh	Ван Гог, Винсент
Henri Matisse	Матисс, Анри
Michelangelo	Микеланджело
Pablo Picasso	Пикассо, Пабло
Raphael	Рафаэль Санти
Rembrandt	Рембрандт
Jericho	Иерихон
Bethlehem	Вифлеем
Mekka	Мекка
Xi'an	Сиань
Kabul	Кабул
Inuunerup isumalerineq	Философия
Sumut atassuseq:Candidates for speedy deletion	Категория:Википедия:К быстрому удалению
Medan	Медан
Hebe Camargo	Камарго, Эбе
Seinäjoki	Сейняйоки
Montpellier	Монпелье
Guovdageaidnu	Кёутукейну
Airbus A330	Airbus A330
Sumut atassuseq:Ullorissanik ilisimatusarneq	Категория:Астрономия
Strasbourg	Страсбург
Ekutaq	Якутия
Guitar	Гитара
Dijon	Дижон
Økologi	Экология
Politikki	Политика
Naalakkersueriaaseq	Правительство
Nagguaatsoq	Слон
Sevastopol	Севастополь
Angallassissutit	Транспорт
Inuttut pisinnaatitaafiit pillugit silarsuarmioqatigiinut nalunaarut	Всеобщая декларация прав человека
WHO	Всемирная организация здравоохранения
Swahilimiutut	Суахили
Kineserisut (oqaatsit)	Китайский язык
Toulouse	Тулуза
Malagassiskisut	Малагасийский язык
Qagiirgiin	Анадырь
Palembang	Палембанг
Suliffissualerineq	Промышленность
Sumut atassuseq:Bulgaria	Категория:Болгария
Sumut atassuseq:Frankrigi	Категория:Франция
Sumut atassuseq:Nipilersorneq	Категория:Музыка
Ilinniartitaaneq	Образование
Hongkong	Гонконг
Karachi	Карачи
Seoul	Сеул
Shanghai	Шанхай
Internetprotokol	IP
Ukrainimiusut	Украинский язык
Cancún	Канкун
Guadalajara (Jalisco)	Гвадалахара
Svenskisuut	Шведский язык
Qallunaatut	Датский язык
Slovakimiusut	Словацкий язык
Estlandimiutut	Эстонский язык
Letlandimiutut	Латышский язык
Litauenimiutut	Литовский язык
Isarukitsoq	Пингвиновые
Farsimiutut	Персидский язык
Upperisarsiorneq	Религия
Koreamiusut	Корейский язык
Vietnamimiusut	Вьетнамский язык
Thailandimiutut	Тайский язык
Indonesiamiutut	Индонезийский язык
Mongoliamiutut	Монгольский язык
Juutit	Иудаизм
Hebraimiutut	Иврит
Aserbajdsjaniskisut	Азербайджанский язык
Tarnip ilinniarnera	Психология
Taoisme	Даосизм
Bengalimiutut	Бенгальский язык
Ukiuunerani OL 2010	Зимние Олимпийские игры 2010
Ronald Reagan	Рейган, Рональд
Serang	Серанг
Tangerang	Тангеранг
Sasaskisut	Зазаки
Bandung	Бандунг
Bekasi	Бекаси
Depok	Депок
Saskatoon	Саскатун
Tórshavn	Торсхавн
Ingeniørilerineq	Инженерное дело
Attaveqaqatigiinneq	Общение
Oqarasuaat	Телефон
Kulturi	Культура
Aritmetikki	Арифметика
Sumut atassuseq:Brazil	Категория:Бразилия
Nikerartuusisitsineq	Мультипликация
Nunaateqarneq	Сельское хозяйство
Surabaya	Сурабая
Taparneq	Танец
Innallangialerineq	Электроника
Silasiorneq	Погода
Shenyang	Шэньян
Chongqing	Чунцин
Tianjin	Тяньцзинь
Lahore	Лахор
Wuhan	Ухань
Silarsuarmi nunat	Алфавитный список стран и территорий
Nagoya	Нагоя
Ursidae	Медвежьи
Ullorsiut	Календарь
Gregorianskit ullorsiutaat	Григорианский календарь
Peqqinneq	Здоровье
Nantes	Нант
Brest	Брест (Франция)
Ilisserut:Kortpositioner Islandi	Шаблон:ПозКарта Исландия
Ilisserut:Kortpositioner Norge	Шаблон:ПозКарта Норвегия
Ilisserut:Kortpositioner Danmarki	Шаблон:ПозКарта Дания
Ilisserut:Kortpositioner Litaueni	Шаблон:ПозКарта Литва
Ilisserut:Kortpositioner Franskit Nunaat	Шаблон:ПозКарта Франция
Ilisserut:Kortpositioner Andorra	Шаблон:ПозКарта Андорра
Ilisserut:Kortpositioner Spania	Шаблон:ПозКарта Испания
Ilusilersugaaneq	Архитектура
Ilisserut:Kortpositioner Poleni	Шаблон:ПозКарта Польша
Ilisserut:Kortpositioner Tjekkia	Шаблон:ПозКарта Чехия
Malgrat de Mar	Мальграт-де-Мар
Hualqui	Уальки
Ilisserut:Kortpositioner Grønland	Шаблон:ПозКарта Дания Гренландия
Arabiamiutut	Арабский язык
Tartu	Тарту
Iquique	Икике
La Serena	Ла-Серена (Чили)
Makassar	Макасар
Erfalasoq	Флаг
Brno	Брно
Qungasersooq	Жираф
Shenzhen	Шэньчжэнь
Queen	Queen
Franche-Comté	Франш-Конте
Wikipedia:Anbefalet	Википедия:Избранные статьи
Wikipedia:Katersortarfik	Википедия:Форум
Busan	Пусан
Guangzhou	Гуанчжоу
Nanjing	Нанкин
ABBA	ABBA
Amaroq	Волк
Pyongyang	Пхеньян
Bien Hoa	Бьенхоа
San Pedro de la Paz	Сан-Педро-де-ла-Пас
Nha Trang	Нячанг
Simferopol	Симферополь
Bukarest	Бухарест
Tirana	Тирана
Motorhead	Motörhead
Ukioq ilassutilik	Високосный год
Suwon	Сувон
Daejeon	Тэджон
Daegu	Тэгу
Incheon	Инчхон
Falköping	Фальчёпинг
Skövde	Шёвде
Enköping	Энчёпинг
Varberg	Варберг (Швеция)
Piteå	Питео
Viborg	Виборг (город)
Næstved	Нествед
Sønderborg	Сённерборг (город)
Fredericia	Фредерисия
Vung Tau	Вунгтау
Qarasaasialerinermik ilisimatusarneq	Информатика
Jean Dominique Ingres	Энгр, Жан Огюст Доминик
Cervidae	Оленевые
Ataatarpooq	Отче наш
Inuup ineriartorneranik ilisimatusarneq	Антропология
Ulan Bator	Улан-Батор
Marseille	Марсель
Moshchena	Мощёная
Ittarnisarsiorneq	Археология
Paltoga	Палтога
Entrena	Энтрена
Wellington	Веллингтон
Inuiaqatigiinni erinaq	Государственный гимн
Palæstina	Палестина
Vancouver	Ванкувер
Mittarfik Cam Ranh	Камрань (аэропорт)
Svalbard	Шпицберген
Benetice	Бенетице
Savalimmiutut	Фарерский язык
Ca Mau	Камау
Da Lat	Далат
Uppsala	Уппсала
Göteborg	Гётеборг
Racibórz	Рацибуж
Phan Thiet	Фантхьет
Aarhus	Орхус
Odense	Оденсе
Qeerlutooq	Кряква
Kalaallisut	Гренландский язык
Jylland	Ютландия
Aalborg	Ольборг
Helsingborg	Хельсингборг
Västerås	Вестерос
Linköping	Линчёпинг
Jönköping	Йёнчёпинг
Stavanger	Ставангер
Oqaatsoq	Большой баклан
Karlstad	Карлстад
Mölnlycke	Мёльнлюкке
Sjælland	Зеландия (остров)
Umeå	Умео
Qussuk	Лебедь-кликун
Norrköping	Норрчёпинг
Örebro	Эребру
Gävle	Евле
Karlskrona	Карлскруна
Trondheim	Тронхейм
Kaniina	Зайцевые
Borås	Бурос
Tromsø	Тромсё
Växjö	Векшё
Esbjerg	Эсбьерг
Luleå	Лулео
Kalmar	Кальмар (город)
Appaliarsuk	Люрик
Sundsvall	Сундсвалль
Eskilstuna	Эскильстуна
Fyn	Фюн
Falun	Фалун
Östersund	Эстерсунд
Södertälje	Сёдертелье
Halmstad	Хальмстад
Drammen	Драммен
Roskilde	Роскилле
Zahlé	Захла
Thai Nguyen	Тхайнгуен (город)
Ciudad Juárez	Сьюдад-Хуарес
Fukuoka	Фукуока
Qarsaaq	Краснозобая гагара
Bergen (Norge)	Берген
Aarluk	Косатка (млекопитающее)
Helsingør	Хельсингёр
Taliffak	Камнешарка
Qaqulluk	Глупыш
Kristianstad	Кристианстад
Trelleborg	Треллеборг
Niisa	Морская свинья
Apparluk	Гагарка
Vejle	Вайле
Kolding	Коллинг
Herning	Хернинг
Uddevalla	Уддевалла
Frederikshavn	Фредериксхавн
Kungälv	Кунгэльв
Afrika-Eurasia	Афроевразия
Ippernaq	Длинноусые
Ystad	Истад
Kungsbacka	Кунгсбакка
Lahti	Лахти
Akureyri	Акюрейри
Augusto De Luca	Де Лука, Аугусто
Chengdu	Чэнду
Nyborg	Нюборг (коммуна)
Pinnipedia	Ластоногие
Zhengzhou	Чжэнчжоу
Pleiku	Плейку (город)
Kraków	Краков
Ar Ramtha	Эр-Рамта
Invercargill	Инверкаргилл
Siutitooq nimeruaartoq	Зебры
Drake	Дрейк (певец)
Soc Trang (illoqarfik)	Шокчанг
Long Xuyen	Лонгсюен
My Tho	Митхо
Vinh	Винь
Buon Ma Thuot	Буонметхуот
Nanoq	Белый медведь
Kasjubiskisut	Кашубский язык
Tel Aviv	Тель-Авив
Nice	Ницца
Valparaíso	Вальпараисо
Georges Seurat	Сёра, Жорж-Пьер
Imermiutarsuaq	Обыкновенный бегемот
Kyoto	Киото
Siissisoq	Носороговые
Grækerit oqaluttuatoqqanik	Древнегреческая мифология
Inooqatigiinnik ilisimatusarneq	Общественные науки
Tequixquiac	Текискьяк
Luxembourg	Люксембург (значения)
Kuwait Illoqarfik	Эль-Кувейт
Medina	Медина
