Āfrika	Африка
Vikivārdnīca	Викисловарь
Zivis	Рыбы
Etanols	Этанол
Alkoholiskie dzērieni	Алкогольные напитки
Brazīlija	Бразилия
Spirti	Спирты
Fransuā Olands	Олланд, Франсуа
Krievija	Россия
Vaļveidīgie	Китообразные
Optiskā šķiedra	Оптическое волокно
Jorkšīra	Йоркшир
Kvadrāts	Квадрат
Jūra	Море
Melnā jūra	Чёрное море
Pī	Пи (число)
Pī (burts)	Пи (буква)
Mango	Манго (фрукт)
Wiki	Вики
Toronto	Торонто
Alabama	Алабама
Sanpaulu	Сан-Паулу
Sanpaulu (štats)	Сан-Паулу (штат)
Kvebeka	Квебек
Pica	Пицца
Pasta (ēdiens)	Макаронные изделия
Boeing 747	Boeing 747
Wikimedia Foundation	Фонд Викимедиа
Džimijs Veilss	Уэйлс, Джимми
English	English (значения)
Vācija	Германия
Baltkrievija	Белоруссия
Lerijs Sendžers	Сэнгер, Ларри
Itālijas himna	Гимн Италии
Vācu valoda	Немецкий язык
Islande	Исландия
Dievs	Бог
Igaunija	Эстония
Deivids Kemerons	Кэмерон, Дэвид
Saturns (planēta)	Сатурн
Saturna gredzeni	Кольца Сатурна
Šokolāde	Шоколад
Lidmašīna	Самолёт
Karš	Война
1 (skaitlis)	1 (число)
2 (skaitlis)	2 (число)
3 (skaitlis)	3 (число)
4 (skaitlis)	4 (число)
5 (skaitlis)	5 (число)
Nulle	0 (число)
Bezgalība	Бесконечность
Stīvens Hārpers	Харпер, Стивен
Džordžs V. Bušs	Буш, Джордж Уокер
Taisnstūris	Прямоугольник
Latvija	Латвия
Ukraina	Украина
Čehija	Чехия
Slovākija	Словакия
Slovēnija	Словения
Viļņa	Вильнюс
Moldova	Молдавия
Rumānija	Румыния
Bulgārija	Болгария
Roma	Рим
Maķedonija	Республика Македония
Albānija	Албания
Grenlande	Гренландия (административная единица)
Horvātija	Хорватия
Bosnija un Hercegovina	Босния и Герцеговина
Nūka	Нуук
Azerbaidžāna	Азербайджан
Andora	Андорра
Kipra	Республика Кипр
Gruzija	Грузия
Valonija	Валлония
Kazahstāna	Казахстан
Malta	Мальта
Flandrija	Фландрия (историческая область)
Monako	Монако
Melnkalne	Черногория
Vatikāns	Ватикан
Sanmarīno	Сан-Марино
Brisele	Брюссель
Briseles galvaspilsētas reģions	Брюссельский столичный регион
Kuba	Куба
Beliza	Белиз
Eifeļa tornis	Эйфелева башня
Barbadosa	Барбадос
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Bezvadu sakari	Беспроводные технологии
Datora klaviatūra	Компьютерная клавиатура
Java (programmēšanas valoda)	Java
Indonēzija	Индонезия
Volfgangs Amadejs Mocarts	Моцарт, Вольфганг Амадей
Ludvigs van Bēthovens	Бетховен, Людвиг ван
Turku valoda	Турецкий язык
Mandelbrota kopa	Множество Мандельброта
Dienvidāfrika	Южно-Африканская Республика
Žans Fransuā Šampolions	Шампольон, Жан-Франсуа
Linkin Park	Linkin Park
Alžīrija	Алжир
Wikisource	Викитека
Viesuļvētra Sendija	Сэнди (ураган)
Uzbekistāna	Узбекистан
Rasenes	Росянка
Poznaņa	Познань
Taškenta	Ташкент
Varšava	Варшава
Eirovīzijas dziesmu konkurss	Конкурс песни Евровидение
Modēna	Модена
Viskijs	Виски
Vīns	Вино
Ūdens	Вода
Āda (materiāls)	Кожа (материал)
Koksne	Древесина
Tūra	Тур (город)
Televīzija	Телевидение
Dzimums	Пол организмов
Pornogrāfija	Порнография
Islandiešu valoda	Исландский язык
Klods Monē	Моне, Клод
Djego Velaskess	Веласкес, Диего
Čīle	Чили
El Greko	Эль Греко
Jēzus Kristus	Иисус Христос
Elviss Preslijs	Пресли, Элвис
Sebastjans Piņera	Пиньера, Себастьян
Galileo Galilejs	Галилей, Галилео
Merkurs (planēta)	Меркурий
Vēsture	История
Perlašēza kapsēta	Пер-Лашез
Apple Inc.	Apple
Venera (planēta)	Венера
Valoda	Язык
Mīlestība	Любовь
Diktatūra	Диктатура
Galaktika	Галактика
Jupiters (planēta)	Юпитер
Mišela Bačeleta	Бачелет, Мишель
Piena Ceļš	Млечный Путь
Lanvairpulguingila	Лланвайр-Пуллгвингилл
Lielais sprādziens	Большой взрыв
Urāns (planēta)	Уран (планета)
Bretaņa (vēsturisks reģions)	Бретань (историческая область)
Vikipēdija angļu valodā	Английская Википедия
Nikolā Sarkozī	Саркози, Николя
Neptūns (planēta)	Нептун
Astronomija	Астрономия
Singapūra	Сингапур
Zinātne	Наука
Kosmoloģija	Космология
Plutons (pundurplanēta)	Плутон
Monreāla	Монреаль
Brīvā programmatūra	Свободное программное обеспечение
Kempēra	Кемпер
Jaunava Marija	Богородица
Luijs IX	Людовик IX
Lihtenšteina	Лихтенштейн
Sports	Спорт
Kembridža	Кембридж
Jeloustonas nacionālais parks	Йеллоустон
Ādolfs Hitlers	Гитлер, Адольф
Facebook	Facebook
Google+	Google+
WikiLeaks	WikiLeaks
Džulians Asānžs	Ассанж, Джулиан
Pirmais pasaules karš	Первая мировая война
Otrais pasaules karš	Вторая мировая война
Ķelne	Кёльн
Korupcija	Коррупция
Wikibooks	Викиучебник
Augusto Pinočets	Пиночет, Аугусто
Wikiquote	Викицитатник
Wikiversity	Викиверситет
Wikivoyage	Викигид
Degvīns	Водка
Pulkstenis	Часы
Janka Kupala	Янка Купала
Ubuntu Linux	Ubuntu
Skopje	Скопье
Gdiņa	Гдыня
GNU/Linux	Linux
Bobs Dilans	Боб Дилан
Ščecina	Щецин
Metroloģija	Метрология
Matemātika	Математика
U2	U2
Latīņu valoda	Латинский язык
Bahreina	Бахрейн
Armēnija	Армения
Dženna Džeimsone	Джеймсон, Дженна
Ķīļraksts	Клинопись
Higsa bozons	Бозон Хиггса
Serbija	Сербия
Mēness	Луна
Stambula	Стамбул
Austrālija	Австралия
Bobs Mārlijs	Марли, Боб
Karls Sagans	Саган, Карл
Astrobioloģija	Астробиология
Fizika	Физика
Argentīna	Аргентина
Telesakari	Электросвязь
Peru	Перу
Bioloģija	Биология
Neidentificēts lidojošs objekts	Неопознанный летающий объект
Ziemeļkoreja	Корейская Народно-Демократическая Республика
Kambodža	Камбоджа
Dzīvnieku tiesības	Права животных
Koipera josla	Пояс Койпера
Korāns	Коран
Dinozauri	Динозавры
Zooloģija	Зоология
Islāms	Ислам
Bumbieres	Груша
Aleksandrijas bibliotēka	Александрийская библиотека
Ščebžešina	Щебжешин
Ļubļana	Любляна
Vonhocka	Вонхоцк
Salvadors Aljende	Альенде, Сальвадор
Botānika	Ботаника
Lehs Valensa	Валенса, Лех
Ritenis	Колесо
Enciklopēdija (Denī Didro)	Энциклопедия, или Толковый словарь наук, искусств и ремёсел
Denī Didro	Дидро, Дени
Žoržs Brasēns	Брассенс, Жорж
Prāts	Ум
Miers	Мир (отсутствие войны)
Encyclopædia Britannica	Энциклопедия Британника
Liona	Лион
Eiropas Savienība	Европейский союз
Plovdiva	Пловдив
Zvaigžņu kari	Звёздные войны
Rona-Alpi	Рона — Альпы
DBpedia	DBpedia
Vispasaules tīmeklis	Всемирная паутина
Sieviete	Женщина
Sofija	София
Akvedukts	Акведук
Dons Kihots	Дон Кихот (роман)
Dzeja	Поэзия
Datorvīruss	Компьютерный вирус
Černobiļas AES katastrofa	Авария на Чернобыльской АЭС
Hirosimas un Nagasaki bombardēšana	Атомные бомбардировки Хиросимы и Нагасаки
Milāna	Милан
Draudzība	Дружба
Atmiņa	Память
Arturs Rembo	Рембо, Артюр
Turīna	Турин
Izkārnījumi	Кал
Anālā atvere	Анус
Citrons	Лимон
Šarls Bodlērs	Бодлер, Шарль
Stendāls	Стендаль
Banāni	Банан
Emīls Zolā	Золя, Эмиль
Zieds	Цветок
Gugols	Гугол
Gugolplekss	Гуголплекс
Marianas dziļvaga	Марианский жёлоб
Vladimirs Visockis	Высоцкий, Владимир Семёнович
Everests	Джомолунгма
Anatomija	Анатомия
Pilsēta	Город
Napoleons Bonaparts	Наполеон I
Olimpa kalns (Marss)	Олимп (Марс)
Fizioloģija	Физиология
Zvaigzne	Звезда
Vezuvs	Везувий
Saule	Солнце
Debesis	Небо
Luijs Pastērs	Пастер, Луи
Ingemars Stēnmarks	Стенмарк, Ингемар
Gaismas gads	Световой год
Ciems	Село
Viktors Igo	Гюго, Виктор
Okeānija	Океания
Džuzepe Garibaldi	Гарибальди, Джузеппе
Vieglatlētika	Лёгкая атлетика
Cenzūra	Цензура
Saules sistēma	Солнечная система
Baltijas jūra	Балтийское море
Trieste	Триест
Visla	Висла
Elizejas lauki	Елисейские Поля
Odera	Одра
Zobi	Зуб (биология)
Ūdeņradis	Водород
Petija Smita	Смит, Патти
Hēlijs	Гелий
Elle	Ад
Vikikrātuve	Викисклад
Šķīstītava	Чистилище
Angela Merkele	Меркель, Ангела
Litijs	Литий
Berilijs	Бериллий
Skaļrunis	Громкоговоритель
Grāmata	Книга
Diennakts	Сутки
Austrumtimora	Восточный Тимор
Nakts	Ночь
Gads	Год
Gadsimts	Век
Lodza	Лодзь
Monblāns	Монблан
Reina	Рейн
Oslo	Осло
Bonna	Бонн
Visu svēto diena	Собор всех святых
Katovice	Катовице
Melnais caurums	Чёрная дыра
Luišs di Kamoinšs	Камоэнс, Луис де
Gejs	Гей
Romas karalis	The King of Rome
Cerera	Церера
Lisabona	Лиссабон
Žešova	Жешув
Ihiro Suzuki	Судзуки, Итиро
Haumeja	Хаумеа
Rona	Рона
Makemake	Макемаке
Maikls Blumbergs	Блумберг, Майкл Рубенс
Sekss	Секс
Erīda (pundurplanēta)	Эрида
Dubaija	Дубай (эмират)
Lionels Mesi	Месси, Лионель
Paduja	Падуя
Bors	Бор (элемент)
Nikolajs Koperniks	Коперник, Николай
Versaļa	Версаль (город)
Ogleklis	Углерод
Alesandro Del Pjēro	Дель Пьеро, Алессандро
Volga	Волга
Slāpeklis	Азот
Bergamo	Бергамо
Skābeklis	Кислород
Milānas "Internazionale"	Интернационале
Nīls Jangs	Янг, Нил
Planēta	Планета
Kleopatra	Клеопатра
Keita Buša	Буш, Кейт
Mūzika	Музыка
Venēcija	Венеция
Naruto	Наруто
Po (upe)	По (река)
Šarm eš Šeiha	Шарм-эш-Шейх
Ņeva	Нева
Termometrs	Термометр
Renna	Ренн
Lille	Лилль
Maskava	Москва
Fluors	Фтор
Itāļu valoda	Итальянский язык
Čivava (suņu šķirne)	Чихуахуа
Neons	Неон
Čivava	Чиуауа
Sanktpēterburga	Санкт-Петербург
Čada	Чад
Nātrijs	Натрий
Ziemeļi	Север
Magnijs	Магний
Alumīnijs	Алюминий
Jaunzēlande	Новая Зеландия
Dienvidi	Юг
Indija	Индия
Silīcijs	Кремний
Francijs	Франций
Tuvalu	Тувалу
Fosfors	Фосфор
Andrē Marī Ampērs	Ампер, Андре-Мари
Proza	Проза
Dzelzs	Железо
Tonga	Тонга
Rietumi	Запад
Alesandro Volta	Вольта, Алессандро
Sērs	Сера
Samoa	Самоа
Austrumi	Восток
Zālamana Salas	Соломоновы Острова
Vanuatu	Вануату
Moljērs	Мольер
Hlors	Хлор
Delfta	Делфт
Papua-Jaungvineja	Папуа — Новая Гвинея
Viljams Šekspīrs	Шекспир, Уильям
Fabula	Басня
Dienvidholande	Южная Голландия
Palau	Палау
Argons	Аргон
Nauru	Науру
Mozilla Firefox	Mozilla Firefox
Pasaka	Сказка
Ziemeļholande	Северная Голландия
Mikronēzija (valsts)	Федеративные Штаты Микронезии
Kālijs	Калий
Lionas "Olympique"	Олимпик Лион
Zēlande (province)	Зеландия (провинция)
Kalcijs	Кальций
Flevolande	Флеволанд
Svins	Свинец
Māršala Salas	Маршалловы Острова
Kiribati	Кирибати
Mongolija	Монголия
Fidži	Фиджи
Skandijs	Скандий
Stīvijs Vonders	Уандер, Стиви
Heilbronna	Хайльбронн
Titāns	Титан (элемент)
Venecuēla	Венесуэла
Šahs	Шахматы
Čingishans	Чингисхан
Vanādijs	Ванадий
Meina	Мэн (штат)
Hroms	Хром
Mājas zirgs	Домашняя лошадь
Amsterdama	Амстердам
Ierocis	Оружие
Dzīvnieki	Животные
Surinama	Суринам
Mangāns	Марганец
Paragvaja	Парагвай
Gajāna	Гайана
Māksla	Искусство
Ekvadora	Эквадор
Rēnijs	Рений
Kolumbija	Колумбия
Kobalts	Кобальт
Žans Rasins	Расин, Жан
Volframs	Вольфрам
Niķelis	Никель
Zemenes	Земляника
Pjērs Korneijs	Корнель, Пьер
Budisms	Буддизм
Groningena	Гронинген (город)
Bolīvija	Боливия
Osmijs	Осмий
Groningena (province)	Гронинген (провинция)
Varš	Медь
Trinidāda un Tobāgo	Тринидад и Тобаго
Pols Verlēns	Верлен, Поль
Augi	Растения
Sentvinsenta un Grenadīnas	Сент-Винсент и Гренадины
Cinks	Цинк
Ņūhempšīra	Нью-Гэмпшир
Sentlūsija	Сент-Люсия
Bjalistoka	Белосток
Leonardo da Vinči	Леонардо да Винчи
Sentkitsa un Nevisa	Сент-Китс и Невис
Sēnes	Грибы
Dario Fo	Фо, Дарио
Jamaika	Ямайка
Stefans Malarmē	Малларме, Стефан
Grenāda	Гренада
Frīzlande	Фрисландия (Нидерланды)
Masačūsetsa	Массачусетс
Drente	Дренте
Overeisela	Оверэйссел
Gvatemala	Гватемала
Gelderlande	Гелдерланд
Utrehta (province)	Утрехт (провинция)
Google Chrome	Google Chrome
Bahamas	Багамские Острова
Konektikuta	Коннектикут
Mājas vista	Курица
Antigva un Barbuda	Антигуа и Барбуда
Havajas	Гавайи
Hondurasa	Гондурас
Dominika	Доминика
Džērsija	Джерси (остров)
Dominikāna	Доминиканская Республика
Mājas cūka	Домашняя свинья
Ziemeļu Ledus okeāns	Северный Ледовитый океан
Haiti	Республика Гаити
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Тауматауакатангиангакоауауотаматеатурипукакапикимаунгахоронукупокануэнуакитанатаху
Salvadora	Сальвадор
Zvolle	Зволле
Irāna	Иран
Irāka	Ирак
Aļaska	Аляска
Asena	Ассен
Gudrība	Мудрость
Kostarika	Коста-Рика
Izraēla	Израиль
Novi Sonča	Новы-Сонч
Utrehta	Утрехт
Panama	Панама
Jemena	Йемен
Lozanna	Лозанна
Vīruss	Вирусы
Poļu valoda	Польский язык
Jordānija	Иордания
Nikaragva	Никарагуа
Florida	Флорида
Kirgizstāna	Киргизия
Arizona	Аризона
Kuveita	Кувейт
Laosa	Лаос
Libāna	Ливан
Oregona	Орегон
Maldīvija	Мальдивы
Amerika	Америка
Jūta	Юта
Liellops	Корова
Malaizija	Малайзия
Valē kantons	Вале (кантон)
Mihails Bulgakovs	Булгаков, Михаил Афанасьевич
Mjanma	Мьянма
Nepāla	Непал
Omāna	Оман
Pakistāna	Пакистан
Džeimss Bonds	Джеймс Бонд
Katara	Катар
Teniss	Теннис
MySQL	MySQL
Saūda Arābija	Саудовская Аравия
Andrejs Tarkovskis	Тарковский, Андрей Арсеньевич
Šrilanka	Шри-Ланка
Josifs Staļins	Сталин, Иосиф Виссарионович
Svītrkods	Штриховой код
Sīrija	Сирия
Platons	Платон
Gallijs	Галлий
Josifs Brodskis	Бродский, Иосиф Александрович
Tadžikistāna	Таджикистан
Pokemoni	Покемон
Ķīnas Republika	Китайская Республика
YouTube	YouTube
Germānijs	Германий
Aristotelis	Аристотель
Taizeme	Таиланд
Vilciens	Поезд
Arsēns	Мышьяк
Radio	Радио
Merila Strīpa	Стрип, Мерил
Turkmenistāna	Туркмения
Abakana	Абакан
Selēns	Селен
Irīdijs	Иридий
Apvienotie Arābu Emirāti	Объединённые Арабские Эмираты
Broms	Бром
Platīns	Платина
Vjetnama	Вьетнам
Čārlijs Čaplins	Чаплин, Чарльз
Novosibirska	Новосибирск
Dienvidkoreja	Республика Корея
Juzefs Pilsudskis	Пилсудский, Юзеф
Simpsoni	Симпсоны
Jekaterinburga	Екатеринбург
Kriptons	Криптон
Afganistāna	Афганистан
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Нижний Новгород
Džons Ronalds Rūels Tolkīns	Толкин, Джон Рональд Руэл
Samara	Самара
Rubīdijs	Рубидий
Zelts	Золото
Omska	Омск
Suecas kanāls	Суэцкий канал
Kazaņa	Казань
Zinātnieks	Учёный
Bangladeša	Бангладеш
Bleach (manga)	Блич
Francs Kafka	Кафка, Франц
Čeļabinska	Челябинск
Gordons Frīmens	Гордон Фримен
Rostova pie Donas	Ростов-на-Дону
Horhe Luiss Borhess	Борхес, Хорхе Луис
Ufa	Уфа
Mali	Мали
Sokrats	Сократ
Volgograda	Волгоград
Angola	Ангола
Perma	Пермь
Butāna	Бутан
Twitter	Твиттер
Krasnojarska	Красноярск
Bruneja	Бруней
Tanzānija	Танзания
Dzīvsudrabs	Ртуть
Roalds Amundsens	Амундсен, Руаль
Harijs Mulišs	Мулиш, Харри
Filipīnas	Филиппины
Centrālāfrikas Republika	Центральноафриканская Республика
Naruto Udzumaki	Наруто Удзумаки
Tallijs	Таллий
Dienvidpols	Южный полюс
Ziemeļpols	Северный полюс
Īzaks Ņūtons	Ньютон, Исаак
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Эйнштейн, Альберт
Stroncijs	Стронций
Pedru I	Педру I (император Бразилии)
Narkotikas	Наркотик
Itrijs	Иттрий
Bismuts	Висмут
Dzeltenā krāsa	Жёлтый цвет
Kvantu mehānika	Квантовая механика
Togo	Того
Donalds Tusks	Туск, Дональд
Tunisija	Тунис
Džons Bardīns	Бардин, Джон
Zambija	Замбия
Zimbabve	Зимбабве
Pekina	Пекин
Dienvidsudāna	Южный Судан
Vladivostoka	Владивосток
Tiva	Тыва
Benina	Бенин
Botsvana	Ботсвана
Wikinews	Викиновости
Burkinafaso	Буркина-Фасо
Burundi	Бурунди
Komoras	Коморы
Kongo Republika	Республика Конго
Alkmāra	Алкмар
Oba	Обь
Kongo Demokrātiskā Republika	Демократическая Республика Конго
Sanantonio	Сан-Антонио
Tomska	Томск
Džibutija	Джибути
Mēme	Мем
Polonijs	Полоний
Bavārija	Бавария
Pasaules kauss kalnu slēpošanā	Кубок мира по горнолыжному спорту
Ekvatoriālā Gvineja	Экваториальная Гвинея
Bādene-Virtemberga	Баден-Вюртемберг
Eritreja	Эритрея
Ņūdeli	Нью-Дели
Jānis Pāvils II	Иоанн Павел II
Fjodors Dostojevskis	Достоевский, Фёдор Михайлович
Amersforta	Амерсфорт
Kamčatkas pussala	Камчатка
Tbilisi	Тбилиси
Andrejs Saharovs	Сахаров, Андрей Дмитриевич
Zīdainis	Младенец
Astats	Астат
Gabona	Габон
Mohandass Karamčands Gandijs	Махатма Ганди
Čukču pussala	Чукотский полуостров
Komikss	Комикс
Gambija	Гамбия
Gvineja	Гвинея
Gvineja-Bisava	Гвинея-Бисау
Kotdivuāra	Кот-д’Ивуар
Kamerūna	Камерун
Maribora	Марибор
Kaboverde	Кабо-Верде
Lesoto	Лесото
Libērija	Либерия
Lībija	Ливия
Āhene	Ахен
Madagaskara	Мадагаскар
Malāvija	Малави
Štutgarte	Штутгарт
Mauritānija	Мавритания
Poļi	Поляки
Maurīcija	Маврикий
Maroka	Марокко
Mozambika	Мозамбик
Namībija	Намибия
Nigēra	Нигер
Nigērija	Нигерия
Čārlzs Darvins	Дарвин, Чарлз
Uganda	Уганда
Ruanda	Руанда
Cirkonijs	Цирконий
Santome un Prinsipi	Сан-Томе и Принсипи
Karlsrūe	Карлсруэ
Senegāla	Сенегал
Seišelas	Сейшельские Острова
Kārlis Linnejs	Линней, Карл
Sjerraleone	Сьерра-Леоне
Somālija	Сомали
Niobijs	Ниобий
Džavaharlals Neru	Неру, Джавахарлал
Jūlijs Cēzars	Гай Юлий Цезарь
Sudāna	Судан
Svazilenda	Свазиленд
Varavīksne	Радуга
Molibdēns	Молибден
Tehnēcijs	Технеций
Hamburga	Гамбург
Vielmaiņa	Обмен веществ
Narēndra Modi	Моди, Нарендра
Imūnsistēma	Иммунная система
Gudžarāta	Гуджарат
Ontārio ezers	Онтарио (озеро)
Evolūcija	Эволюция
Apvienoto Nāciju Organizācija	Организация Объединённых Наций
Augšezers	Верхнее (озеро)
Dante Aligjēri	Данте Алигьери
Ģeoloģija	Геология
Amdāvāda	Ахмадабад
Ģeogrāfija	География
Sirds	Сердце
Smadzenes	Головной мозг
Āda	Кожа
Krāsa	Цвет
Pārkāpt robežu	Во все тяжкие
Salerno	Салерно
Lietvārds	Имя существительное
Prāga	Прага
Rutēnijs	Рутений
Rodijs	Родий
Zilā krāsa	Синий цвет
Pallādijs	Палладий
Sudrabs	Серебро
Kadmijs	Кадмий
Zvaigžņu ceļš	Звёздный путь
Limburga (Nīderlande)	Лимбург (Нидерланды)
Indijs	Индий
Limburga (Beļģija)	Лимбург (провинция Бельгии)
Alva	Олово
Urāns (elements)	Уран (элемент)
Antimons	Сурьма
Telūrs	Теллур
Ziemeļbrabante	Северный Брабант
Plutonijs	Плутоний
Jods (elements)	Иод
Neptūnijs	Нептуний
Ksenons	Ксенон
Anime	Аниме
Cēzijs	Цезий
Protaktīnijs	Протактиний
Elektriskais lādiņš	Электрический заряд
Bārijs	Барий
Rietumflandrija	Западная Фландрия
Austrumflandrija	Восточная Фландрия
Torijs	Торий
Antverpenes province	Антверпен (провинция)
Flāmu Brabante	Фламандский Брабант
Hafnijs	Гафний
Aktīnijs	Актиний
Valoņu Brabante	Валлонский Брабант
Tantals	Тантал (элемент)
Bills Klintons	Клинтон, Билл
Namīras province	Намюр (провинция)
Luksemburgas province	Люксембург (провинция Бельгии)
Ljēžas province	Льеж (провинция)
Rādijs	Радий
Eno	Эно
Ālene (Ziemeļreina-Vestfālene)	Ален (Северный Рейн-Вестфалия)
Radons	Радон
Lotringa	Лотарингия
Elzasa	Эльзас
Žans Filips Ramo	Рамо, Жан-Филипп
Indira Gandija	Ганди, Индира
Merkurs (mitoloģija)	Меркурий (мифология)
Ektors Berliozs	Берлиоз, Гектор
Overņa	Овернь
Mumbaja	Мумбаи
Starptautiskā vieglatlētikas federācija	Международная ассоциация легкоатлетических федераций
Āndhra Pradēša	Андхра-Прадеш
Arunāčala Pradēša	Аруначал-Прадеш
Asama	Ассам
Bihāra	Бихар
Mičigana	Мичиган
Čhatīsgarha	Чхаттисгарх
Mičigans	Мичиган (озеро)
Goa	Гоа
Burgundija	Бургундия
Harjāna	Харьяна
Himāčala Pradēša	Химачал-Прадеш
Moriss Ravēls	Равель, Морис
Akvitānija	Аквитания (регион)
Džammu un Kašmīra	Джамму и Кашмир
Puertoriko	Пуэрто-Рико
Džhārkhanda	Джаркханд
Karnātaka	Карнатака
Kerala	Керала
Madhja Pradēša	Мадхья-Прадеш
Useins Bolts	Болт, Усэйн
Limuzēna	Лимузен (регион)
Mahārāštra	Махараштра
Žans Batists Lulli	Люлли, Жан-Батист
Manipura	Манипур
Šlēsviga-Holšteina	Шлезвиг-Гольштейн
Meghālaja	Мегхалая
Mēklenburga-Priekšpomerānija	Мекленбург-Передняя Померания
Lejassaksija	Нижняя Саксония
Ziemeļreina-Vestfālene	Северный Рейн-Вестфалия
Hesene	Гессен
Reinzeme-Pfalca	Рейнланд-Пфальц
Zāra (zeme)	Саар
Saksija	Саксония (земля)
Džons Lenons	Леннон, Джон
Ilinoisa	Иллинойс
Tīringene	Тюрингия
Saksija-Anhalte	Саксония-Анхальт
Ziemeļdakota	Северная Дакота
Brandenburga (zeme)	Бранденбург
Brēmene (federālā zeme)	Бремен (земля)
Lombardija	Ломбардия
Dienviddakota	Южная Дакота
Montāna	Монтана
Vaiominga	Вайоминг
Pjemonta	Пьемонт
Jeruzaleme	Иерусалим
Džordžo Napolitāno	Наполитано, Джорджо
Aidaho	Айдахо
Valle d'Aosta	Валле-д’Аоста
Vašingtona (štats)	Вашингтон (штат)
Brūss Springstīns	Спрингстин, Брюс
Rezerfordijs	Резерфордий
Nevada	Невада
Dona	Дон
Dubnijs	Дубний
Sīborgijs	Сиборгий
Trentīno-Alto Adidže	Трентино — Альто-Адидже
Indijas okeāns	Индийский океан
Veneto	Венето
Kosova	Республика Косово
Karību jūra	Карибское море
Borijs	Борий
Friuli-Venēcija Džūlija	Фриули-Венеция-Джулия
Hasijs	Хассий
Pans Kimuns	Пан Ги Мун
Kofi Annans	Аннан, Кофи
Ligūrija	Лигурия
Butross Butross-Gali	Бутрос-Гали, Бутрос
Meitnērijs	Мейтнерий
Kurts Valdheims	Вальдхайм, Курт
Kolorādo	Колорадо
Emīlija-Romanja	Эмилия-Романья
U Tans	У Тан
Kolorādo (upe)	Колорадо (река)
Darmštatijs	Дармштадтий
Dāgs Hammaršelds	Хаммаршёльд, Даг
