非洲	Африка
莫奈	Моне, Клод
委拉斯蓋茲	Веласкес, Диего
智利	Чили
耶穌	Иисус Христос
皮禮士利	Пресли, Элвис
體罰	Телесные наказания
伽利略	Галилей, Галилео
水星	Меркурий
歷史	История
蘋果公司	Apple
金星	Венера
語言	Язык
愛	Любовь
專政	Диктатура
星系	Галактика
木星	Юпитер
巴切萊特	Бачелет, Мишель
銀河	Млечный Путь
宇宙大爆炸	Большой взрыв
天王星	Уран (планета)
英文維基百科	Английская Википедия
薩爾科齊	Саркози, Николя
海王星	Нептун
天文	Астрономия
星架坡	Сингапур
科學	Наука
冥王星	Плутон
滿地可	Монреаль
自由軟件	Свободное программное обеспечение
聖母瑪利亞	Богородица
列支敦士登	Лихтенштейн
運動	Спорт
劍橋	Кембридж
希特拉	Гитлер, Адольф
Facebook	Facebook
WikiLeaks	WikiLeaks
阿桑奇	Ассанж, Джулиан
第一次世界大戰	Первая мировая война
第二次世界大戰	Вторая мировая война
第三次世界大戰	Третья мировая война
古龍 (德國)	Кёльн
貪污	Коррупция
維基書本	Викиучебник
維基語錄	Викицитатник
維基學府	Викиверситет
維基遊埠	Викигид
伏特加	Водка
格仔餅	Вафля
鐘	Часы
Ubuntu	Ubuntu
斯科普里	Скопье
Linux	Linux
數學	Математика
拉丁話	Латинский язык
巴林	Бахрейн
亞美尼亞	Армения
楔形字	Клинопись
希格斯玻色子	Бозон Хиггса
塞爾維亞	Сербия
月光	Луна
伊斯坦堡	Стамбул
澳洲	Австралия
物理	Физика
阿根廷	Аргентина
秘魯	Перу
生物學	Биология
不明飛行物體	Неопознанный летающий объект
朝鮮民主主義人民共和國	Корейская Народно-Демократическая Республика
柬埔寨	Камбоджа
柯伊伯帶	Пояс Койпера
可蘭經	Коран
恐龍	Динозавры
動物學	Зоология
回敎	Ислам
梨	Груша
盧布爾雅那	Любляна
植物學	Ботаника
Lech Wałęsa	Валенса, Лех
轆	Колесо
狄德羅	Дидро, Дени
心智	Ум
和平 (關係)	Мир (отсутствие войны)
不列顛百科全書	Энциклопедия Британника
里昂	Лион
歐洲聯盟	Европейский союз
萬維網	Всемирная паутина
女人	Женщина
索菲亞	София
唐吉訶德	Дон Кихот (роман)
詩	Поэзия
MegaUpload	Megaupload
切爾諾貝爾核災	Авария на Чернобыльской АЭС
米蘭	Милан
友情	Дружба
拖連奴	Турин
屎	Кал
屎窟竉	Анус
胳肋底	Подмышка
檸檬	Лимон
波德萊爾	Бодлер, Шарль
蕉	Банан
666年	666 год
花	Цветок
Googol	Гугол
Googolplex	Гуголплекс
馬里亞納海溝	Марианский жёлоб
珠穆朗瑪峰	Джомолунгма
解剖學	Анатомия
城市	Город
拿破崙	Наполеон I
奧林匹斯山 (火星)	Олимп (Марс)
恆星	Звезда
太陽	Солнце
天	Небо
巴士德	Пастер, Луи
光年	Световой год
村	Село
雨果	Гюго, Виктор
大洋洲	Океания
田徑	Лёгкая атлетика
太陽系	Солнечная система
波羅的海	Балтийское море
香榭麗舍大道	Елисейские Поля
牙	Зуб (биология)
氫	Водород
氦	Гелий
人牙	Зубы человека
地獄	Ад
維基同享	Викисклад
默克爾	Меркель, Ангела
鋰	Литий
鈹	Бериллий
音響喇叭	Громкоговоритель
書	Книга
日 (曆法)	Сутки
東帝汶	Восточный Тимор
夜晚	Ночь
年	Год
世紀	Век
白朗峰	Монблан
萊茵河	Рейн
奧斯陸	Осло
波恩	Бонн
卡托維治	Катовице
黑洞	Чёрная дыра
賈梅士	Камоэнс, Луис де
基佬	Гей
穀神星	Церера
里斯本	Лиссабон
妊神星	Хаумеа
鳥神星	Макемаке
性交	Секс
鬩神星	Эрида
杜拜	Дубай (эмират)
美斯	Месси, Лионель
硼	Бор (элемент)
哥白尼	Коперник, Николай
碳	Углерод
迪比亞路	Дель Пьеро, Алессандро
伏加河	Волга
氮	Азот
氧	Кислород
國際米蘭	Интернационале
行星	Планета
埃及妖后	Клеопатра
音樂	Музыка
威尼斯	Венеция
火影忍者	Наруто
波河	По (река)
沙姆沙伊赫	Шарм-эш-Шейх
莫斯科	Москва
氟	Фтор
意大利話	Итальянский язык
芝娃娃	Чихуахуа
氖	Неон
芝華華州	Чиуауа
聖彼得堡	Санкт-Петербург
乍得	Чад
鈉	Натрий
北	Север
鎂	Магний
新世紀福音戰士	Евангелион
鋁	Алюминий
紐西蘭	Новая Зеландия
南	Юг
印度	Индия
矽	Кремний
鈁	Франций
圖瓦盧	Тувалу
磷	Фосфор
散文	Проза
鐵	Железо
湯加	Тонга
西	Запад
硫	Сера
薩摩亞	Самоа
東	Восток
所羅門群島	Соломоновы Острова
瓦努阿圖	Вануату
莫里哀	Мольер
氯	Хлор
巴布亞新畿內亞	Папуа — Новая Гвинея
莎士比亞	Шекспир, Уильям
帛琉	Палау
氬	Аргон
瑙魯	Науру
Mozilla Firefox	Mozilla Firefox
密克羅尼西亞聯邦	Федеративные Штаты Микронезии
鉀	Калий
鈣	Кальций
鉛	Свинец
馬紹爾群島	Маршалловы Острова
基里巴斯	Кирибати
蒙古國	Монголия
斐濟	Фиджи
鈧	Скандий
鈦	Титан (элемент)
委內瑞拉	Венесуэла
國際象棋	Шахматы
鐵木真	Чингисхан
釩	Ванадий
緬因州	Мэн (штат)
鉻	Хром
馬	Домашняя лошадь
阿姆斯特丹	Амстердам
武器	Оружие
動物	Животные
蘇里南	Суринам
錳	Марганец
巴拉圭	Парагвай
圭亞那	Гайана
藝術	Искусство
厄瓜多爾	Эквадор
錸	Рений
哥倫比亞	Колумбия
鈷	Кобальт
鎢	Вольфрам
鎳	Никель
士多啤梨	Земляника
佛教	Буддизм
玻利維亞	Боливия
鋨	Осмий
銅	Медь
千里達	Тринидад и Тобаго
植物	Растения
聖文森特和格林納丁斯	Сент-Винсент и Гренадины
鋅	Цинк
紐咸西州	Нью-Гэмпшир
聖盧西亞	Сент-Люсия
達文西	Леонардо да Винчи
聖傑氏尼維斯	Сент-Китс и Невис
真菌	Грибы
牙買加	Ямайка
格林納達	Гренада
麻省	Массачусетс
危地馬拉	Гватемала
Google Chrome	Google Chrome
巴哈馬	Багамские Острова
康湼狄格州	Коннектикут
雞	Курица
安提瓜巴布達	Антигуа и Барбуда
夏威夷州	Гавайи
洪都拉斯	Гондурас
多米尼克	Доминика
澤西島	Джерси (остров)
多明尼加	Доминиканская Республика
豬	Домашняя свинья
北冰洋	Северный Ледовитый океан
海地	Республика Гаити
他羽馬他華加坦基很加哥歐歐奧他馬鐵督䈅卜加加皮基馬源加河鍋鹿古波街喴嚕亞其他那他烕	Тауматауакатангиангакоауауотаматеатурипукакапикимаунгахоронукупокануэнуакитанатаху
薩爾瓦多	Сальвадор
伊朗	Иран
伊拉克	Ирак
阿拉斯加州	Аляска
哥斯達黎加	Коста-Рика
以色列	Израиль
巴拿馬	Панама
也門	Йемен
病毒	Вирусы
波蘭文	Польский язык
約旦	Иордания
尼加拉瓜	Никарагуа
佛羅里達州	Флорида
吉爾吉斯	Киргизия
亞利桑拿州	Аризона
科威特	Кувейт
老撾	Лаос
黎巴嫩	Ливан
柯利近省	Орегон
馬爾代夫	Мальдивы
美洲	Америка
猶他州	Юта
牛	Корова
馬來西亞	Малайзия
緬甸	Мьянма
尼泊爾	Непал
阿曼	Оман
巴基斯坦	Пакистан
占士邦	Джеймс Бонд
卡塔爾	Катар
網球	Теннис
沙地阿拉伯	Саудовская Аравия
斯里蘭卡	Шри-Ланка
史太林	Сталин, Иосиф Виссарионович
敘利亞	Сирия
柏拉圖	Платон
鎵	Галлий
塔吉克	Таджикистан
寵物小精靈	Покемон
中華民國	Китайская Республика
YouTube	YouTube
鍺	Германий
阿里士多德	Аристотель
泰國	Таиланд
火車	Поезд
砷	Мышьяк
無線電	Радио
梅麗史翠普	Стрип, Мерил
土庫曼	Туркмения
硒	Селен
銥	Иридий
阿拉伯聯合酋長國	Объединённые Арабские Эмираты
溴	Бром
白金	Платина
越南	Вьетнам
差利	Чаплин, Чарльз
大韓民國	Республика Корея
阿森一族	Симпсоны
氪	Криптон
阿富汗	Афганистан
江南Style	Gangnam Style
J. R. R. Tolkien	Толкин, Джон Рональд Руэл
檸檬水	Лимонад
銣	Рубидий
金	Золото
蘇彝士運河	Суэцкий канал
科學家	Учёный
孟加拉國	Бангладеш
卡夫卡	Кафка, Франц
博爾赫斯	Борхес, Хорхе Луис
馬里	Мали
蘇格拉底	Сократ
安哥拉	Ангола
不丹	Бутан
Twitter	Твиттер
汶萊	Бруней
坦桑尼亞	Танзания
水銀	Ртуть
阿蒙森	Амундсен, Руаль
菲律賓	Филиппины
中非共和國	Центральноафриканская Республика
鉈	Таллий
南極	Южный полюс
北極	Северный полюс
牛頓	Ньютон, Исаак
愛因斯坦	Эйнштейн, Альберт
鍶	Стронций
釔	Иттрий
鉍	Висмут
黃	Жёлтый цвет
量子力學	Квантовая механика
多哥	Того
突尼西亞	Тунис
贊比亞	Замбия
津巴布韋	Зимбабве
北京	Пекин
南蘇丹	Южный Судан
海參崴	Владивосток
貝寧	Бенин
波茨華拿	Ботсвана
維基新聞	Викиновости
布基納法索	Буркина-Фасо
布隆迪	Бурунди
科摩羅	Коморы
剛果	Республика Конго
剛果民主共和國	Демократическая Республика Конго
聖安東尼奧	Сан-Антонио
吉布提	Джибути
釙	Полоний
拜仁	Бавария
赤道畿內亞	Экваториальная Гвинея
巴登－烏騰堡	Баден-Вюртемберг
厄立特里亞	Эритрея
新德里	Нью-Дели
若望保祿二世	Иоанн Павел II
杜斯托也夫斯基	Достоевский, Фёдор Михайлович
第比利斯	Тбилиси
孲𤘅子	Младенец
砹	Астат
加蓬	Габон
甘地	Махатма Ганди
漫畫	Комикс
甘比亞	Гамбия
畿內亞	Гвинея
畿內亞比紹	Гвинея-Бисау
象牙海岸	Кот-д’Ивуар
喀麥隆	Камерун
維德角	Кабо-Верде
萊索托	Лесото
利比利亞	Либерия
利比亞	Ливия
阿臣	Ахен
馬達加斯加	Мадагаскар
馬拉維	Малави
史特加	Штутгарт
毛里塔尼亞	Мавритания
毛厘士	Маврикий
摩洛哥	Марокко
莫三鼻給	Мозамбик
納米比亞	Намибия
尼日爾	Нигер
尼日利亞	Нигерия
達爾文	Дарвин, Чарлз
烏干達	Уганда
盧旺達	Руанда
鋯	Цирконий
聖多美普林西比	Сан-Томе и Принсипи
卡斯魯亞	Карлсруэ
塞內加爾	Сенегал
塞舌爾	Сейшельские Острова
林奈	Линней, Карл
塞拉利昂	Сьерра-Леоне
索馬里	Сомали
鈮	Ниобий
尼赫魯	Неру, Джавахарлал
凱撒	Гай Юлий Цезарь
蘇丹	Судан
斯威士蘭	Свазиленд
虹	Радуга
鉬	Молибден
鎝	Технеций
漢堡	Гамбург
新陳代謝	Обмен веществ
莫迪	Моди, Нарендра
免疫系統	Иммунная система
天演	Эволюция
聯合國	Организация Объединённых Наций
但丁	Данте Алигьери
地質	Геология
地理	География
心	Сердце
腦	Головной мозг
皮	Кожа
色	Цвет
名詞	Имя существительное
布拉格	Прага
釕	Рутений
銠	Родий
藍	Синий цвет
鈀	Палладий
銀	Серебро
鎘	Кадмий
星空奇遇記	Звёздный путь
銦	Индий
錫	Олово
鈾	Уран (элемент)
銻	Сурьма
碲	Теллур
鈈	Плутоний
碘	Иод
錼	Нептуний
氙	Ксенон
日本動畫	Аниме
銫	Цезий
鏷	Протактиний
電荷	Электрический заряд
鋇	Барий
釷	Торий
鉿	Гафний
錒	Актиний
鉭	Тантал (элемент)
克林頓	Клинтон, Билл
鐳	Радий
氡	Радон
阿爾薩斯大區	Эльзас
Ubn	Унбинилий
孟買	Мумбаи
林堡	Лимбург
阿魯納恰爾	Аруначал-Прадеш
密芝根州	Мичиган
布爾岡	Бургундия
波多黎各	Пуэрто-Рико
呂利	Люлли, Жан-Батист
舒勒斯維－荷斯泰因	Шлезвиг-Гольштейн
美倫堡－前波瑪恩	Мекленбург-Передняя Померания
下薩克遜	Нижняя Саксония
北萊茵－西法倫	Северный Рейн-Вестфалия
希燊	Гессен
萊茵－普法茨	Рейнланд-Пфальц
沙亞	Саар
薩克遜	Саксония (земля)
約翰連儂	Леннон, Джон
伊利諾州	Иллинойс
脫靈根	Тюрингия
薩克遜－雁候	Саксония-Анхальт
北得高打省	Северная Дакота
勃蘭登堡	Бранденбург
不來梅漢莎自由市	Бремен (земля)
倫巴第大區	Ломбардия
南達科他州	Южная Дакота
望丹拿省	Монтана
懷俄明州	Вайоминг
直刃族	Straight edge
耶路撒冷	Иерусалим
愛達荷州	Айдахо
歐斯達山谷大區	Валле-д’Аоста
華盛頓州	Вашингтон (штат)
鑪	Резерфордий
內華達州	Невада
科索沃地區	Косово и Метохия (географический регион)
𨧀	Дубний
𨭎	Сиборгий
印度洋	Индийский океан
科索沃	Республика Косово
加勒比海	Карибское море
𨨏	Борий
𨭆	Хассий
潘基文	Пан Ги Мун
安南	Аннан, Кофи
䥑	Мейтнерий
哥羅拉度州	Колорадо
鐽	Дармштадтий
蕭邦	Шопен, Фредерик
果占	Конфитюр
錀	Рентгений
托斯卡納大區	Тоскана
鎶	Коперниций
Category:類	Категория:Всё
拉素	Лацио
阿爾卑斯山	Альпы
布萊士帕斯卡	Паскаль, Блез
跳棋	Шашки
披頭四	The Beatles
Uut	Унунтрий
鈇	Флеровий
Uup	Унунпентий
鉝	Ливерморий
Uus	Унунсептий
Uuo	Унуноктий
冬天	Зима
春天	Весна
夏天	Лето
秋天	Осень
薩達姆侯賽因	Саддам Хусейн
賓拉登	Усама бен Ладен
西班牙文	Испанский язык
蒙特維多	Монтевидео
巴哈	Бах, Иоганн Себастьян
韋華第	Вивальди, Антонио
歌劇	Опера
費城	Филадельфия
架利吉打	Калькутта
德里	Дели
達卡	Дакка
蠄蟧	Пауки
蜘蛛綱	Паукообразные
節肢動物	Членистоногие
伊斯蘭堡	Исламабад
果	Плод
馬騮	Обезьяны
錢	Деньги
維珍尼亞州	Виргиния
西維珍尼亞州	Западная Виргиния
番椒	Перец овощной
紐約州	Нью-Йорк (штат)
鈰	Церий
鐠	Празеодим
羅德島州	Род-Айленд
釹	Неодим
昆蟲	Насекомые
馬利蘭州	Мэриленд
特拉華州	Делавэр
列寧	Ленин, Владимир Ильич
銪	Европий
俄亥俄州	Огайо
維吉爾	Вергилий
馬基雅維利	Макиавелли, Никколо
賓夕凡尼亞州	Пенсильвания
於特森	Итерзен
奧古斯都	Октавиан Август
Microsoft Windows	Windows
紐澤西州	Нью-Джерси
直布羅陀	Гибралтар
芬蘭話	Финский язык
印第安納州	Индиана
諾基亞公司	Nokia
汽車	Автомобиль
祖雲達斯	Ювентус
圖拉真	Траян
費達拿	Федерер, Роджер
佐治亞州	Джорджия
薩格勒布	Загреб
德薩斯州	Техас
熱那亞	Генуя
北卡羅萊納州	Северная Каролина
草地曲棍球	Хоккей на траве
南卡羅萊納州	Южная Каролина
西西里	Сицилия
馬尼拉	Манила
薩丁島	Сардиния
馬可斯	Маркос, Фердинанд
阿基諾三世	Акино, Бенигно III
Ubu	Унбиуний
宿霧	Себу (город)
塞納河	Сена
布宜諾斯艾利斯	Буэнос-Айрес
墨西哥城	Мехико
東京都	Токио
拉巴斯	Ла-Пас (Боливия)
巴薩隆拿	Барселона
菠蘿	Ананас крупнохохолковый
密西西比州	Миссисипи (штат)
麥哲倫	Магеллан, Фернан
密西西比河	Миссисипи
泳池	Плавательный бассейн
錫金	Сикким
田納西州	Теннесси
華格納	Вагнер, Рихард
阿必尚	Абиджан
阿布扎比	Абу-Даби
阿斯塔納	Астана
新墨西哥州	Нью-Мексико
雅典	Афины
迴旋處	Круговой перекрёсток
明尼蘇達州	Миннесота
巴格達	Багдад
卡拉卡斯	Каракас
世界協調時間	Всемирное координированное время
威斯康辛州	Висконсин
AC米蘭	Милан (футбольный клуб)
仙荻廬泊	Лопер, Синди
埃奧華省	Айова
內布拉斯加州	Небраска
干沙省	Канзас
夏灣拿	Гавана
煙草	Табак (вещество)
印地話	Хинди
馬拉地文	Маратхи (язык)
Internet Explorer	Internet Explorer
煙仔	Сигарета
美疏利省	Миссури (штат)
路易斯安那州	Луизиана
肯塔基州	Кентукки
阿肯色州	Арканзас
尼爾岩士唐	Армстронг, Нил
烏爾都文	Урду
伊蒂琵雅芙	Пиаф, Эдит
Françoise Sagan	Саган, Франсуаза
奧克拉何馬州	Оклахома
多瑙河	Дунай
韻文	Стих
北海	Северное море
莫斯科州	Московская область
基爾	Киль (город)
舒維蓮	Шверин
波茨坦	Потсдам
漢諾威	Ганновер
杜塞爾多夫	Дюссельдорф
緬恩斯	Майнц
威斯巴登	Висбаден
沙卜勤	Саарбрюккен
慕尼黑	Мюнхен
艾雅福	Эрфурт
德累斯頓	Дрезден
麥德堡	Магдебург
排球	Волейбол
維也納	Вена
麥當娜	Мадонна (певица)
哥本哈根	Копенгаген
斯德哥爾摩	Стокгольм
赫爾辛基	Хельсинки
都柏林	Дублин
雷克雅未克	Рейкьявик
塔林	Таллин
里加	Рига
路易斯岩士唐	Армстронг, Луи
布拉迪斯拉發	Братислава
布達佩斯	Будапешт
格但斯克	Гданьск
法蘭克福	Франкфурт-на-Майне
鑭	Лантан
鉕	Прометий
天文單位	Астрономическая единица
釤	Самарий
紅酒	Красное вино
釓	Гадолиний
死亡筆記	Тетрадь смерти
施丹	Зидан, Зинедин
鋱	Тербий
天主敎	Католицизм
盧森堡城	Люксембург (город)
鏑	Диспрозий
華杜茲	Вадуц
聖經	Библия
鈥	Гольмий
聖馬連奴城	Сан-Марино (город)
鉺	Эрбий
金邊	Пномпень
銩	Тулий
胡志明市	Хошимин
鐿	Иттербий
鑥	Лютеций
河內	Ханой
真耶穌教會	Церковь истинного Иисуса
英文	Английский язык
曼谷	Бангкок
安道爾城	Андорра-ла-Велья
吉隆坡	Куала-Лумпур
臺北市	Тайбэй
鋂	Америций
鋦	Кюрий
同海市	Донгхой
Concepción	Консепсьон (город, Чили)
鉳	Берклий
鉲	Калифорний
外交	Дипломатия
博洛尼亞	Болонья
鑀	Эйнштейний
鐨	Фермий
卡利亞里	Кальяри
鍆	Менделевий
基輔	Киев
鍩	Нобелий
卡坦尼亞	Катания
安大略省	Онтарио
鐒	Лоуренсий
基奧特	Жиру, Оливье
列貝利	Рибери, Франк
拿斯利	Насри, Самир
基捷基治	Клиши, Гаэль
渥太華	Оттава
艾比度	Абидаль, Эрик
加拿斯	Галлас, Вильям
沙格拿	Санья, Бакари
安歷卡	Анелька, Николя
木星嘅衞星	Спутники Юпитера
緬尼吐巴	Манитоба
亞伯達	Альберта
諾華斯高沙	Новая Шотландия
埃里溫	Ереван
官士哥窩拿	Коньсковоля
喀土穆	Хартум
紐賓士域省	Нью-Брансуик
土星嘅衞星	Спутники Сатурна
卑詩省	Британская Колумбия
愛德華王子島	Остров Принца Эдуарда
2000年	2000 год
2003年	2003 год
2002年	2002 год
2001年	2001 год
沙士加芝灣	Саскачеван
2012年	2012 год
岸本齊史	Кисимото, Масаси
2011年	2011 год
2010年	2010 год
2009年	2009 год
二氧化碳	Диоксид углерода
2013年	2013 год
2014年	2014 год
2015年	2015 год
紐芬蘭與拉布拉多	Ньюфаундленд и Лабрадор
2008年	2008 год
JavaScript	JavaScript
西北地區	Северо-Западные территории
育空地區	Юкон (территория)
2004年	2004 год
2005年	2005 год
龍珠	Жемчуг дракона
2006年	2006 год
努那活	Нунавут
2007年	2007 год
一氧化碳	Монооксид углерода
1900年	1900 год
1901年	1901 год
密特朗	Миттеран, Франсуа
戴高樂	Де Голль, Шарль
1902年	1902 год
翡冷翠	Флоренция
1903年	1903 год
1904年	1904 год
1905年	1905 год
1907年	1907 год
1906年	1906 год
HTML5	HTML5
1908年	1908 год
1909年	1909 год
1992年	1992 год
1991年	1991 год
1990年	1990 год
1993年	1993 год
1994年	1994 год
1995年	1995 год
1996年	1996 год
1910年	1910 год
1911年	1911 год
1912年	1912 год
萊比錫	Лейпциг
1913年	1913 год
1914年	1914 год
1915年	1915 год
1916年	1916 год
1997年	1997 год
1998年	1998 год
1999年	1999 год
1917年	1917 год
1918年	1918 год
嘢食	Пища
蛇	Змеи
希拉克	Ширак, Жак
光速	Скорость света
口交	Оральный секс
Favicon	Favicon
海王星嘅衞星	Спутники Нептуна
魁北克市	Квебек (город)
UTC-12	UTC−12:00
1月1號	1 января
1月2號	2 января
天王星嘅衞星	Спутники Урана
UTC-11	UTC−11:00
1920年	1920 год
1月3號	3 января
1919年	1919 год
1921年	1921 год
UTC-10	UTC−10:00
1922年	1922 год
1月4號	4 января
1923年	1923 год
UTC-9:30	UTC−9:30
蘭斯岩士唐	Армстронг, Лэнс
1924年	1924 год
小行星帶	Пояс астероидов
UTC-9	UTC−09:00
龐比度	Помпиду, Жорж
WMA	Windows Media Audio
UTC-8:30	UTC−8:30
矮行星	Карликовая планета
1月5號	5 января
UTC-8	UTC−08:00
馬模	Мальмё
UTC-7	UTC−07:00
1月6號	6 января
電子	Электрон
1月7號	7 января
1月8號	8 января
1月9號	9 января
1月10號	10 января
1月11號	11 января
1月12號	12 января
艾德靈	Олдрин, Базз
1月13號	13 января
伯明翰	Бирмингем
1月14號	14 января
1月15號	15 января
1月16號	16 января
湯漢斯	Хэнкс, Том
1月17號	17 января
1月18號	18 января
1月19號	19 января
1月20號	20 января
工業革命	Промышленная революция
苯	Бензол
1月21號	21 января
1月22號	22 января
1月23號	23 января
羅馬帝國	Римская империя
1月24號	24 января
1月25號	25 января
明斯克	Минск
1月26號	26 января
微軟	Microsoft
1月27號	27 января
1月28號	28 января
1月29號	29 января
1月30號	30 января
1月31號	31 января
質子	Протон
12月2號	2 декабря
12月1號	1 декабря
12月3號	3 декабря
12月7號	7 декабря
12月5號	5 декабря
12月8號	8 декабря
12月10號	10 декабря
12月6號	6 декабря
12月9號	9 декабря
12月4號	4 декабря
2月1號	1 февраля
2月2號	2 февраля
氯化鈉	Хлорид натрия
2月3號	3 февраля
庫魯夫市	Курув
2月4號	4 февраля
2月5號	5 февраля
2月6號	6 февраля
2月7號	7 февраля
2月8號	8 февраля
2月9號	9 февраля
2月10號	10 февраля
化學	Химия
齊柏林飛船	Led Zeppelin
2月14號	14 февраля
2月13號	13 февраля
2月15號	15 февраля
2月11號	11 февраля
2月12號	12 февраля
雲佩斯	Ван Перси, Робин
2月19號	19 февраля
2月17號	17 февраля
2月16號	16 февраля
2月18號	18 февраля
2月20號	20 февраля
分析化學	Аналитическая химия
中子	Нейтрон
2月21號	21 февраля
2月22號	22 февраля
2月23號	23 февраля
2月24號	24 февраля
2月25號	25 февраля
2月26號	26 февраля
27年	27 год
2月27號	27 февраля
2月28號	28 февраля
12月11號	11 декабря
2月29號	29 февраля
12月12號	12 декабря
微軟Visual Basic	Visual Basic
12月13號	13 декабря
12月14號	14 декабря
12月15號	15 декабря
3月2號	2 марта
