Afrika	Африка
Dinosourus	Динозавры
Dierkunde	Зоология
Islam	Ислам
Ljubljana	Любляна
Plantkunde	Ботаника
Lech Wałęsa	Валенса, Лех
Wiel	Колесо
Denis Diderot	Дидро, Дени
Vrede	Мир (отсутствие войны)
Encyclopædia Britannica	Энциклопедия Британника
Lyon	Лион
Europese Unie	Европейский союз
Rhône-Alpes	Рона — Альпы
Wêreldwye web	Всемирная паутина
Vrou	Женщина
Sofia	София
Akwaduk	Акведук
Poësie	Поэзия
Rekenaarvirus	Компьютерный вирус
Milaan	Милан
Turyn	Турин
Ontlasting	Кал
Anus	Анус
Suurlemoen	Лимон
Piesang	Банан
Émile Zola	Золя, Эмиль
666	666 год
Blom	Цветок
Wladimir Wisotski	Высоцкий, Владимир Семёнович
Berg Everest	Джомолунгма
Anatomie	Анатомия
Stad	Город
Napoleon Bonaparte	Наполеон I
Olympus Mons	Олимп (Марс)
Fisiologie	Физиология
Ster	Звезда
Vesuvius	Везувий
Son	Солнце
Louis Pasteur	Пастер, Луи
Ligjaar	Световой год
Victor Hugo	Гюго, Виктор
Oseanië	Океания
Atletiek	Лёгкая атлетика
Sonnestelsel	Солнечная система
Oossee	Балтийское море
Triëst	Триест
Vistula	Висла
Avenue des Champs-Élysées	Елисейские Поля
Oder	Одра
Tand	Зуб (биология)
Waterstof	Водород
Helium	Гелий
Wikimedia Commons	Викисклад
Angela Merkel	Меркель, Ангела
Litium	Литий
Berillium	Бериллий
Luidspreker	Громкоговоритель
Boek	Книга
Dag	Сутки
Oos-Timor	Восточный Тимор
Nag	Ночь
Jaar	Год
Eeue	Век
Łódź	Лодзь
Mont Blanc	Монблан
Ryn	Рейн
Oslo	Осло
Bonn	Бонн
Katowice	Катовице
Swartkolk	Чёрная дыра
Gay	Гей
Ceres (dwergplaneet)	Церера
Lissabon	Лиссабон
Rzeszów	Жешув
Ichiro Suzuki	Судзуки, Итиро
Haumea	Хаумеа
Rhône	Рона
Makemake	Макемаке
Eris (dwergplaneet)	Эрида
Doebai (stad)	Дубай (город)
Doebai (emiraat)	Дубай (эмират)
Lionel Messi	Месси, Лионель
Boor (element)	Бор (элемент)
Nicolaas Copernicus	Коперник, Николай
Versailles	Версаль (город)
Koolstof	Углерод
Wolga	Волга
Stikstof	Азот
Suurstof	Кислород
FC Internazionale Milano	Интернационале
Planeet	Планета
Cleopatra VII	Клеопатра
Kate Bush	Буш, Кейт
Musiek	Музыка
Venesië	Венеция
Po (rivier)	По (река)
Newarivier	Нева
Termometer	Термометр
Rennes	Ренн
Lille	Лилль
Moskou	Москва
Fluoor	Фтор
Italiaans	Итальянский язык
Chihuahua (hond)	Чихуахуа
Neon	Неон
Chihuahua (deelstaat)	Чиуауа
Sint Petersburg	Санкт-Петербург
Tsjad	Чад
Natrium	Натрий
Noord	Север
Magnesium	Магний
Aluminium	Алюминий
Nieu-Seeland	Новая Зеландия
Suid	Юг
Indië	Индия
Silikon	Кремний
Tuvalu	Тувалу
Fosfor	Фосфор
André-Marie Ampère	Ампер, Андре-Мари
Prosa	Проза
Yster	Железо
Tonga	Тонга
Wes	Запад
Swawel	Сера
Samoa	Самоа
Oos	Восток
Solomoneilande	Соломоновы Острова
Vanuatu	Вануату
Molière	Мольер
Chloor	Хлор
Bastille (musiekgroep)	Bastille (группа)
Delft, Nederland	Делфт
Papoea-Nieu-Guinee	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Suid-Holland	Южная Голландия
Palau	Палау
Argon	Аргон
Nauru	Науру
Mozilla Firefox	Mozilla Firefox
Noord-Holland	Северная Голландия
Gefedereerde State van Mikronesië	Федеративные Штаты Микронезии
Kalium	Калий
Zeeland	Зеландия (провинция)
Kalsium	Кальций
Flevoland	Флеволанд
Lood	Свинец
Marshalleilande	Маршалловы Острова
Kiribati	Кирибати
Mongolië	Монголия
Fidji	Фиджи
Skandium	Скандий
Heilbronn	Хайльбронн
Titaan (element)	Титан (элемент)
Venezuela	Венесуэла
Skaak	Шахматы
Saginaw	Сагино (Мичиган)
Djengis Khan	Чингисхан
Vanadium	Ванадий
Maine	Мэн (штат)
Chroom	Хром
Perd	Домашняя лошадь
Amsterdam	Амстердам
Gevegswapen	Оружие
Dier	Животные
Suriname	Суринам
Mangaan	Марганец
Paraguay	Парагвай
Guyana	Гайана
Kuns	Искусство
Ecuador	Эквадор
Colombia	Колумбия
Kobalt	Кобальт
Wolfram	Вольфрам
Nikkel	Никель
Aarbei	Земляника
Boeddhisme	Буддизм
Groningen (munisipaliteit)	Гронинген (город)
Bolivië	Боливия
Groningen (provinsie)	Гронинген (провинция)
Koper	Медь
Trinidad en Tobago	Тринидад и Тобаго
Plant	Растения
St. Vincent en die Grenadines	Сент-Винсент и Гренадины
Sink	Цинк
New Hampshire	Нью-Гэмпшир
St. Lucia	Сент-Люсия
Białystok	Белосток
Leonardo da Vinci	Леонардо да Винчи
St. Kitts en Nevis	Сент-Китс и Невис
Swam	Грибы
Jamaika	Ямайка
Grenada	Гренада
Friesland	Фрисландия (Нидерланды)
Massachusetts	Массачусетс
Drenthe	Дренте
Overijssel	Оверэйссел
Guatemala	Гватемала
Gelderland	Гелдерланд
Utrecht (provinsie)	Утрехт (провинция)
Google Chrome	Google Chrome
Bahamas	Багамские Острова
Connecticut	Коннектикут
Hoender	Курица
Antigua en Barbuda	Антигуа и Барбуда
Hawaii	Гавайи
Honduras	Гондурас
Dominica	Доминика
Jersey	Джерси (остров)
Dominikaanse Republiek	Доминиканская Республика
Vark	Домашняя свинья
Arktiese Oseaan	Северный Ледовитый океан
Haïti	Республика Гаити
El Salvador	Сальвадор
Zwolle	Зволле
Iran	Иран
Irak	Ирак
Alaska	Аляска
Assen	Ассен
Costa Rica	Коста-Рика
Israel	Израиль
Utrecht (munisipaliteit)	Утрехт
Panama	Панама
Jemen	Йемен
Lausanne	Лозанна
Virus	Вирусы
Pools	Польский язык
Jordanië	Иордания
Nicaragua	Никарагуа
Florida	Флорида
Kirgisië	Киргизия
Arizona	Аризона
Koeweit	Кувейт
Laos	Лаос
Libanon	Ливан
Oregon	Орегон
Maledive	Мальдивы
Amerikas	Америка
Utah	Юта
Bees	Корова
Maleisië	Малайзия
Mianmar	Мьянма
Nepal	Непал
Oman	Оман
Pakistan	Пакистан
Katar	Катар
Tennis	Теннис
MySQL	MySQL
Saoedi-Arabië	Саудовская Аравия
Lockheed L-1011 TriStar	Lockheed L-1011 TriStar
Andrei Tarkofski	Тарковский, Андрей Арсеньевич
Sri Lanka	Шри-Ланка
Josef Stalin	Сталин, Иосиф Виссарионович
Sirië	Сирия
Plato	Платон
Gallium	Галлий
Tadjikistan	Таджикистан
Pokémon	Покемон
Republiek van Sjina	Китайская Республика
YouTube	YouTube
Germanium	Германий
Aristoteles	Аристотель
Thailand	Таиланд
Trein	Поезд
Arseen	Мышьяк
Radio	Радио
Meryl Streep	Стрип, Мерил
Turkmenistan	Туркмения
Abakan	Абакан
Selenium	Селен
Iridium	Иридий
Verenigde Arabiese Emirate	Объединённые Арабские Эмираты
Broom	Бром
Platinum	Платина
Viëtnam	Вьетнам
Charlie Chaplin	Чаплин, Чарльз
Nowosibirsk	Новосибирск
Suid-Korea	Республика Корея
Józef Piłsudski	Пилсудский, Юзеф
The Simpsons	Симпсоны
Jekaterinburg	Екатеринбург
Kripton	Криптон
Afghanistan	Афганистан
Nizjni Nowgorod	Нижний Новгород
J.R.R. Tolkien	Толкин, Джон Рональд Руэл
Samara	Самара
Rubidium	Рубидий
Goud	Золото
Omsk	Омск
Suezkanaal	Суэцкий канал
Kazan	Казань
Bangladesj	Бангладеш
Franz Kafka	Кафка, Франц
Tsjeljabinsk	Челябинск
Rostof aan die Don	Ростов-на-Дону
Jorge Luis Borges	Борхес, Хорхе Луис
Oefa	Уфа
Mali	Мали
Sokrates	Сократ
Wolgograd	Волгоград
Angola	Ангола
Perm	Пермь
Bhoetan	Бутан
Twitter	Твиттер
Krasnojarsk	Красноярск
Broenei	Бруней
Tanzanië	Танзания
Kwik	Ртуть
Roald Amundsen	Амундсен, Руаль
Harry Mulisch	Мулиш, Харри
Filippyne	Филиппины
Sentraal-Afrikaanse Republiek	Центральноафриканская Республика
Suidpool	Южный полюс
Noordpool	Северный полюс
Isaac Newton	Ньютон, Исаак
OpenStreetMap	OpenStreetMap
Albert Einstein	Эйнштейн, Альберт
Stronsium	Стронций
Pedro I van Brasilië	Педру I (император Бразилии)
Yttrium	Иттрий
Bismut	Висмут
Geel	Жёлтый цвет
Kwantummeganika	Квантовая механика
Togo	Того
Donald Tusk	Туск, Дональд
Tunisië	Тунис
Zambië	Замбия
Zimbabwe	Зимбабве
Beijing	Пекин
Suid-Soedan	Южный Судан
Wladiwostok	Владивосток
Tiwa	Тыва
Benin	Бенин
Botswana	Ботсвана
Wikinews	Викиновости
Burkina Faso	Буркина-Фасо
Burundi	Бурунди
Comore-eilande	Коморы
Republiek van die Kongo	Республика Конго
Alkmaar	Алкмар
Ob	Обь
Demokratiese Republiek van die Kongo	Демократическая Республика Конго
San Antonio	Сан-Антонио
Djiboeti	Джибути
Meem	Мем
Polonium	Полоний
Beiere	Бавария
Ekwatoriaal-Guinee	Экваториальная Гвинея
Baden-Württemberg	Баден-Вюртемберг
Eritrea	Эритрея
Nieu-Delhi	Нью-Дели
Almelo	Алмело
Pous Johannes Paulus II	Иоанн Павел II
Fjodor Dostojefski	Достоевский, Фёдор Михайлович
Amersfoort, Nederland	Амерсфорт
Kamtsjatka-skiereiland	Камчатка
Tbilisi	Тбилиси
Appingedam	Аппингедам
Astaat	Астат
Gaboen	Габон
Mahatma Gandhi	Махатма Ганди
Solidarność	Солидарность (профсоюз)
Strokiesverhaal	Комикс
Gambië	Гамбия
Guinee	Гвинея
Guinee-Bissau	Гвинея-Бисау
Ivoorkus	Кот-д’Ивуар
Kameroen	Камерун
Kaap Verde	Кабо-Верде
Lesotho	Лесото
Liberië	Либерия
Libië	Ливия
Aken	Ахен
Madagaskar	Мадагаскар
Malawi	Малави
Stuttgart	Штутгарт
Mauritanië	Мавритания
Mauritius	Маврикий
Marokko	Марокко
Mosambiek	Мозамбик
Namibië	Намибия
France Prešeren	Прешерн, Франце
Niger	Нигер
Nigerië	Нигерия
Charles Darwin	Дарвин, Чарлз
Uganda	Уганда
Rwanda	Руанда
Sirkonium	Цирконий
São Tomé en Príncipe	Сан-Томе и Принсипи
Karlsruhe	Карлсруэ
Senegal	Сенегал
Seychelle	Сейшельские Острова
Carolus Linnaeus	Линней, Карл
Sierra Leone	Сьерра-Леоне
Somalië	Сомали
Niobium	Ниобий
Julius Caesar	Гай Юлий Цезарь
Soedan	Судан
Swaziland	Свазиленд
Reënboog	Радуга
Molibdeen	Молибден
Tegnesium	Технеций
Hamburg	Гамбург
Ontariomeer	Онтарио (озеро)
Evolusie	Эволюция
Verenigde Nasies	Организация Объединённых Наций
Bowemeer	Верхнее (озеро)
Dante Alighieri	Данте Алигьери
Geologie	Геология
Ahmedabad	Ахмадабад
Geografie	География
Hart	Сердце
Brein	Головной мозг
Vel	Кожа
Kleur	Цвет
Selfstandige naamwoord	Имя существительное
Praag	Прага
Rutenium	Рутений
Rodium	Родий
Blou	Синий цвет
Palladium	Палладий
Silwer	Серебро
Kadmium	Кадмий
Star Trek	Звёздный путь
Limburg, Nederland	Лимбург (Нидерланды)
Indium	Индий
Limburg, België	Лимбург (провинция Бельгии)
Tin	Олово
Uraan	Уран (элемент)
Antimoon	Сурьма
Telluur	Теллур
Noord-Brabant	Северный Брабант
Jodium	Иод
Hemer	Хемер
Xenon	Ксенон
Sesium	Цезий
Elektriese lading	Электрический заряд
Barium	Барий
Wes-Vlaandere	Западная Фландрия
Oos-Vlaandere	Восточная Фландрия
Antwerpen (provinsie)	Антверпен (провинция)
Vlaams-Brabant	Фламандский Брабант
Hafnium	Гафний
Aktinium	Актиний
Waals-Brabant	Валлонский Брабант
Tantaal	Тантал (элемент)
Bill Clinton	Клинтон, Билл
Namur (provinsie)	Намюр (провинция)
Luxemburg (provinsie)	Люксембург (провинция Бельгии)
Luik (provinsie)	Льеж (провинция)
Radium	Радий
Hainaut	Эно
Iserlohn	Изерлон
Radon	Радон
Lotaringe	Лотарингия
Elsas	Эльзас
Indira Gandhi	Ганди, Индира
Hector Berlioz	Берлиоз, Гектор
Auvergne	Овернь
Moembaai	Мумбаи
Internasionale Vereniging van Atletiekfederasies	Международная ассоциация легкоатлетических федераций
Limburg	Лимбург
Assam	Ассам
Bihar	Бихар
Michigan	Мичиган
Michiganmeer	Мичиган (озеро)
Goa	Гоа
Boergondië (gewes)	Бургундия
Harjana	Харьяна
Akwitanië	Аквитания (регион)
Puerto Rico	Пуэрто-Рико
Karnataka	Карнатака
Kerala	Керала
Limousin	Лимузен (регион)
Manipoer	Манипур
Sleeswyk-Holstein	Шлезвиг-Гольштейн
Mecklenburg-Voorpommere	Мекленбург-Передняя Померания
Nedersakse	Нижняя Саксония
Noordryn-Wesfale	Северный Рейн-Вестфалия
Hesse	Гессен
Rynland-Palts	Рейнланд-Пфальц
Saarland	Саар
Sakse	Саксония (земля)
John Lennon	Леннон, Джон
Illinois	Иллинойс
Thüringen	Тюрингия
Sakse-Anhalt	Саксония-Анхальт
Noord-Dakota	Северная Дакота
Brandenburg	Бранденбург
Vrye Hansestad Bremen	Бремен (земля)
Suid-Dakota	Южная Дакота
Montana	Монтана
Wyoming	Вайоминг
Piëmont	Пьемонт
Jerusalem	Иерусалим
Alster	Альстер (приток Эльбы)
Idaho	Айдахо
Washington (deelstaat)	Вашингтон (штат)
Nevada	Невада
Don	Дон
Trentino-Suid-Tirool	Трентино — Альто-Адидже
Indiese Oseaan	Индийский океан
Kosowo	Республика Косово
Karibiese See	Карибское море
Kofi Annan	Аннан, Кофи
Ligurië	Лигурия
Colorado	Колорадо
Emilia-Romagna	Эмилия-Романья
Coloradorivier	Колорадо (река)
Frédéric Chopin	Шопен, Фредерик
Konfyt	Конфитюр
Trygve Lie	Ли, Трюгве
Toskane	Тоскана
Leonard Cohen	Коэн, Леонард
Umbrië	Умбрия
Kategorie:Alles	Категория:Всё
Latium	Лацио
Abruzze	Абруццо
Alpe	Альпы
Karpate	Карпаты
Grenoble	Гренобль
Blaise Pascal	Паскаль, Блез
Dortmund	Дортмунд
Gent	Гент
Chicago	Чикаго
The Beatles	The Beatles
Flerovium	Флеровий
Wageningen	Вагенинген
Ununoctium	Унуноктий
Maastricht	Маастрихт
Arnhem	Арнем
Dag-en-nag-ewening	Равноденствие
Saddam Hoesein	Саддам Хусейн
Osama bin Laden	Усама бен Ладен
Spaans	Испанский язык
Friedrich August Hayek	Хайек, Фридрих Август фон
Montevideo	Монтевидео
Rimouski	Римуски
Johann Sebastian Bach	Бах, Иоганн Себастьян
Antonio Vivaldi	Вивальди, Антонио
Pittsburgh	Питтсбург
Opera	Опера
Philadelphia	Филадельфия
Kalkutta	Калькутта
Chennai	Ченнаи
Delhi	Дели
Dhaka	Дакка
Bangalore	Бангалор
Wes-Bengale	Западная Бенгалия
Spinnekop	Пауки
Geleedpotiges	Членистоногие
Hyderabad, Indië	Хайдарабад (Индия)
Islamabad	Исламабад
Tripoera	Трипура
Vrug	Плод
Aap	Обезьяны
Geld	Деньги
Virginië	Виргиния
Wes-Virginië	Западная Виргиния
Paprika (plant)	Перец овощной
Huronmeer	Гурон
New York (deelstaat)	Нью-Йорк (штат)
Rhode Island	Род-Айленд
Insek	Насекомые
Maryland	Мэриленд
Delaware	Делавэр
Wladimir Lenin	Ленин, Владимир Ильич
Europium	Европий
Ohio	Огайо
Vergilius	Вергилий
Niccolò Machiavelli	Макиавелли, Никколо
Pennsilvanië	Пенсильвания
Uetersen	Итерзен
Augustus Octavianus	Октавиан Август
Microsoft Windows	Windows
Tiberius	Тиберий
New Jersey	Нью-Джерси
Caligula	Калигула
Gibraltar	Гибралтар
Claudius	Клавдий
Fins	Финский язык
Nero	Нерон
Galba (keiser)	Гальба
Indiana	Индиана
Nokia	Nokia
Vespasianus	Веспасиан
Motorvoertuig	Автомобиль
Juventus Football Club	Ювентус
Domitianus	Домициан
Trajanus	Траян
Roger Federer	Федерер, Роджер
Hadrianus	Адриан
Georgia	Джорджия
Antoninus Pius	Антонин Пий
Markus Aurelius	Марк Аврелий
KDE	KDE
Lucius Verus	Луций Вер
Commodus	Коммод
Zagreb	Загреб
Kampanië	Кампания (Италия)
Texas	Техас
Septimius Severus	Септимий Север
Tamil Nadu	Тамилнад
Genua	Генуя
Noord-Carolina	Северная Каролина
Hokkie	Хоккей на траве
Suid-Carolina	Южная Каролина
Kalabrië	Калабрия
Sisilië	Сицилия
Manila	Манила
Sardinië	Сардиния
Ferdinand Marcos	Маркос, Фердинанд
Cebu Stad	Себу (город)
Loire (rivier)	Луара
Seine	Сена
Davao Stad	Давао
Quezon Stad	Кесон-Сити
Le Mans	Ле-Ман
Caloocan	Калоокан
Bordeaux	Бордо
Buenos Aires	Буэнос-Айрес
Meksikostad	Мехико
Tokio	Токио
La Paz	Ла-Пас (Боливия)
Barcelona	Барселона
Pynappel	Ананас крупнохохолковый
Mississippi	Миссисипи (штат)
Ferdinand Magellaan	Магеллан, Фернан
Mississippirivier	Миссисипи
Oetarpradesj	Уттар-Прадеш
José Rizal	Рисаль, Хосе
Swembad	Плавательный бассейн
Sikkim	Сикким
Patagonië	Патагония
Tennessee	Теннесси
Richard Wagner	Вагнер, Рихард
Nagpur	Нагпур
Abidjan	Абиджан
Aboe Dhabi	Абу-Даби
Astana	Астана
Nieu-Meksiko	Нью-Мексико
Ramses II	Рамсес II
Athene	Афины
Minnesota	Миннесота
Bagdad	Багдад
Caracas	Каракас
Gekoördineerde Universele Tyd	Всемирное координированное время
Wisconsin	Висконсин
Pune	Пуна
Cicero	Марк Туллий Цицерон
AC Milan	Милан (футбольный клуб)
Iowa	Айова
Nebraska	Небраска
Guatemala-stad	Гватемала (город)
Simeon	Симеон (имя)
Kansas	Канзас
Havana	Гавана
Tabak	Табак (вещество)
Hindi	Хинди
Marathi	Маратхи (язык)
Windows Internet Explorer	Internet Explorer
Sigaret	Сигарета
Ganesja	Ганеша
Missouri	Миссури (штат)
Louisiana	Луизиана
Nagaland	Нагаленд
Kentucky	Кентукки
Arkansas	Арканзас
Neil Armstrong	Армстронг, Нил
Oerdoe	Урду
Édith Piaf	Пиаф, Эдит
Elbe	Эльба (река)
Rijeka	Риека
Eems	Эмс
Oklahoma	Оклахома
Weser	Везер
Donau	Дунай
Gedig	Стих
Jacques Brel	Брель, Жак
Main	Майн (приток Рейна)
Neckar	Неккар
Havel	Хафель
Noordsee	Северное море
Skagerrak	Скагеррак
Moskou-oblast	Московская область
Kiel, Duitsland	Киль (город)
Schwerin	Шверин
Potsdam	Потсдам
Hannover	Ганновер
Düsseldorf	Дюссельдорф
Mainz	Майнц
Wiesbaden	Висбаден
Dubrovnik	Дубровник
Saarbrücken	Саарбрюккен
München	Мюнхен
Samara-oblast	Самарская область
Erfurt	Эрфурт
Dresden	Дрезден
Maagdenburg	Магдебург
Vlugbal	Волейбол
Innsbruck	Инсбрук
Bregenz	Брегенц
Wene	Вена
Madonna	Мадонна (певица)
Kopenhagen	Копенгаген
Kaliningrad-oblast	Калининградская область
Stockholm	Стокгольм
Helsinki	Хельсинки
Moermansk-oblast	Мурманская область
Dublin	Дублин
Moermansk	Мурманск
Reykjavik	Рейкьявик
Tallinn	Таллин
Epitaaf	Эпитафия
Riga	Рига
Zanzibar	Занзибар (автономия)
Bratislava	Братислава
Boedapest	Будапешт
Charles Aznavour	Шарль Азнавур
Gdansk	Гданьск
Frankfurt am Main	Франкфурт-на-Майне
Wrocław	Вроцлав
Lantaan	Лантан
Astronomiese eenheid	Астрономическая единица
Saint-Tropez	Сен-Тропе
Rooiwyn	Красное вино
Kaliningrad	Калининград
Zinedine Zidane	Зидан, Зинедин
Veenendaal	Венендал
Luxemburg (stad)	Люксембург (город)
Vaduz	Вадуц
Bybel	Библия
San Marino (stad)	Сан-Марино (город)
Phnom Penh	Пномпень
Archangelsk	Архангельск
Ho Chi Minh-stad	Хошимин
