Afrika	Африка
Alkoholhaldig drykk	Алкогольные напитки
Brasil	Бразилия
Alkohol	Спирты
François Hollande	Олланд, Франсуа
Russland	Россия
Kvalar	Китообразные
Optisk fiber	Оптическое волокно
Yorkshire	Йоркшир
Kvadrat	Квадрат
Hav	Море
Svartehavet	Чёрное море
Pi	Пи (число)
Bokstaven pi	Пи (буква)
Wiki	Вики
Toronto	Торонто
Alabama	Алабама
São Paulo	Сан-Паулу
Delstaten São Paulo	Сан-Паулу (штат)
Quebec	Квебек
Pizza	Пицца
Pasta	Макаронные изделия
Boeing 747	Boeing 747
Wikimedia	Фонд Викимедиа
Jimmy Wales	Уэйлс, Джимми
Tyskland	Германия
Kviterussland	Белоруссия
Larry Sanger	Сэнгер, Ларри
Il Canto degli Italiani	Гимн Италии
Tysk	Немецкий язык
Island	Исландия
Gud	Бог
Estland	Эстония
David Cameron	Кэмерон, Дэвид
Planeten Saturn	Сатурн
Ringane til Saturn	Кольца Сатурна
Sjokolade	Шоколад
Morell	Вишня (плод)
Fly	Самолёт
Krig	Война
Talet 1	1 (число)
Talet 2	2 (число)
Talet 3	3 (число)
Talet 4	4 (число)
Talet 5	5 (число)
0	0 (число)
Uendeleg	Бесконечность
Stephen Harper	Харпер, Стивен
George W. Bush	Буш, Джордж Уокер
Rektangel	Прямоугольник
Latvia	Латвия
Ukraina	Украина
Tsjekkia	Чехия
Slovakia	Словакия
Slovenia	Словения
Vilnius	Вильнюс
Moldova	Молдавия
Romania	Румыния
Bulgaria	Болгария
Roma	Рим
Republikken Makedonia	Республика Македония
Albania	Албания
Grønland	Гренландия (административная единица)
Kroatia	Хорватия
Bosnia-Hercegovina	Босния и Герцеговина
Nuuk	Нуук
Aserbajdsjan	Азербайджан
Andorra	Андорра
Republikken Kypros	Республика Кипр
Georgia	Грузия
Kasakhstan	Казахстан
Malta	Мальта
Flandern	Фландрия (историческая область)
Monaco	Монако
Montenegro	Черногория
Vatikanstaten	Ватикан
San Marino	Сан-Марино
Brussel	Брюссельский столичный регион
Cuba	Куба
Belize	Белиз
Eiffeltårnet	Эйфелева башня
Barbados	Барбадос
Volkswagen	Volkswagen
Tastatur	Компьютерная клавиатура
Programmeringsspråket Java	Java
Indonesia	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Tyrkisk	Турецкий язык
Sør-Afrika	Южно-Африканская Республика
Jean-François Champollion	Шампольон, Жан-Франсуа
Linkin Park	Linkin Park
Algerie	Алжир
Wikisource	Викитека
Usbekistan	Узбекистан
Poznań	Познань
Tasjkent	Ташкент
Warszawa	Варшава
Islay	Айлей
Eurovision Song Contest	Конкурс песни Евровидение
Modena	Модена
Whisky	Виски
Vin	Вино
Vatn	Вода
Konjakk	Коньяк
Cognac	Коньяк (город)
Lêr	Кожа (материал)
Trevirke	Древесина
Tours	Тур (город)
Fjernsyn	Телевидение
Kjønn	Пол организмов
Pornografi	Порнография
Islandsk	Исландский язык
Claude Monet	Моне, Клод
Diego Velázquez	Веласкес, Диего
Chile	Чили
Islendingesogene	Саги об исландцах
El Greco	Эль Греко
Jesus	Иисус Христос
Elvis Presley	Пресли, Элвис
Kroppsleg avstraffing	Телесные наказания
Galileo Galilei	Галилей, Галилео
Planeten Merkur	Меркурий
Historie	История
Père Lachaise	Пер-Лашез
Apple Inc.	Apple
Planeten Venus	Венера
Språk	Язык
Kjærleik	Любовь
Diktatur	Диктатура
Galakse	Галактика
Planeten Jupiter	Юпитер
Michelle Bachelet	Бачелет, Мишель
Mjølkevegen	Млечный Путь
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Лланвайр-Пуллгвингилл
Big Bang	Большой взрыв
Planeten Uranus	Уран (планета)
Bretagne	Бретань (историческая область)
Nicolas Sarkozy	Саркози, Николя
Ricardo Lagos	Лагос, Рикардо
Planeten Neptun	Нептун
Astronomi	Астрономия
Singapore	Сингапур
Vitskap	Наука
Kosmologi	Космология
134340 Pluto	Плутон
Montreal	Монреаль
Fri programvare	Свободное программное обеспечение
Quimper	Кемпер
La Flèche	Ла-Флеш
Framtid	Будущее
Jomfru Maria	Богородица
Liechtenstein	Лихтенштейн
Idrett	Спорт
Cambridge	Кембридж
Yellowstone nasjonalpark	Йеллоустон
Adolf Hitler	Гитлер, Адольф
Facebook	Facebook
Fangeleiren ved Guantánamobukta	Тюрьма в Гуантанамо
WikiLeaks	WikiLeaks
Julian Assange	Ассанж, Джулиан
Den fyrste verdskrigen	Первая мировая война
Andre verdskrigen	Вторая мировая война
Köln	Кёльн
Korrupsjon	Коррупция
Wikibooks	Викиучебник
Augusto Pinochet	Пиночет, Аугусто
Wikifrasar	Викицитатник
Vaffel	Вафля
Klokke	Часы
Janka Kupala	Янка Купала
Ubuntu Linux	Ubuntu
Skopje	Скопье
Gdynia	Гдыня
Linux	Linux
Bob Dylan	Боб Дилан
Szczecin	Щецин
Metrologi	Метрология
Matematikk	Математика
U2	U2
Latin	Латинский язык
Bahrain	Бахрейн
Armenia	Армения
Kileskrift	Клинопись
Higgs-boson	Бозон Хиггса
Serbia	Сербия
Månen	Луна
Istanbul	Стамбул
Australia	Австралия
Bob Marley	Марли, Боб
Carl Sagan	Саган, Карл
Astrobiologi	Астробиология
Fysikk	Физика
Argentina	Аргентина
Silbo gomero	Сильбо гомеро
Telekommunikasjon	Электросвязь
Peru	Перу
Biologi	Биология
UFO	Неопознанный летающий объект
Nord-Korea	Корейская Народно-Демократическая Республика
Kambodsja	Камбоджа
Kuiperbeltet	Пояс Койпера
Koranen	Коран
Dinosaurar	Динозавры
Zoologi	Зоология
Islam	Ислам
Biblioteket i Alexandria	Александрийская библиотека
Ljubljana	Любляна
Salvador Allende	Альенде, Сальвадор
Botanikk	Ботаника
Lech Wałęsa	Валенса, Лех
Hjul	Колесо
Denis Diderot	Дидро, Дени
Sinn	Ум
Fred	Мир (отсутствие войны)
Encyclopædia Britannica	Энциклопедия Британника
Lyon	Лион
Den europeiske unionen	Европейский союз
Plovdiv	Пловдив
Star Wars	Звёздные войны
Rhône-Alpes	Рона — Альпы
Verdsveven	Всемирная паутина
Kvinne	Женщина
Sofia	София
Akvedukt	Акведук
Don Quijote	Дон Кихот (роман)
Dikt	Поэзия
Datavirus	Компьютерный вирус
Tsjernobylulukka	Авария на Чернобыльской АЭС
Smil	Улыбка
Atombombene over Hiroshima og Nagasaki	Атомные бомбардировки Хиросимы и Нагасаки
Milano	Милан
Arthur Rimbaud	Рембо, Артюр
Torino	Турин
Avføring	Кал
Anus	Анус
Ulrich von Löwendahl	Левендаль, Ульрих Фридрих Вольдемар
Sitron	Лимон
Charles Baudelaire	Бодлер, Шарль
Banan	Банан
Émile Zola	Золя, Эмиль
666	666 год
Blome	Цветок
Googol	Гугол
Googolplex	Гуголплекс
Marianegropa	Марианский жёлоб
Vladimir Vysotskij	Высоцкий, Владимир Семёнович
Mount Everest	Джомолунгма
Anatomi	Анатомия
Storby	Город
Napoléon Bonaparte	Наполеон I
Olympus Mons	Олимп (Марс)
Fysiologi	Физиология
Stjerne	Звезда
Vesuv	Везувий
Sola	Солнце
Himmel	Небо
Louis Pasteur	Пастер, Луи
Ingemar Stenmark	Стенмарк, Ингемар
Lysår	Световой год
Landsby	Село
Victor Hugo	Гюго, Виктор
Oseania	Океания
Giuseppe Garibaldi	Гарибальди, Джузеппе
Orvieto	Орвието
Friidrett	Лёгкая атлетика
Sensur	Цензура
Solsystemet	Солнечная система
Austersjøen	Балтийское море
Trieste	Триест
Wisła	Висла
Champs-Élysées	Елисейские Поля
Oder	Одра
Tann	Зуб (биология)
Hydrogen	Водород
Patti Smith	Смит, Патти
Helium	Гелий
Helvete	Ад
Wikimedia Commons	Викисклад
Angela Merkel	Меркель, Ангела
Litium	Литий
Beryllium	Бериллий
Høgtalar	Громкоговоритель
Bok	Книга
Dag	Сутки
Aust-Timor	Восточный Тимор
Natt	Ночь
År	Год
Hundreår	Век
Łódź	Лодзь
Villeurbanne	Вийёрбан
Mont Blanc	Монблан
Rhinen	Рейн
Oslo	Осло
Bonn	Бонн
Helgemesse	Собор всех святых
Katowice	Катовице
Svart hòl	Чёрная дыра
Luís de Camões	Камоэнс, Луис де
1 Ceres	Церера
Lisboa	Лиссабон
Rzeszów	Жешув
136108 Haumea	Хаумеа
Rhône	Рона
136472 Makemake	Макемаке
Iona	Айона
136199 Eris	Эрида
Dubai	Дубай (эмират)
Lionel Messi	Месси, Лионель
Padova	Падуя
Grunnstoffet bor	Бор (элемент)
Nikolaus Kopernikus	Коперник, Николай
Versailles	Версаль (город)
Ludwigsburg	Людвигсбург
Karbon	Углерод
Alessandro Del Piero	Дель Пьеро, Алессандро
Volga	Волга
Nitrogen	Азот
Bergamo	Бергамо
Oksygen	Кислород
Inter	Интернационале
Neil Young	Янг, Нил
Planet	Планета
Kleopatra	Клеопатра
Kate Bush	Буш, Кейт
Musikk	Музыка
Aberrasjon i optikk	Аберрация оптической системы
Venezia	Венеция
Naruto	Наруто
Po	По (река)
Sharm el-Sheikh	Шарм-эш-Шейх
Neva	Нева
Termometer	Термометр
Rennes	Ренн
Lille	Лилль
Moskva	Москва
Fluor	Фтор
Italiensk	Итальянский язык
Neon	Неон
Delstaten Chihuahua	Чиуауа
St. Petersburg	Санкт-Петербург
Tsjad	Чад
Natrium	Натрий
Nord	Север
Magnesium	Магний
Aluminium	Алюминий
New Zealand	Новая Зеландия
Sør	Юг
India	Индия
Silisium	Кремний
Francium	Франций
Tuvalu	Тувалу
One Piece	One Piece. Большой куш
Fosfor	Фосфор
André-Marie Ampère	Ампер, Андре-Мари
Prosa	Проза
Jern	Железо
Tonga	Тонга
Vest	Запад
Alessandro Volta	Вольта, Алессандро
Svovel	Сера
Samoa	Самоа
Aust	Восток
Salomonøyane	Соломоновы Острова
Vanuatu	Вануату
Molière	Мольер
Klor	Хлор
Delft	Делфт
Papua Ny-Guinea	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Fabel	Басня
Zuid-Holland	Южная Голландия
Palau	Палау
Argon	Аргон
Nauru	Науру
Mozilla Firefox	Mozilla Firefox
Eventyr	Сказка
Noord-Holland	Северная Голландия
Mikronesiaføderasjonen	Федеративные Штаты Микронезии
Kalium	Калий
Zeeland	Зеландия (провинция)
Kalsium	Кальций
Flevoland	Флеволанд
Bly	Свинец
Marshalløyane	Маршалловы Острова
Kiribati	Кирибати
Mongolia	Монголия
Fiji	Фиджи
Scandium	Скандий
Stevie Wonder	Уандер, Стиви
Heilbronn	Хайльбронн
Grunnstoffet titan	Титан (элемент)
Venezuela	Венесуэла
Sjakk	Шахматы
Djengis khan	Чингисхан
Vanadium	Ванадий
Maine	Мэн (штат)
Krom	Хром
Hest	Домашняя лошадь
Amsterdam	Амстердам
Våpen	Оружие
Dyr	Животные
Surinam	Суринам
Mangan	Марганец
Paraguay	Парагвай
Guyana	Гайана
Kunst	Искусство
Ecuador	Эквадор
Rhenium	Рений
Colombia	Колумбия
Kobolt	Кобальт
Wolfram	Вольфрам
Nikkel	Никель
Jordbærslekta	Земляника
Buddhismen	Буддизм
Groningen	Гронинген (город)
Bolivia	Боливия
Osmium	Осмий
Provinsen Groningen	Гронинген (провинция)
Kopar	Медь
Trinidad og Tobago	Тринидад и Тобаго
Paul Verlaine	Верлен, Поль
Plantar	Растения
Saint Vincent og Grenadinane	Сент-Винсент и Гренадины
Sink	Цинк
New Hampshire	Нью-Гэмпшир
Saint Lucia	Сент-Люсия
Białystok	Белосток
Leonardo da Vinci	Леонардо да Винчи
Saint Kitts og Nevis	Сент-Китс и Невис
Sopp	Грибы
Dario Fo	Фо, Дарио
Jamaica	Ямайка
Grenada	Гренада
Friesland i Nederland	Фрисландия (Нидерланды)
Massachusetts	Массачусетс
Drenthe	Дренте
Overijssel	Оверэйссел
Guatemala	Гватемала
Gelderland	Гелдерланд
Provinsen Utrecht	Утрехт (провинция)
Google Chrome	Google Chrome
Bahamas	Багамские Острова
Connecticut	Коннектикут
Høns	Курица
Antigua og Barbuda	Антигуа и Барбуда
Hawaii	Гавайи
Honduras	Гондурас
Dominica	Доминика
Jersey	Джерси (остров)
Den dominikanske republikken	Доминиканская Республика
Gris	Домашняя свинья
Nordishavet	Северный Ледовитый океан
Haiti	Республика Гаити
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu	Тауматауакатангиангакоауауотаматеатурипукакапикимаунгахоронукупокануэнуакитанатаху
El Salvador	Сальвадор
Zwolle	Зволле
Iran	Иран
Irak	Ирак
Alaska	Аляска
Assen	Ассен
Costa Rica	Коста-Рика
Israel	Израиль
Utrecht	Утрехт
Panama	Панама
Jemen	Йемен
Lausanne	Лозанна
Virus	Вирусы
Polsk	Польский язык
Jordan	Иордания
Nicaragua	Никарагуа
Florida	Флорида
Kirgisistan	Киргизия
Arizona	Аризона
Kuwait	Кувейт
Laos	Лаос
Libanon	Ливан
Oregon	Орегон
Maldivane	Мальдивы
Amerika	Америка
Utah	Юта
Storfe	Корова
Malaysia	Малайзия
Valais	Вале (кантон)
Mikhail Bulgakov	Булгаков, Михаил Афанасьевич
Myanmar	Мьянма
Nepal	Непал
Andrej Rubljov	Андрей Рублёв
Oman	Оман
Pakistan	Пакистан
James Bond	Джеймс Бонд
Qatar	Катар
Tennis	Теннис
Saudi-Arabia	Саудовская Аравия
Andrej Tarkovskij	Тарковский, Андрей Арсеньевич
Sri Lanka	Шри-Ланка
Josef Stalin	Сталин, Иосиф Виссарионович
Syria	Сирия
Platon	Платон
Gallium	Галлий
Joseph Brodsky	Бродский, Иосиф Александрович
Tadsjikistan	Таджикистан
Pokémon	Покемон
Republikken Kina	Китайская Республика
YouTube	YouTube
Germanium	Германий
Aristoteles	Аристотель
Thailand	Таиланд
Jarnbanetog	Поезд
Arsen	Мышьяк
Radio	Радио
Turkmenistan	Туркмения
Abakan	Абакан
Selen	Селен
Iridium	Иридий
Dei sameinte arabiske emirata	Объединённые Арабские Эмираты
Brom	Бром
Platina	Платина
Vietnam	Вьетнам
Charlie Chaplin	Чаплин, Чарльз
Novosibirsk	Новосибирск
Sør-Korea	Республика Корея
Józef Piłsudski	Пилсудский, Юзеф
Simpsons	Симпсоны
Jekaterinburg	Екатеринбург
Krypton	Криптон
Afghanistan	Афганистан
Gangnam Style	Gangnam Style
Nizjnij Novgorod	Нижний Новгород
J.R.R. Tolkien	Толкин, Джон Рональд Руэл
Samara	Самара
Rubidium	Рубидий
Mountain Dew	Mountain Dew
Gull	Золото
Omsk	Омск
Suezkanalen	Суэцкий канал
Kazan	Казань
Bangladesh	Бангладеш
Bleach	Блич
Franz Kafka	Кафка, Франц
Tsjeljabinsk	Челябинск
Rostov-na-Donu	Ростов-на-Дону
Jorge Luis Borges	Борхес, Хорхе Луис
Ufa	Уфа
Mali	Мали
Sokrates	Сократ
Volgograd	Волгоград
Angola	Ангола
Perm	Пермь
Bhutan	Бутан
Twitter	Твиттер
Krasnojarsk	Красноярск
Brunei	Бруней
Brač	Брач
Tanzania	Танзания
Kvikksølv	Ртуть
Roald Amundsen	Амундсен, Руаль
Filippinane	Филиппины
Den sentralafrikanske republikken	Центральноафриканская Республика
Thallium	Таллий
Sørpolen	Южный полюс
Nordpolen	Северный полюс
Isaac Newton	Ньютон, Исаак
Albert Einstein	Эйнштейн, Альберт
Strontium	Стронций
Narkotika	Наркотик
Yttrium	Иттрий
Vismut	Висмут
Gul	Жёлтый цвет
Kvantemekanikk	Квантовая механика
Togo	Того
Donald Tusk	Туск, Дональд
Tunisia	Тунис
John Bardeen	Бардин, Джон
Zambia	Замбия
Zimbabwe	Зимбабве
Beijing	Пекин
Sør-Sudan	Южный Судан
Vladivostok	Владивосток
Tyva	Тыва
Benin	Бенин
Botswana	Ботсвана
Wikinews	Викиновости
Burkina Faso	Буркина-Фасо
Burundi	Бурунди
Komorane	Коморы
Kongo-Brazzaville	Республика Конго
Alkmaar	Алкмар
Ob	Обь
Den demokratiske republikken Kongo	Демократическая Республика Конго
San Antonio	Сан-Антонио
Tomsk	Томск
Djibouti	Джибути
Mem	Мем
Polonium	Полоний
Bayern	Бавария
Ekvatorial-Guinea	Экваториальная Гвинея
Baden-Württemberg	Баден-Вюртемберг
Eritrea	Эритрея
New Delhi	Нью-Дели
Almelo	Алмело
Pave Johannes Paul II	Иоанн Павел II
Fjodor Dostojevskij	Достоевский, Фёдор Михайлович
Amersfoort	Амерсфорт
Kamtsjatkahalvøya	Камчатка
Tbilisi	Тбилиси
Andrej Sakharov	Сахаров, Андрей Дмитриевич
Spedbarn	Младенец
Astat	Астат
Gabon	Габон
Mahatma Gandhi	Махатма Ганди
Tsjuktsjarhalvøya	Чукотский полуостров
Teikneserie	Комикс
Gambia	Гамбия
Guinea	Гвинея
Guinea-Bissau	Гвинея-Бисау
Elfenbeinskysten	Кот-д’Ивуар
Kamerun	Камерун
Maribor	Марибор
Kapp Verde	Кабо-Верде
Celje	Целе
Lesotho	Лесото
Liberia	Либерия
Koper	Копер
Libya	Ливия
Aachen	Ахен
Nova Gorica	Нова-Горица
Madagaskar	Мадагаскар
Malawi	Малави
Kranj	Крань
Stuttgart	Штутгарт
Triglav	Триглав (гора)
Mauritania	Мавритания
Polakkar	Поляки
Mauritius	Маврикий
Marokko	Марокко
Mosambik	Мозамбик
Namibia	Намибия
France Prešeren	Прешерн, Франце
Niger	Нигер
Nigeria	Нигерия
Biel/Bienne	Биль (город)
Charles Darwin	Дарвин, Чарлз
Uganda	Уганда
Rwanda	Руанда
Zirkonium	Цирконий
São Tomé og Príncipe	Сан-Томе и Принсипи
Karlsruhe	Карлсруэ
Senegal	Сенегал
Seychellane	Сейшельские Острова
Carl von Linné	Линней, Карл
Sierra Leone	Сьерра-Леоне
Somalia	Сомали
Niob	Ниобий
Jawaharlal Nehru	Неру, Джавахарлал
Julius Cæsar	Гай Юлий Цезарь
Sudan	Судан
Swaziland	Свазиленд
Regnboge	Радуга
Molybden	Молибден
Technetium	Технеций
Hamburg	Гамбург
Stoffskifte	Обмен веществ
Narendra Modi	Моди, Нарендра
Gujarat	Гуджарат
Ontariosjøen	Онтарио (озеро)
Evolusjon	Эволюция
Dei sameinte nasjonane	Организация Объединённых Наций
Øvresjøen	Верхнее (озеро)
Dante Alighieri	Данте Алигьери
Geologi	Геология
Ahmadabad	Ахмадабад
Geografi	География
Hjarte	Сердце
Hjerne	Головной мозг
Hud	Кожа
Farge	Цвет
Breaking Bad	Во все тяжкие
Salerno	Салерно
Substantiv	Имя существительное
Praha	Прага
Ruthenium	Рутений
Rhodium	Родий
Blå	Синий цвет
Palladium	Палладий
Sølv	Серебро
Kadmium	Кадмий
Star Trek	Звёздный путь
Limburg i Nederland	Лимбург (Нидерланды)
Indium	Индий
Grunnstoffet tinn	Олово
Uran	Уран (элемент)
Antimon	Сурьма
Tellur	Теллур
Noord-Brabant	Северный Брабант
Plutonium	Плутоний
Jod	Иод
Hemer	Хемер
Neptunium	Нептуний
Xenon	Ксенон
Anime	Аниме
Cesium	Цезий
Protactinium	Протактиний
Elektrisk ladning	Электрический заряд
Barium	Барий
Aust-Flandern	Восточная Фландрия
Thorium	Торий
Hafnium	Гафний
Actinium	Актиний
Tantal	Тантал (элемент)
Bill Clinton	Клинтон, Билл
Radium	Радий
Iserlohn	Изерлон
Ahlen	Ален (Северный Рейн-Вестфалия)
Radon	Радон
Regionen Lorraine	Лотарингия
Alsace	Эльзас
Jean-Philippe Rameau	Рамо, Жан-Филипп
Indira Gandhi	Ганди, Индира
Guden Merkur	Меркурий (мифология)
Hector Berlioz	Берлиоз, Гектор
Auvergne	Овернь
Busto Arsizio	Бусто-Арсицио
Mumbai	Мумбаи
Det internasjonale friidrettsforbundet	Международная ассоциация легкоатлетических федераций
Andhra Pradesh	Андхра-Прадеш
Arunachal Pradesh	Аруначал-Прадеш
Assam	Ассам
Bihar	Бихар
Michigan	Мичиган
Chhattisgarh	Чхаттисгарх
Michigansjøen	Мичиган (озеро)
Goa	Гоа
Bourgogne	Бургундия
Haryana	Харьяна
Himachal Pradesh	Химачал-Прадеш
Maurice Ravel	Равель, Морис
Aquitaine	Аквитания (регион)
Jammu og Kashmir	Джамму и Кашмир
Puerto Rico	Пуэрто-Рико
Jharkhand	Джаркханд
Karnataka	Карнатака
Kerala	Керала
Madhya Pradesh	Мадхья-Прадеш
Usain Bolt	Болт, Усэйн
Regionen Limousin	Лимузен (регион)
Maharashtra	Махараштра
Jean-Baptiste Lully	Люлли, Жан-Батист
Manipur	Манипур
Schleswig-Holstein	Шлезвиг-Гольштейн
Meghalaya	Мегхалая
Mecklenburg-Vorpommern	Мекленбург-Передняя Померания
Niedersachsen	Нижняя Саксония
Nordrhein-Westfalen	Северный Рейн-Вестфалия
Hessen	Гессен
Rheinland-Pfalz	Рейнланд-Пфальц
Saarland	Саар
Sachsen	Саксония (земля)
John Lennon	Леннон, Джон
Illinois	Иллинойс
Thüringen	Тюрингия
Sachsen-Anhalt	Саксония-Анхальт
Nord-Dakota	Северная Дакота
Brandenburg	Бранденбург
Bremen	Бремен (земля)
Lombardia	Ломбардия
Sør-Dakota	Южная Дакота
Montana	Монтана
Wyoming	Вайоминг
Piemonte	Пьемонт
Jerusalem	Иерусалим
Alster	Альстер (приток Эльбы)
Giorgio Napolitano	Наполитано, Джорджо
Idaho	Айдахо
Valle d'Aosta	Валле-д’Аоста
Washington	Вашингтон (штат)
Carlo Azeglio Ciampi	Чампи, Карло Адзельо
Bruce Springsteen	Спрингстин, Брюс
Rutherfordium	Резерфордий
Nevada	Невада
Don	Дон
Dubnium	Дубний
Seaborgium	Сиборгий
Trentino-Alto Adige	Трентино — Альто-Адидже
Indiahavet	Индийский океан
Veneto	Венето
Kosovo	Республика Косово
Det karibiske havet	Карибское море
Bohrium	Борий
Friuli-Venezia Giulia	Фриули-Венеция-Джулия
Kottialpane	Котские Альпы
Hassium	Хассий
Ban Ki-moon	Пан Ги Мун
Kofi Annan	Аннан, Кофи
Liguria	Лигурия
Boutros Boutros-Ghali	Бутрос-Гали, Бутрос
Meitnerium	Мейтнерий
Javier Pérez de Cuéllar	Перес де Куэльяр, Хавьер
Kurt Waldheim	Вальдхайм, Курт
Colorado	Колорадо
Graji-Alpane	Грайские Альпы
Emilia-Romagna	Эмилия-Романья
Darmstadtium	Дармштадтий
Dag Hammarskjöld	Хаммаршёльд, Даг
Frédéric Chopin	Шопен, Фредерик
Syltetøy	Конфитюр
Wallis-Alpane	Пеннинские Альпы
Trygve Lie	Ли, Трюгве
Roentgenium	Рентгений
Toscana	Тоскана
Dei lepontinske Alpane	Лепонтинские Альпы
Leonard Cohen	Коэн, Леонард
Dei rätiske Alpane	Ретийские Альпы
Copernicium	Коперниций
Marche	Марке
Umbria	Умбрия
Lazio	Лацио
Dolomittane	Доломитовые Альпы
Abruzzo	Абруццо
Appenninane	Апеннинские горы
Alpane	Альпы
Karpatane	Карпаты
Grenoble	Гренобль
Blaise Pascal	Паскаль, Блез
Spelet dam	Шашки
Dortmund	Дортмунд
Gent	Гент
Chicago	Чикаго
The Beatles	The Beatles
Ununtrium	Унунтрий
Flerovium	Флеровий
Ununpentium	Унунпентий
Livermorium	Ливерморий
Ununseptium	Унунсептий
Ununoctium	Унуноктий
Como	Комо
Maastricht	Маастрихт
Arnhem	Арнем
Vinter	Зима
Vår	Весна
Sommar	Лето
Haust	Осень
Saddam Hussein	Саддам Хусейн
Osama bin Laden	Усама бен Ладен
Spansk	Испанский язык
Friedrich von Hayek	Хайек, Фридрих Август фон
Montevideo	Монтевидео
Johann Sebastian Bach	Бах, Иоганн Себастьян
Antonio Vivaldi	Вивальди, Антонио
Toljatti	Тольятти
Pittsburgh	Питтсбург
Opera	Опера
Philadelphia	Филадельфия
Kolkata	Калькутта
Chennai	Ченнаи
Delhi	Дели
Dhaka	Дакка
Bangalore	Бангалор
Vest-Bengal	Западная Бенгалия
Edderkoppar	Пауки
Edderkoppdyr	Паукообразные
Leddyr	Членистоногие
Hyderabad	Хайдарабад (Индия)
Islamabad	Исламабад
Tripura	Трипура
Frukt	Плод
Pengar	Деньги
Virginia	Виргиния
Vest-Virginia	Западная Виргиния
Gran Paradiso	Гран-Парадизо
Matterhorn	Маттерхорн
Dungeons & Dragons	Dungeons & Dragons
Huronsjøen	Гурон
Delstaten New York	Нью-Йорк (штат)
Cerium	Церий
Praseodym	Празеодим
Rhode Island	Род-Айленд
Neodym	Неодим
Insekt	Насекомые
Maryland	Мэриленд
Delaware	Делавэр
Vladimir Lenin	Ленин, Владимир Ильич
Europium	Европий
Ohio	Огайо
Vergil	Вергилий
Niccolò Machiavelli	Макиавелли, Никколо
Pennsylvania	Пенсильвания
Francesco Petrarca	Франческо Петрарка
Giovanni Boccaccio	Джованни Боккаччо
Luigi Pirandello	Пиранделло, Луиджи
Uetersen	Итерзен
Augustus av Romarriket	Октавиан Август
Microsoft Windows	Windows
Tiberius av Romarriket	Тиберий
New Jersey	Нью-Джерси
