Nditbonj	Япония
Soemj	Кислота
Danqsuijvaqhozvuz	Углеводы
Vujhan	Ухань
Ciuhrin	Каменный век
Mesopotamia	Месопотамия
Guj Aigib	Древний Египет
Gizdoh vuengzciuz	Государство Гуптов
Binghsiqrueg	Холера
Ndaengq'ien	Никотин
Seiqhauh damjhaek	PzKpfw IV
Gangsengsoq	Антибиотики
Cinghmoizsoq	Бензилпенициллин
Cibcihginh doengcwngh	Крестовые походы
Baknienz cancwng	Столетняя война
Osman Daeqgoz	Османская империя
Vunz Veizging	Викинги
Bah Gim	Ба Цзинь
Vahcuengh	Чжуанский язык
Taranto	Таранто
Yienzbit	Карандаш
Aumwnz	Макао
Huz Ginjdauh	Ху Цзиньтао
Gvangjdungh	Гуандун
Gvangjsih Bouxcuengh Swcigih	Гуанси-Чжуанский автономный район
Suhlienz	Союз Советских Социалистических Республик
Gauh Kunh	Као, Чарльз
Gvangjcouh	Гуанчжоу
Vwnh Gyahbauj	Вэнь Цзябао
Sihcang Swcigih	Тибетский автономный район
Dalai Cibseiqseiq	Далай-лама XIV
Cunghgoz Gungcanjdangj	Коммунистическая партия Китая
Bak lingz loeg	106 (число)
Gouj	9 (число)
Daengxgoek Yinzminz Daibiuj Davei	Всекитайское собрание народных представителей
Cunghgoz Yinzminz Cwngci Hezsangh Veiyi	Народный политический консультативный совет Китая
Nha Trang	Нячанг
Breinigerberg	Брайнигерберг
Nditcanj	Nissan
Vung Tau	Вунгтау
Daizvanh	Тайвань
Lujsaenq	Лу Синь
Caet	7 (число)
Bat	8 (число)
Ulan Bator	Улан-Батор
Hau	Белый цвет
Loeg	6 (число)
Makcaih	Томат
Paltoga	Палтога
Bahwjgan buendauj	Балканский полуостров
Cib	10 (число)
Haijdai	Мёртвое море
Orson Welles	Уэллс, Орсон
Woody Allen	Аллен, Вуди
Youdaezmoeg	Парнокопытные
Gouj cib sam	93 (число)
Bak haj cib bat	158 (число)
Duh Fuj	Ду Фу
Vahnizbozwj	Непальский язык
Vahsaenqdaek	Синдхи (язык)
Rongh X	Рентгеновское излучение
Sinhgyangh Veizvuzwj Swcigih	Синьцзян-Уйгурский автономный район
Benjamin Franklin	Франклин, Бенджамин
Cwngciyoz	Политология
Vah Hozloz	Южноминьский язык (диалект)
Vladimir Nabokov	Набоков, Владимир Владимирович
Bouxcuengh	Чжуаны
Cib ngeih	12 (число)
Cib it	11 (число)
Cib sam	13 (число)
Saenqdaek	Синд
Lauxsae	Учитель
Bak	100 (число)
Gregor Mendel	Мендель, Грегор Иоганн
Arthur Schopenhauer	Шопенгауэр, Артур
Cib seiq	14 (число)
Cib haj	15 (число)
Cib bat	18 (число)
Liujcouh	Лючжоу
Cib gouj	19 (число)
Cib caet	17 (число)
Cib loeg	16 (число)
Ngeih cib	20 (число)
Henri Becquerel	Беккерель, Антуан Анри
Cabceiq	Журнал
Rio de Janeiro	Рио-де-Жанейро (штат)
Cigemq	Калот-кровосос
St. George's	Сент-Джорджес
Liuz Siujboh	Лю Сяобо
Seiq cib	40 (число)
Vaiz	Азиатский буйвол
Bouxgun	Хань (народ)
Sam cib	30 (число)
Yiuhrumz	Воздушный змей
Roegga	Вороны
Sipndangj	Губоногие
Oliver Cromwell	Кромвель, Оливер
Veizvuzwj	Уйгуры
Yinzvwnzcujyi	Гуманизм
Gaemhbeg	Изнасилование
Gveicouh	Гуйчжоу
Bozhoz	Мята
模板:Commonscat	Шаблон:Commonscat
Ngeih cib sam	23 (число)
Fwen Lajbiengz	Интернационал (гимн)
Swngj Daizvanh (Cunghvaz Yinzminz Gunghozgoz)	Тайвань (провинция Китайской Народной Республики)
Tomislav Nikolić	Николич, Томислав
Denyouz daengngoenz	Фотоэлемент
Bak loeg cib bat	168 (число)
Bak lingz caet	107 (число)
Emil Fischer	Фишер, Герман Эмиль
Emil Adolf von Behring	Беринг, Эмиль Адольф фон
Adolf Windaus	Виндаус, Адольф Отто Рейнгольд
Ngeih cib haj	25 (число)
Ngeih cib seiq	24 (число)
Loeg cib	60 (число)
Makbug	Помело (фрукт)
Yinzvwnz yozgoh	Гуманитарные науки
Ahlahbozsugyauh	Акация
John Keats	Китс, Джон
Vaizcwx meijcouh	Бизон
Ngeih cib loeg	26 (число)
Byajraez	Гром
Liuzcai Ceiqheih	Ляо-чжай-чжи-и
Loegseiq Saehgienh	События на площади Тяньаньмэнь (1989)
Adam Riess	Рисс, Адам
Saul Perlmutter	Перлмуттер, Сол
Ceizraemxrouh	Танъюань (блюдо)
Leopold Ružička	Ружичка, Леопольд
Hoengqceiqlwnh	Кибернетика
Raemxmaeg	Чернила
Cujluj	Зулусы
Cunghvaz Yinzminz Gunghozgoz gozgeiz	Флаг Китайской Народной Республики
Bakbya	Перевал
Saihwet	Ремень
Fuzdauj Si	Фукусима (город)
Cunghvaz Cenzgoz Cungjgunghvei	Всекитайская федерация профсоюзов
Cangzsa	Чанша
Ream	Мошонка
Canghfwen	Певец
Andrea Palladio	Палладио, Андреа
Nazmij	Нанометр
Namzningz	Наньнин
Ywgajnon	Инсектициды
Cangcuz	Тибетцы
Gveilinz	Гуйлинь
Yahben Cancwngh	Первая опиумная война
Gangbit	Перьевая ручка
Cangh Hwngz	Чжан Хэн
Cuenghhag	Чжуанология
Cunghvaz Yinzminz Gunghozgoz yanfaz	Конституция Китайской Народной Республики
Brian Schmidt	Шмидт, Брайан
Dahcuhgyangh	Чжуцзян
Bouxmiuz	Мяо
Baekhaij	Бэйхай
Gyahden	Бытовая техника
Nabsihcuz	Наси (народ)
Bak ngeih cib loeg	126 (число)
Bak seiq cib it	141 (число)
Ciengqyouz	Соевый соус
Veiginhrozsoeng Si	Аидзувакамацу
Gouj cib	90 (число)
Haj cib caet	58 (число)
Makcaujcij	Зизифус настоящий
Caet cib ngeih	72 (число)
Cunghgoz Yinzminz Yinzhangz	Народный банк Китая
Sinhcuz	Синьчжу
Bak bat cib caet	187 (число)
Ginqsan Si	Корияма
Banjsingz Si	Иваки
Sihsah ginzdauj	Парасельские острова
Gouj cib ngeih	92 (число)
Bat cib seiq	84 (число)
Nguxseiq Yindung	Движение 4 мая
Gouj cib loeg	96 (число)
Bak bat cib gouj	189 (число)
Seiq cib sam	43 (число)
Bak seiq cib bat	148 (число)
Bat cib caet	87 (число)
Bak loeg cib ngeih	162 (число)
Haj cib seiq	54 (число)
Huz Gyah	Ху Цзя
Kim Yong	Джим Ён Ким
Bak sam cib seiq	134 (число)
Bat cib bat	88 (число)
Bouxmienh	Яо (народ)
Gouqseiqcawj	Спаситель
Singgizsoq	Половые гормоны
Bat cib haj	85 (число)
Bak ngeih cib bat	128 (число)
Ngeih cib caet	27 (число)
Sam cib haj	35 (число)
Loeg cib seiq	64 (число)
Gouj cib gouj	99 (число)
Bak lingz bat	108 (число)
Bak lingz it	101 (число)
Hoysala Digoz	Хойсала
Bak haj cib sam	153 (число)
Ndaengq	Щёлочи
Ciemxdin	Бинтование ног
Serpopard	Серпопард
Bak sam cib haj	135 (число)
Bak sam cib caet	137 (число)
Haj cib loeg	56 (число)
Bak caet cib ngeih	172 (число)
Bak loeg cib	160 (число)
Bat cib gouj	89 (число)
Bak bat cib ngeih	182 (число)
Caet cib loeg	76 (число)
Ngeih cib gouj	29 (число)
Bak caet cib sam	173 (число)
Bak caet cib it	171 (число)
Ngouzcouh	Учжоу
Fangzcwngzgangj	Фанчэнган
Ginhcouh	Циньчжоу
Gveigangj	Гуйган
Yoglinz	Юйлинь (Гуанси)
Baksaek	Байсэ
Hohcouh	Хэчжоу
Hozciz	Хэчи
Leizbingz	Лайбинь
Cungzcoj	Чунцзо
Bak gouj cib	190 (число)
Caet cib it	71 (число)
Ngeih cib bat	28 (число)
Bak haj cib ngeih	152 (число)
Haj cib gouj	59 (число)
Loeg cib ngeih	62 (число)
Gouj cib haj	95 (число)
Sam cib bat	38 (число)
Caet cib haj	75 (число)
Bak lingz gouj	109 (число)
Bak lingz sam	103 (число)
Bak gouj cib gouj	199 (число)
Seiq cib haj	45 (число)
Guekcoj	Отечество
Bak haj cib	150 (число)
Loeg cib haj	65 (число)
Bak caet cib seiq	174 (число)
Bak bat cib	180 (число)
Bak it cib gouj	119 (число)
Sam Aen Daibyauj	Тройное представительство
Hekgya	Хакка (народ)
Loeg cib bat	68 (число)
Bak haj cib loeg	156 (число)
Gouj cib caet	97 (число)
Gouj cib seiq	94 (число)
Haj cib haj	55 (число)
Gouj cib it	91 (число)
Isfara	Исфара
Bak sam cib bat	138 (число)
Bak it cib bat	118 (число)
Bat cib	80 (число)
Ngeih cib it	21 (число)
Ngeih cib ngeih	22 (число)
Caet cib	70 (число)
Haj cib	50 (число)
Seiq cib it	41 (число)
Sam cib seiq	34 (число)
Sam cib sam	33 (число)
Seiq cib caet	47 (число)
Sam cib it	31 (число)
Sam cib ngeih	32 (число)
Seiq cib seiq	44 (число)
Seiq cib loeg	46 (число)
Seiq cib gouj	49 (число)
Seiq cib bat	48 (число)
Sam cib caet	37 (число)
Sam cib gouj	39 (число)
Sam cib loeg	36 (число)
Haj cib sam	53 (число)
Bat cib it	81 (число)
Loeg cib loeg	66 (число)
Loeg cib sam	63 (число)
Haj cib ngeih	52 (число)
Loeg cib gouj	69 (число)
Caet cib sam	73 (число)
Caet cib seiq	74 (число)
Caet cib gouj	79 (число)
Loeg cib caet	67 (число)
Caet cib caet	77 (число)
Bat cib sam	83 (число)
Bat cib ngeih	82 (число)
Bat cib loeg	86 (число)
Caet cib bat	78 (число)
Gouj cib bat	98 (число)
Bak lingz seiq	104 (число)
Bak it cib sam	113 (число)
Bak lingz ngeih	102 (число)
Bak seiq cib seiq	144 (число)
Bak it cib	110 (число)
Bak ngeih cib it	121 (число)
Bak it cib seiq	114 (число)
Bak it cib loeg	116 (число)
Bak ngeih cib caet	127 (число)
Bak ngeih cib sam	123 (число)
Bak it cib haj	115 (число)
Bak lingz haj	105 (число)
Bak it cib ngeih	112 (число)
Bak it cib it	111 (число)
Bak it cib caet	117 (число)
Bak ngeih cib	120 (число)
Bak ngeih cib seiq	124 (число)
Bak ngeih cib haj	125 (число)
Bak gouj cib loeg	196 (число)
Bak ngeih cib ngeih	122 (число)
Bak loeg cib gouj	169 (число)
Bak ngeih cib gouj	129 (число)
Bak seiq cib	140 (число)
Bak seiq cib sam	143 (число)
Bak seiq cib caet	147 (число)
Bak sam cib it	131 (число)
Bak seiq cib loeg	146 (число)
Bak gouj cib caet	197 (число)
Bak seiq cib gouj	149 (число)
Bak sam cib ngeih	132 (число)
Bak haj cib caet	157 (число)
Bak haj cib gouj	159 (число)
Bak seiq cib ngeih	142 (число)
Bak haj cib it	151 (число)
Bak haj cib seiq	154 (число)
Bak loeg cib seiq	164 (число)
Bak sam cib gouj	139 (число)
Bak sam cib sam	133 (число)
Bak gouj cib bat	198 (число)
Bak loeg cib sam	163 (число)
Bak haj cib haj	155 (число)
Bak loeg cib haj	165 (число)
Bak sam cib loeg	136 (число)
Bak sam cib	130 (число)
Bak bat cib bat	188 (число)
Bak seiq cib haj	145 (число)
Bak loeg cib it	161 (число)
Bak gouj cib seiq	194 (число)
Bak bat cib it	181 (число)
Bak bat cib loeg	186 (число)
Bak gouj cib ngeih	192 (число)
Bak caet cib haj	175 (число)
Bak bat cib seiq	184 (число)
Bak bat cib sam	183 (число)
Bak gouj cib it	191 (число)
Bak loeg cib caet	167 (число)
Bak caet cib loeg	176 (число)
Bak caet cib caet	177 (число)
Bak caet cib gouj	179 (число)
Bak loeg cib loeg	166 (число)
Bak bat cib haj	185 (число)
Bak gouj cib haj	195 (число)
Bak caet cib bat	178 (число)
Bak gouj cib sam	193 (число)
Bak caet cib	170 (число)
Loeg cib it	61 (число)
Seiq cib ngeih	42 (число)
Daengloengz	Фонарь
Haj cib it	51 (число)
Sawndip	Чжуанское письмо
Ndoengrum	Травянистые сообщества
Cunghgoz gunghnungz hungzginh	Красная армия Китая
Cunghgoz Gungcanjcujyi Cinghnenzdonz	Коммунистический союз молодёжи Китая
分类:Meijgoz	Категория:США
分类:Ezlozswh	Категория:Россия
分类:Yiednamz	Категория:Вьетнам
分类:Doenghgo	Категория:Растения
分类:Lizsij	Категория:История
分类:Gohyoz	Категория:Наука
Bwzgingh swhfan Dayoz	Пекинский педагогический университет
Boux Moksha	Мокшане
分类:Cietyoz	Категория:Философия
Danielle Winits	Уинитс, Даниэль
Veiz Gozcingh	Вэй Гоцин
Mak	Фрукт
模板:Userbox	Шаблон:Userbox
分类:Guekgya	Категория:Страны
分类:Cunghvaz minzcuz	Категория:Народы Китая
分类:Mbwnnamh	Категория:Природа
模板:Bot	Шаблон:Bot
模板:Documentation	Шаблон:Doc
Wikipedia:Seqgih	Википедия:Портал сообщества
分类:用户语言	Категория:Википедия:Участники по языкам
Sung Jae-ki	Сон Джэги
模板:Softredirect	Шаблон:Soft redirect
模板:Db	Шаблон:К быстрому удалению
分类:Vah	Категория:Языки
分类:Veizgiek Bakgoh	Категория:Википедия
模板:Navbox	Шаблон:Navbox
Nobel sengleixhag hoh ywhag ciengj	Список лауреатов Нобелевской премии по физиологии или медицине
模板:Babel	Шаблон:Babel
模板:Reflist	Шаблон:Примечания
Batgak	Бадьян
模板:User de	Шаблон:User de
模板:User en-1	Шаблон:User en-1
模板:User en-0	Шаблон:User en-0
模板:User sk	Шаблон:User sk
分类:Ahsehbaiqgyangh	Категория:Азербайджан
模板:Mod	Шаблон:Mod
模板:Welcome	Шаблон:Приветствие
模板:Wikipediasister	Шаблон:Сообщество Википедии
模板:Time ago	Шаблон:Прошло времени
分类:User en	Категория:User en
分类:User zh	Категория:User zh
分类:User zh-N	Категория:User zh-N
模板:User zh	Шаблон:User zh
模板:Cite web	Шаблон:Cite web
模板:Pp-template	MediaWiki:Protectedpagetext
模板:Documentation subpage	Шаблон:Docpage
模板:Cunghgoz	Шаблон:Провинции КНР
模板:Disambig	Шаблон:Неоднозначность
分类:Gvangjcouh	Категория:Гуанчжоу
分类:User sk	Категория:User sk
模板:User zh-yue	Шаблон:User zh-yue
分类:User sk-N	Категория:User sk-N
分类:Gvangjdungh	Категория:Гуандун
模板:Lang	Шаблон:Lang
模板:Merge	Шаблон:К объединению
分类:Daizvanh	Категория:Тайвань
分类:Doeng Divwnq	Категория:Восточный Тимор
分类:Bwzgingh	Категория:Пекин
分类:Byaek	Категория:Овощи
分类:Mak	Категория:Фрукты
分类:Gvangjsih	Категория:Гуанси-Чжуанский автономный район
分类:Soujduh	Категория:Столицы государств
分类:Cunghvaz Yinzminz Gunghozgoz	Категория:Китайская Народная Республика
Trojany	Трояны (Мазовецкое воеводство)
分类:Biengz Yacouh	Категория:Страны Азии
模板:Lang-zh	Шаблон:Lang-zh
模板:Gvangjsih	Шаблон:ГЧАР
模板:Gvangjdungh	Шаблон:Гуандун
模板:Nobots	Шаблон:Nobots
特殊:最近更改	Служебная:Свежие правки
