Afirik	Африка
Sappo e joweego	16 (число)
Noogas	20 (число)
Cappanɗe nayi	40 (число)
Cappanɗe tati	30 (число)
Booro	Тысяча
Montehermoso	Монтеермосо
Lacuna Coil	Lacuna Coil
Cappanɗe joweego	60 (число)
Coronel Fabriciano	Коронел-Фабрисиану
Ahmed Seeku Tuuree	Туре, Ахмед Секу
Aamadu Tumani Tuure	Туре, Амаду Тумани
Alahajji Umaru Taal	Эль-Хадж Омар
Banovci (Nijemci)	Бановци (Ниемци)
Tigranes II	Тигран II
Pullo	Фульбе
Lansana Konte	Конте, Лансана
Teemeɗɗe jowi	500 (число)
Trpinja	Трпинья
Cappanɗe joweenayi	90 (число)
Teemeɗɗe joweego	600 (число)
Booro sappo	10 000 (число)
Paramore	Paramore
Aéroport de Tan Son Nhat	Таншоннят
Buford	Буфорд (Вайоминг)
Cappanɗe joweetati	80 (число)
Noogas e go’o	21 (число)
Noogas e ɗiɗi	22 (число)
Cappanɗe joweeɗiɗi	70 (число)
Cappanɗe jowi	50 (число)
Teemeɗɗe ɗiɗi	200 (число)
Teemeɗɗe joweeɗiɗi	700 (число)
Teemeɗɗe joweenayi	900 (число)
Teemeɗɗe joweetati	800 (число)
Aéroport de Da Nang	Дананг (аэропорт)
Laamateeri Adamaawa	Адамава (эмират)
Pigazzano	Пигаццано
Adradas	Адрадас
Arenillas	Аренильяс
Medford	Медфорд (Орегон)
Fuuta Jaloo	Фута-Джаллон
Aéroport de Ca Mau	Камау (аэропорт)
Labe	Лабе (Гвинея)
Skolkovo	Сколково (Московская область)
Teemeɗɗe tati	300 (число)
Catégorie:Roosiya	Категория:Россия
Catégorie:Hispaanya	Категория:Испания
Catégorie:Vietnam	Категория:Вьетнам
Catégorie:Taariika	Категория:История
Catégorie:Mbaalaandi	Категория:География
Catégorie:Diina	Категория:Религия
Catégorie:Siyansi	Категория:Наука
Teemeɗɗe nayi	400 (число)
Ba Ria	Бариа
Catégorie:Duungal	Категория:Континенты
Catégorie:Leydi	Категория:Страны
Wikipedia:Administrateurs	Википедия:Администраторы
Catégorie:Yimɓe	Категория:Люди
Modèle:Bot	Шаблон:Bot
Wikipedia:Copyrights	Википедия:Авторские права
Catégorie:Yuroopu	Категория:Европа
Modèle:Documentation	Шаблон:Doc
Catégorie:Babel	Категория:Википедия:Участники по языкам
Sung Jae-gi	Сон Джэги
Modèle:Softredirect	Шаблон:Soft redirect
Modèle:Db	Шаблон:К быстрому удалению
Catégorie:Wikipeediya	Категория:Википедия
Wikipedia:Statistiques	Википедия:Статистика
Modèle:Clear	Шаблон:Clear
Catégorie:Afirik	Категория:Африка
Catégorie:Limle	Категория:Числа
Modèle:Babel	Шаблон:Babel
Modèle:Commons	Шаблон:Commons
Modèle:Stub	Шаблон:Заготовка
Modèle:User af-1	Шаблон:User af-1
Modèle:User ar-1	Шаблон:User ar-1
Modèle:User ast-1	Шаблон:User ast-1
Modèle:User az	Шаблон:User az
Modèle:User eo-1	Шаблон:User eo-1
Modèle:User da-2	Шаблон:User da-2
Modèle:User da	Шаблон:User da
Modèle:User ca-1	Шаблон:User ca-1
Modèle:User ca-4	Шаблон:User ca-4
Modèle:User be-2	Шаблон:User be-2
Modèle:User da-1	Шаблон:User da-1
Modèle:User cs-1	Шаблон:User cs-1
Modèle:User bg-1	Шаблон:User bg-1
Modèle:User eo-3	Шаблон:User eo-3
Modèle:User de	Шаблон:User de
Modèle:User de-1	Шаблон:User de-1
Modèle:User eu	Шаблон:User eu
Modèle:User et-1	Шаблон:User et-1
Modèle:User es	Шаблон:User es
Modèle:User de-3	Шаблон:User de-3
Modèle:User en-3	Шаблон:User en-3
Modèle:User en-1	Шаблон:User en-1
Modèle:User en-2	Шаблон:User en-2
Modèle:User eo-2	Шаблон:User eo-2
Modèle:User en-4	Шаблон:User en-4
Modèle:User fi	Шаблон:User fi
Modèle:User en-0	Шаблон:User en-0
Modèle:User es-4	Шаблон:User es-4
Modèle:User en	Шаблон:User en
Modèle:User de-2	Шаблон:User de-2
Modèle:User es-1	Шаблон:User es-1
Modèle:User fr-1	Шаблон:User fr-1
Modèle:User ia-2	Шаблон:User ia-2
Modèle:User he-1	Шаблон:User he-1
Modèle:User io-3	Шаблон:User io-3
Modèle:User it-3	Шаблон:User it-3
Modèle:User ja-4	Шаблон:User ja-4
Modèle:User sk	Шаблон:User sk
Modèle:User tr-2	Шаблон:User tr-2
Modèle:User fr-2	Шаблон:User fr-2
Modèle:User tr	Шаблон:User tr
Modèle:User ja	Шаблон:User ja
Modèle:User ja-1	Шаблон:User ja-1
Modèle:User it-1	Шаблон:User it-1
Modèle:User hr-1	Шаблон:User hr-1
Modèle:User fr	Шаблон:User fr
Modèle:User he	Шаблон:User he
Catégorie:Aasiya	Категория:Азия
Catégorie:User uk	Категория:User uk
Modèle:Mod	Шаблон:Mod
Modèle:User sv	Шаблон:User sv
Modèle:User it	Шаблон:User it
Modèle:User es-2	Шаблон:User es-2
Catégorie:User fr-1	Категория:User fr-1
Modèle:Official website	Шаблон:Официальный сайт
Catégorie:User en-4	Категория:User en-4
Catégorie:User en	Категория:User en
Catégorie:User zh	Категория:User zh
Catégorie:User zh-N	Категория:User zh-N
Catégorie:User en-2	Категория:User en-2
Modèle:User eo	Шаблон:User eo
Modèle:User zh	Шаблон:User zh
Modèle:User ru-4	Шаблон:User ru-4
Modèle:User nl-1	Шаблон:User nl-1
Modèle:User nl-2	Шаблон:User nl-2
Modèle:User ru	Шаблон:User ru
Catégorie:Aameerik	Категория:Америка
Modèle:User eo-4	Шаблон:User eo-4
Modèle:User pt-1	Шаблон:User pt-1
Modèle:User pl	Шаблон:User pl
Modèle:User nl	Шаблон:User nl
Modèle:User no-2	Шаблон:User no-2
Modèle:Ɗemngal-de	Шаблон:Lang-de
Modèle:User fr-3	Шаблон:User fr-3
Modèle:User lt	Шаблон:User lt
Modèle:Oppose	Шаблон:Против
Modèle:User ar-2	Шаблон:User ar-2
Modèle:User ar-3	Шаблон:User ar-3
Modèle:User ar	Шаблон:User ar
Modèle:User fr-0	Шаблон:User fr-0
Catégorie:User ja-N	Категория:User ja-N
Modèle:User als	Шаблон:User als
Modèle:URL	Шаблон:URL
Modèle:User no	Шаблон:User no
Modèle:Ɗemngal-fr	Шаблон:Lang-fr
Modèle:User pt-0	Шаблон:User pt-0
Modèle:User pt-3	Шаблон:User pt-3
Modèle:User pt-2	Шаблон:User pt-2
Modèle:User fr-4	Шаблон:User fr-4
Modèle:User eo-0	Шаблон:User eo-0
Catégorie:User az	Категория:User az
Catégorie:User be	Категория:User be
Catégorie:User hr	Категория:User hr
Catégorie:User sk	Категория:User sk
Catégorie:User eo	Категория:User eo
Catégorie:User fr	Категория:User fr
Catégorie:User ja	Категория:User ja
Catégorie:User lt	Категория:User lt
Catégorie:User mk	Категория:User mk
Catégorie:User pt	Категория:User pt
Catégorie:User sv	Категория:User sv
Catégorie:User it-3	Категория:User it-3
Catégorie:User ar-3	Категория:User ar-3
Catégorie:User cs-1	Категория:User cs-1
Catégorie:User da-1	Категория:User da-1
Catégorie:User mk-1	Категория:User mk-1
Catégorie:User nl-1	Категория:User nl-1
Catégorie:User ar-4	Категория:User ar-4
Catégorie:User be-2	Категория:User be-2
Catégorie:User da-2	Категория:User da-2
Catégorie:User fr-2	Категория:User fr-2
Catégorie:User nl-2	Категория:User nl-2
Catégorie:User tr-2	Категория:User tr-2
Catégorie:User ar-2	Категория:User ar-2
Catégorie:User fr-N	Категория:User fr-N
Catégorie:User lt-N	Категория:User lt-N
Catégorie:User no-N	Категория:User no-N
Catégorie:User ru-N	Категория:User ru-N
Catégorie:User af	Категория:User af
Catégorie:User af-1	Категория:User af-1
Catégorie:User als	Категория:User als
Catégorie:User als-1	Категория:User als-1
Catégorie:User ar	Категория:User ar
Catégorie:User ast	Категория:User ast
Catégorie:User ast-1	Категория:User ast-1
Catégorie:User az-N	Категория:User az-N
Catégorie:User bar	Категория:User bar
Catégorie:User bar-1	Категория:User bar-1
Catégorie:User bg	Категория:User bg
Catégorie:User bg-1	Категория:User bg-1
Catégorie:User ca	Категория:User ca
Catégorie:User ca-1	Категория:User ca-1
Catégorie:User ca-4	Категория:User ca-4
Catégorie:User cs	Категория:User cs
Catégorie:User da	Категория:User da
Catégorie:User sk-N	Категория:User sk-N
Catégorie:User de	Категория:User de
Catégorie:User de-2	Категория:User de-2
Catégorie:User de-3	Категория:User de-3
Catégorie:User de-N	Категория:User de-N
Catégorie:User en-3	Категория:User en-3
Catégorie:User en-N	Категория:User en-N
Catégorie:User eo-1	Категория:User eo-1
Catégorie:User eo-3	Категория:User eo-3
Catégorie:User eo-N	Категория:User eo-N
Catégorie:User es	Категория:User es
Catégorie:User es-1	Категория:User es-1
Catégorie:User es-2	Категория:User es-2
Catégorie:User es-4	Категория:User es-4
Catégorie:User es-N	Категория:User es-N
Catégorie:User hr-1	Категория:User hr-1
Catégorie:User pl-N	Категория:User pl-N
Catégorie:User it	Категория:User it
Catégorie:User it-1	Категория:User it-1
Catégorie:User ja-1	Категория:User ja-1
Catégorie:Wikipedia articles needing translation	Категория:Википедия:Запросы на перевод
Catégorie:User ru-1	Категория:User ru-1
Modèle:User sv-1	Шаблон:User sv-1
Catégorie:Njuɓɓudi naangeyankoori	Категория:Солнечная система
Modèle:User pt-4	Шаблон:User pt-4
Modèle:User cs	Шаблон:User cs
Modèle:User ru-2	Шаблон:User ru-2
Modèle:User ko-3	Шаблон:User ko-3
Catégorie:User pt-0	Категория:User pt-0
Catégorie:User pt-N	Категория:User pt-N
Catégorie:User ru	Категория:User ru
Catégorie:User ru-2	Категория:User ru-2
Catégorie:User ru-4	Категория:User ru-4
Catégorie:User sr	Категория:User sr
Catégorie:User sr-1	Категория:User sr-1
Catégorie:User sv-1	Категория:User sv-1
Catégorie:User sv-3	Категория:User sv-3
Catégorie:User tr	Категория:User tr
Catégorie:User tr-N	Категория:User tr-N
Catégorie:User uk-4	Категория:User uk-4
Catégorie:User vi	Категория:User vi
Catégorie:User vi-N	Категория:User vi-N
Modèle:User sv-3	Шаблон:User sv-3
Catégorie:Gine	Категория:Гвинея
Catégorie:Maali	Категория:Мали
Catégorie:Muritani	Категория:Мавритания
Modèle:User ar-0	Шаблон:User ar-0
Modèle:User ar-4	Шаблон:User ar-4
Modèle:User ko	Шаблон:User ko
Modèle:User mk-1	Шаблон:User mk-1
Modèle:User no-1	Шаблон:User no-1
Modèle:User pt	Шаблон:User pt
Modèle:User ru-1	Шаблон:User ru-1
Modèle:User sr-1	Шаблон:User sr-1
Modèle:User uk-4	Шаблон:User uk-4
Modèle:User zh-1	Шаблон:User zh-1
Modèle:User zh-2	Шаблон:User zh-2
Modèle:User zh-3	Шаблон:User zh-3
Catégorie:Senegal	Категория:Сенегал
Catégorie:User nl	Категория:User nl
Catégorie:User no-1	Категория:User no-1
Catégorie:User no-2	Категория:User no-2
Catégorie:User no	Категория:User no
Catégorie:User zh-1	Категория:User zh-1
Catégorie:User zh-2	Категория:User zh-2
Catégorie:East Timor	Категория:Восточный Тимор
Catégorie:Dabbaji	Категория:Животные
Catégorie:Ndenndaandi	Категория:Республики
Catégorie:Alqur'aana	Категория:Коран
Catégorie:User pl	Категория:User pl
Trojany	Трояны (Мазовецкое воеводство)
Kappe	Ямс
Modèle:User et	Шаблон:User et
Modèle:User bm-1	Шаблон:User bm-1
Modèle:User vi	Шаблон:User vi
Catégorie:User en-1	Категория:User en-1
Catégorie:User de-1	Категория:User de-1
Catégorie:User da-N	Категория:User da-N
Modèle:User ru-3	Шаблон:User ru-3
Modèle:User li	Шаблон:User li
Spécial:Modifications récentes	Служебная:Свежие правки
Catégorie:User ja-4	Категория:User ja-4
