Afrika	Африка
Carl Sagan	Саган, Карл
Fizika	Физика
Arjentina	Аргентина
Fifandraisan-davitra	Электросвязь
Però	Перу
Biolojia	Биология
Korea Avaratra	Корейская Народно-Демократическая Республика
Kambodia	Камбоджа
Betsiboka	Бецибука
Ljubljana	Любляна
Salvador Allende	Альенде, Сальвадор
Naturalis Historia	Естественная история (Плиний)
Lech Wałęsa	Валенса, Лех
Kodiarana	Колесо
Fandriam-pahalemana	Мир (отсутствие войны)
Encyclopædia Britannica	Энциклопедия Британника
Vondrona Eoropeana	Европейский союз
Plôvdiv	Пловдив
Philipp Ludwig von Seidel	Зейдель, Филипп Людвиг фон
Tranonkala	Всемирная паутина
Sofia	София
Voina tao Chernobyl	Авария на Чернобыльской АЭС
Arthur Rimbaud	Рембо, Артюр
Tay	Кал
Fory	Анус
Charles Baudelaire	Бодлер, Шарль
Stendhal	Стендаль
Akondro	Банан
Émile Zola	Золя, Эмиль
Vladimir Vysotsky	Высоцкий, Владимир Семёнович
Tanàna	Город
Napoleon	Наполеон I
Kintana	Звезда
Masoandro	Солнце
Louis Pasteur	Пастер, Луи
Ingemar Stenmark	Стенмарк, Ингемар
Taon-kazavana	Световой год
Victor Hugo	Гюго, Виктор
Oseania	Океания
Giuseppe Garibaldi	Гарибальди, Джузеппе
Rafitry ny masoandro	Солнечная система
Ranomasina Baltika	Балтийское море
Nify	Зуб (биология)
Wikimedia Commons	Викисклад
Angela Merkel	Меркель, Ангела
Famoaham-peo	Громкоговоритель
Boky	Книга
Jorge Alessandri Rodríguez	Алессандри Родригес, Хорхе
Oslo	Осло
Katowice	Катовице
Luís de Camões	Камоэнс, Луис де
Lisbon	Лиссабон
Lionel Messi	Месси, Лионель
Nicolas Copernic	Коперник, Николай
Karbônina	Углерод
Alessandro Del Piero	Дель Пьеро, Алессандро
Ôksizenina	Кислород
Fajiry	Планета
Cléopâtre VII	Клеопатра
Mozika	Музыка
Lille	Лилль
Môsikao	Москва
Fiteny italiana	Итальянский язык
Tsady	Чад
Viraty	Алюминий
India	Индия
Silisiôma	Кремний
André-Marie Ampère	Ампер, Андре-Мари
Vy	Железо
Alessandro Volta	Вольта, Алессандро
Samoa	Самоа
Nosy Solomona	Соломоновы Острова
Vanoato	Вануату
Molière	Мольер
Papoa Ginea Vao	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Palao	Палау
Naoro	Науру
Mozilla Firefox	Mozilla Firefox
Angano	Сказка
Mongolia	Монголия
Fiji	Фиджи
Stevie Wonder	Уандер, Стиви
Venezoela	Венесуэла
Saginaw, Michigan	Сагино (Мичиган)
Maine	Мэн (штат)
Soavaly	Домашняя лошадь
Fitaovam-piadiana	Оружие
Biby	Животные
Sorinama	Суринам
Paragoay	Парагвай
Kanto	Искусство
Ekoadôra	Эквадор
Kolombia	Колумбия
Jean Racine	Расин, Жан
Pierre Corneille	Корнель, Пьер
Bolivia	Боливия
Zavamaniry	Растения
New Hampshire	Нью-Гэмпшир
Léonard de Vinci	Леонардо да Винчи
Masina Kitts sy Nevis	Сент-Китс и Невис
Dario Fo	Фо, Дарио
Jamaika	Ямайка
Massachusetts	Массачусетс
Goatemala	Гватемала
Bahamasy	Багамские Острова
Connecticut	Коннектикут
Antigua sy Barbuda	Антигуа и Барбуда
Hawaii	Гавайи
Hôndorasy	Гондурас
Ranomasimbe Arktika	Северный Ледовитый океан
Haiti	Республика Гаити
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu	Тауматауакатангиангакоауауотаматеатурипукакапикимаунгахоронукупокануэнуакитанатаху
Salvador	Сальвадор
Iran	Иран
Iraka	Ирак
Alaska	Аляска
Costa Rica	Коста-Рика
Israely	Израиль
Panama	Панама
Yemen	Йемен
Fiteny poloney	Польский язык
Jordania	Иордания
Nikaragoa	Никарагуа
Florida	Флорида
Arizona	Аризона
Laôsa	Лаос
Libana	Ливан
Oregon	Орегон
Maldiva	Мальдивы
Amerika	Америка
Utah	Юта
Malezia	Малайзия
Mikhail Bulgakov	Булгаков, Михаил Афанасьевич
Myanmara	Мьянма
Nepal	Непал
Omàna	Оман
Katara	Катар
François Villon	Вийон, Франсуа
MySQL	MySQL
Arabia Saodita	Саудовская Аравия
Andreï Tarkovski	Тарковский, Андрей Арсеньевич
Sri Lanka	Шри-Ланка
Joseph Stalin	Сталин, Иосиф Виссарионович
Siria	Сирия
Plato	Платон
Joseph Brodsky	Бродский, Иосиф Александрович
Taiwan	Китайская Республика
Aristotle	Аристотель
Tailandy	Таиланд
Fiarandalamby	Поезд
Radiô	Радио
Meryl Streep	Стрип, Мерил
Vietnam	Вьетнам
Charlie Chaplin	Чаплин, Чарльз
Korea Atsimo	Республика Корея
Józef Piłsudski	Пилсудский, Юзеф
Ny Simpsons	Симпсоны
Afganistana	Афганистан
J. R. R. Tolkien	Толкин, Джон Рональд Руэл
Volamena	Золото
Lakandranon'i Suez	Суэцкий канал
Franz Kafka	Кафка, Франц
Jorge Luis Borges	Борхес, Хорхе Луис
Mali	Мали
Socrates	Сократ
Angola	Ангола
Botàna	Бутан
Twitter	Твиттер
Boroney	Бруней
Tanzania	Танзания
Filipina	Филиппины
Repoblikan'i Afrika Afovoany	Центральноафриканская Республика
Tendrontany Avaratra	Северный полюс
Isaac Newton	Ньютон, Исаак
Albert Einstein	Эйнштейн, Альберт
Pedro I an'i Brazila	Педру I (император Бразилии)
Togo	Того
Tonizia	Тунис
John Bardeen	Бардин, Джон
Beijing	Пекин
Benina	Бенин
Botsoana	Ботсвана
Komaoro	Коморы
Repoblikan'i Kongo	Республика Конго
Repoblika Demokratikan'i Kongo	Демократическая Республика Конго
San Antonio	Сан-Антонио
Jibotia	Джибути
Ginea Ekoatorialy	Экваториальная Гвинея
Eritrea	Эритрея
New Delhi	Нью-Дели
Joany Paoly II	Иоанн Павел II
Fyodor Dostoyevsky	Достоевский, Фёдор Михайлович
Tbilisi	Тбилиси
Andreï Sakharov	Сахаров, Андрей Дмитриевич
Gabona	Габон
Mohandas Karamchand Gandhi	Махатма Ганди
Gambia	Гамбия
Ginea	Гвинея
Ginea-Bissau	Гвинея-Бисау
Côte d'Ivoire	Кот-д’Ивуар
Kamerona	Камерун
Cabo Verde	Кабо-Верде
Lesoto	Лесото
Liberia	Либерия
Libia	Ливия
Madagasikara	Мадагаскар
Malawi	Малави
Maoritania	Мавритания
Maorisy	Маврикий
Marôka	Марокко
Mozambika	Мозамбик
Namibia	Намибия
France Prešeren	Прешерн, Франце
Nizeria	Нигерия
Charles Darwin	Дарвин, Чарлз
Oganda	Уганда
Roanda	Руанда
Senegala	Сенегал
Seychelles	Сейшельские Острова
Carl von Linné	Линней, Карл
Sierra Leone	Сьерра-Леоне
Somalia	Сомали
Jawaharlal Nehru	Неру, Джавахарлал
Joliosy Kaisara	Гай Юлий Цезарь
Sodana	Судан
Soazilandy	Свазиленд
Gujarat	Гуджарат
Firenena Mikambana	Организация Объединённых Наций
Dante Alighieri	Данте Алигьери
Ahmedabad	Ахмадабад
Jeografia	География
Bill Clinton	Клинтон, Билл
Indira Gandhi	Ганди, Индира
Hector Berlioz	Берлиоз, Гектор
Jamnagar	Джамнагар
Mumbai	Мумбаи
Andhra Pradesh	Андхра-Прадеш
Arunachal Pradesh	Аруначал-Прадеш
Assam	Ассам
Bihar	Бихар
Michigan	Мичиган
Goa	Гоа
Maurice Ravel	Равель, Морис
Puerto Rico	Пуэрто-Рико
Karnataka	Карнатака
Kerala	Керала
Madhya Pradesh	Мадхья-Прадеш
Usain Bolt	Болт, Усэйн
Maharashtra	Махараштра
Manipur	Манипур
John Lennon	Леннон, Джон
Illinois	Иллинойс
Dakôta Avaratra	Северная Дакота
Dakota Atsimo	Южная Дакота
Montana	Монтана
Wyoming	Вайоминг
Jerusalem	Иерусалим
Idaho	Айдахо
Washington	Вашингтон (штат)
Bruce Springsteen	Спрингстин, Брюс
Nevada	Невада
Ranomasimbe Indiana	Индийский океан
Ban Ki-moon	Пан Ги Мун
Kofi Annan	Аннан, Кофи
Kolorado	Колорадо
Dag Hammarskjöld	Хаммаршёльд, Даг
Frédéric Chopin	Шопен, Фредерик
Blaise Pascal	Паскаль, Блез
Chicago	Чикаго
The Beatles	The Beatles
Lohataona	Весна
Fararano	Осень
Saddam Hussein	Саддам Хусейн
Osama Bin Laden	Усама бен Ладен
Fiteny espaniola	Испанский язык
Johann Sebastian Bach	Бах, Иоганн Себастьян
Antonio Vivaldi	Вивальди, Антонио
Pittsburgh	Питтсбург
Philadelphia	Филадельфия
Kolkata	Калькутта
Chennai	Ченнаи
Faritan'i Delhi	Дели
Bangalore	Бангалор
Bengaly andrefana	Западная Бенгалия
Hyderabad, India	Хайдарабад (Индия)
Voankazo	Плод
Vola	Деньги
Virjinia	Виргиния
West Virginia	Западная Виргиния
Rhode Island	Род-Айленд
Maryland	Мэриленд
Delaware	Делавэр
Vladimir Lenin	Ленин, Владимир Ильич
Ohio	Огайо
Virgil	Вергилий
Nicolas Machiavel	Макиавелли, Никколо
Pennsylvania	Пенсильвания
Petrarch	Франческо Петрарка
Giovanni Boccaccio	Джованни Боккаччо
Luigi Pirandello	Пиранделло, Луиджи
Uetersen	Итерзен
Auguste	Октавиан Август
Windows	Windows
Tiberius	Тиберий
New Jersey	Нью-Джерси
Caligula	Калигула
Indiana	Индиана
Fiarakodia	Автомобиль
Domitian	Домициан
Trajan	Траян
Roger Federer	Федерер, Роджер
Georgia (U.S. state)	Джорджия
Antoninus Pius	Антонин Пий
Marcus Aurelius	Марк Аврелий
Zagreb	Загреб
Rajasthan	Раджастхан
Texas	Техас
Tamil Nadu	Тамилнад
North Carolina	Северная Каролина
Karôlina Antsimo	Южная Каролина
Manille	Манила
Ferdinand Marcos	Маркос, Фердинанд
Quezon City	Кесон-Сити
Le Mans	Ле-Ман
Bordeaux	Бордо
Corazon Aquino	Акино, Корасон
Buenos Aires	Буэнос-Айрес
Mexico	Мехико
Tokyo	Токио
Barselona	Барселона
Mississippi	Миссисипи (штат)
Ferdinand Magellan	Магеллан, Фернан
Mississipi (renirano)	Миссисипи
Uttarakhand	Уттаракханд
Sikkim	Сикким
Tennessee	Теннесси
Richard Wagner	Вагнер, Рихард
Robert Louis Stevenson	Стивенсон, Роберт Льюис
Nagpur	Нагпур
Janis Joplin	Джоплин, Дженис
Abidjan	Абиджан
Astana	Астана
New Mexico	Нью-Мексико
Ramesses II	Рамсес II
Athens	Афины
Minnesota	Миннесота
Baghdad	Багдад
Wisconsin	Висконсин
Pune	Пуна
Cicero	Марк Туллий Цицерон
Iowa	Айова
Nebraska	Небраска
Kansas	Канзас
Havana	Гавана
Fiteny hindi	Хинди
Misoria	Миссури (штат)
Georg Ohm	Ом, Георг Симон
Louisiana	Луизиана
Luigi Galvani	Гальвани, Луиджи
Nagaland	Нагаленд
Kentucky	Кентукки
Arkansas	Арканзас
Neil Armstrong	Армстронг, Нил
Fiteny urdu	Урду
Charles Lindbergh	Линдберг, Чарльз
Sigfrid Edström	Эдстрём, Зигфрид
Édith Piaf	Пиаф, Эдит
Oklahoma	Оклахома
Jacques Brel	Брель, Жак
Jason Richardson	Ричардсон, Джейсон
Ranomasina Avaratra	Северное море
Serge Gainsbourg	Серж Генсбур
Madonna	Мадонна (певица)
Kaopenagy	Копенгаген
Stockholm	Стокгольм
Helsinki	Хельсинки
Reykjavík	Рейкьявик
Tallinn	Таллин
Riga	Рига
Louis Armstrong	Армстронг, Луи
Bratislava	Братислава
Budapest	Будапешт
Franckfort/Main	Франкфурт-на-Майне
Zinedine Zidane	Зидан, Зинедин
Laurent Blanc	Блан, Лоран
Katolisisma	Католицизм
Vaduz	Вадуц
Baiboly	Библия
Phnom Penh	Пномпень
Hô-Chi-Minh-Ville	Хошимин
Hanoi	Ханой
Tena Fiangonan'i Jesoa	Церковь истинного Иисуса
Fiteny anglisy	Английский язык
Bangkok	Бангкок
Andorra la Vella	Андорра-ла-Велья
Taipei	Тайбэй
Đồng Hới	Донгхой
Corentin Martins	Мартенс, Корентен
Concepción	Консепсьон (город, Чили)
Sabri Lamouchi	Лямуши, Сабри
Jürgen Locadia	Локадия, Юрген
Diplaomasia	Дипломатия
Memphis Depay	Депай, Мемфис
Kiev	Киев
Ontario	Онтарио
Hugo Lloris	Льорис, Уго
Mathieu Debuchy	Дебюши, Матьё
Adil Rami	Рами, Адиль
Yohan Cabaye	Кабай, Йоан
Olivier Giroud	Жиру, Оливье
Karim Benzema	Бензема, Карим
Florent Malouda	Малуда, Флоран
Laurent Koscielny	Косельни, Лоран
Patrice Évra	Эвра, Патрис
Philippe Mexès	Мексес, Филипп
Franck Ribéry	Рибери, Франк
Mathieu Valbuena	Вальбуэна, Матьё
Samir Nasri	Насри, Самир
Blaise Matuidi	Матюиди, Блез
Anthony Réveillère	Ревейер, Антони
Jérémy Ménez	Менез, Жереми
Steve Mandanda	Манданда, Стив
Yann M'Vila	М’Вила, Янн
Alou Diarra	Диарра, Алу
Marvin Martin	Мартен, Марвен
Hatem Ben Arfa	Бен Арфа, Хатем
Gaël Clichy	Клиши, Гаэль
Ottawa	Оттава
Cédric Carrasso	Каррассо, Седрик
Sidney Govou	Гову, Сидней
Éric Abidal	Абидаль, Эрик
Djibril Cissé	Сиссе, Джибриль
William Gallas	Галлас, Вильям
Bacary Sagna	Санья, Бакари
Nicolas Anelka	Анелька, Николя
André-Pierre Gignac	Жиньяк, Андре-Пьер
Sébastien Squillaci	Скиллачи, Себастьен
Abou Diaby	Диаби, Абу
Jérémy Toulalan	Тулалан, Жереми
Yerevan	Ереван
Hermann Maier	Майер, Херман
Końskowola	Коньсковоля
Dar es Salam	Дар-эс-Салам
Khartoum	Хартум
2006	2006 год
1900	1900 год
1901	1901 год
François Mitterrand	Миттеран, Франсуа
Titus Livius	Тит Ливий
Charles de Gaulle	Де Голль, Шарль
1902	1902 год
1903	1903 год
1904	1904 год
1905	1905 год
1907	1907 год
1906	1906 год
Seneca the Younger	Луций Анней Сенека
Juan Manuel Fangio	Фанхио, Хуан Мануэль
1914	1914 год
1915	1915 год
1997	1997 год
Sakafo	Пища
Jacques Chirac	Ширак, Жак
Valéry Giscard d'Estaing	Жискар д’Эстен, Валери
Halifax	Галифакс (Новая Шотландия)
Québec (tanàna)	Квебек (город)
1920	1920 год
Tacitus	Публий Корнелий Тацит
1921	1921 год
1922	1922 год
1923	1923 год
Lance Armstrong	Армстронг, Лэнс
1924	1924 год
Georges Pompidou	Помпиду, Жорж
6 Janoary	6 января
9 Janoary	9 января
10 Janoary	10 января
11 Janoary	11 января
13 Janoary	13 января
15 Janoary	15 января
Tom Hanks	Хэнкс, Том
17 Janoary	17 января
19 Janoary	19 января
23 Janoary	23 января
Empira Romana	Римская империя
25 Janoary	25 января
Minsk	Минск
26 Janoary	26 января
29 Janoary	29 января
30 Janoary	30 января
31 Janoary	31 января
Pink Floyd	Pink Floyd
Kurów	Курув
5 Febroary	5 февраля
7 Febroary	7 февраля
8 Febroary	8 февраля
9 Febroary	9 февраля
10 Febroary	10 февраля
Simia	Химия
Led Zeppelin	Led Zeppelin
14 Febroary	14 февраля
13 Febroary	13 февраля
15 Febroary	15 февраля
11 Febroary	11 февраля
12 Febroary	12 февраля
Robin van Persie	Ван Перси, Робин
23 Febroary	23 февраля
25 Febroary	25 февраля
27	27 год
12 Desambra	12 декабря
Civilization III	Sid Meier's Civilization III
Sid Meier's Civilization IV	Sid Meier's Civilization IV
4 Martsa	4 марта
21 Martsa	21 марта
1982	1982 год
Mogadishu	Могадишо
24 Martsa	24 марта
26 Martsa	26 марта
29 Martsa	29 марта
Sana'a	Сана
1972	1972 год
Tarawa	Тарава (атолл)
Konrad Adenauer	Аденауэр, Конрад
Benoît XVI	Бенедикт XVI
Ludwig Erhard	Эрхард, Людвиг
Kurt Georg Kiesinger	Кизингер, Курт Георг
Willy Brandt	Брандт, Вилли
Helmut Schmidt	Шмидт, Гельмут
Helmut Kohl	Коль, Гельмут
21 Aprily	21 апреля
Gerhard Schröder	Шрёдер, Герхард
1 Mey	1 мая
6 Mey	6 мая
13 Mey	13 мая
Messier 86	M 86 (галактика)
22 Mey	22 мая
25 Mey	25 мая
29 Mey	29 мая
31 Mey	31 мая
Matthew Vaughn	Вон, Мэттью
Paul McCartney	Маккартни, Пол
Erich Honecker	Хонеккер, Эрих
15 Jiona	15 июня
10 Jiona	10 июня
12 Jiona	12 июня
3 Jiona	3 июня
30 Jiona	30 июня
29 Jiona	29 июня
26 Jiona	26 июня
22 Jiona	22 июня
27 Jiona	27 июня
23 Desambra	23 декабря
Emperora Wilhelm II	Вильгельм II (германский император)
Arnold Schwarzenegger	Шварценеггер, Арнольд
12 Jolay	12 июля
10 Jolay	10 июля
9 Jolay	9 июля
14 Jolay	14 июля
8 Jolay	8 июля
7 Jolay	7 июля
6 Jolay	6 июля
4 Jolay	4 июля
1 Jolay	1 июля
11 Jolay	11 июля
Baolina kitra	Футбол
Louis de Funès	Фюнес, Луи де
Bourvil	Бурвиль
Jaroslav Hašek	Гашек, Ярослав
12 Aogositra	12 августа
10 Aogositra	10 августа
8 Aogositra	8 августа
9 Aogositra	9 августа
4 Aogositra	4 августа
2 Aogositra	2 августа
3 Aogositra	3 августа
1 Aogositra	1 августа
Brothers Grimm	Братья Гримм
IPad	IPad
Madrid	Мадрид
Elton John	Элтон Джон
16 Aogositra	16 августа
Coca-Cola	Кока-кола
25 Aogositra	25 августа
21 Aogositra	21 августа
24 Aogositra	24 августа
Michael Jackson	Джексон, Майкл
Gripa	Грипп
Bogotá	Богота
Brasília	Бразилиа
4 Septambra	4 сентября
1 Septambra	1 сентября
Lima	Лима
25 Septambra	25 сентября
Santiago	Сантьяго
24 Septambra	24 сентября
21 Septambra	21 сентября
Quito	Кито
Sucre	Сукре (город)
1 Oktobra	1 октября
15 Oktobra	15 октября
12 Oktobra	12 октября
10 Oktobra	10 октября
14 Oktobra	14 октября
9 Oktobra	9 октября
8 Oktobra	8 октября
13 Oktobra	13 октября
7 Oktobra	7 октября
11 Oktobra	11 октября
6 Oktobra	6 октября
4 Oktobra	4 октября
5 Oktobra	5 октября
3 Oktobra	3 октября
2 Oktobra	2 октября
Asunción	Асунсьон
22 Oktobra	22 октября
23 Oktobra	23 октября
20 Oktobra	20 октября
21 Oktobra	21 октября
19 Oktobra	19 октября
16 Oktobra	16 октября
9 Novambra	9 ноября
6 Novambra	6 ноября
4 Novambra	4 ноября
3 Novambra	3 ноября
2 Novambra	2 ноября
1 Novambra	1 ноября
Paramaribo	Парамарибо
22 Novambra	22 ноября
Charlemagne	Карл Великий
Loire-Atlantique	Атлантическая Луара
San José, Costa Rica	Сан-Хосе (Коста-Рика)
Ain	Эн (департамент)
Aisne	Эна (департамент)
Vosges	Вогезы (департамент)
San Salvador	Сан-Сальвадор
Allier	Алье
Canberra	Канберра
Jura (departemanta)	Юра (департамент)
Hautes-Alpes	Верхние Альпы
Alpes-de-Haute-Provence	Альпы Верхнего Прованса
Alpes-Maritimes	Приморские Альпы (департамент)
Archèche	Ардеш
Ardennes (departemanta)	Арденны (департамент)
Jackie Stewart	Стюарт, Джеки
Voankazavana	Фотон
Aveyron	Аверон
Valesa Atsimo Vaovao	Новый Южный Уэльс
Soson-drivotry ny tany	Атмосфера Земли
Tegucigalpa	Тегусигальпа
Bouches-du-Rhône	Буш-дю-Рон
Cantal	Канталь
Charente	Шаранта
Charente-Maritime	Приморская Шаранта
Cher (departemanta)	Шер (департамент)
Corrèze	Коррез
Haute-Corse	Верхняя Корсика
George Orwell	Джордж Оруэлл
Corse-du-Sud	Южная Корсика
Côte-d'Or	Кот-д’Ор
Creuse	Крёз (департамент)
Dordogne	Дордонь
Doubs	Ду (департамент)
Drôme	Дром (департамент)
Essonne	Эсон (департамент)
Eure	Эр (департамент)
Eure-et-Loir	Эр и Луар
Finistère	Финистер
Alpha Lyrae	Вега
Rabat	Рабат
Algiers	Алжир (город)
Tripoli	Триполи
Roanne	Роан
Emil Rilke	Рильке, Эмиль
Teheran	Тегеран
Addis Ababa	Аддис-Абеба
Jakarta	Джакарта
Asmara	Асмэра
N'Djamena	Нджамена
Dennis Lawrence	Лоуренс, Деннис
Riyadh	Эр-Рияд
Dakar	Дакар
Conakry	Конакри
Bissau	Бисау
Sokajy:Endrika	Категория:Википедия:Шаблоны
Praia	Прая
Accra	Аккра
Damaskosy	Дамаск
Yamoussoukro	Ямусукро
Quentin Tarantino	Тарантино, Квентин
Ouagadougou	Уагадугу
Freetown	Фритаун
Amazôna	Амазонка
Abuja	Абуджа
Porto-Novo	Порто-Ново
Amman	Амман
Malabo	Малабо
Libreville	Либревиль
Masqat	Маскат
Kinshasa	Киншаса
Bujumbura	Бужумбура
Nicosia	Никосия
Kigali	Кигали
Doha	Доха
Dodoma	Додома
Nairobi	Найроби
Lilongwe	Лилонгве
Lusaka	Лусака
Manama	Манама
Maputo	Мапуту
Kampala	Кампала
Luanda	Луанда
Mbabane	Мбабане
Maseru	Масеру
Antananarivo	Антананариву
Kalimantan Andrefana	Западный Калимантан
Oniversite	Университет
Gaborone	Габороне
Harare	Хараре
Grace Kelly	Келли, Грейс
Port Louis	Порт-Луи
São Tomé	Сан-Томе (город)
Windhoek	Виндхук
Kinta-mazavabe	Сверхновая звезда
Victoria, Seychelles	Виктория (Сейшельские острова)
Trano	Жилище
Hardware	Аппаратное обеспечение
Aljebra	Алгебра
Renirano	Река
Osasco	Озаску
Eschweiler	Эшвайлер
Franciszek Smuda	Смуда, Францишек
Seranam-piaramanidina Dong Hoi	Донгхой (аэропорт)
Habakabaka	Космическое пространство
Bernard Lacombe	Лякомб, Бернар
Michel Platini	Платини, Мишель
Pierre Abélard	Пьер Абеляр
Chrétien de Troyes	Кретьен де Труа
Curitiba	Куритиба
Faure Gnassingbé	Гнассингбе, Фор Эссозимна
Ala	Лес
Kapila mangirana	Жёсткий диск
Emily Dickinson	Дикинсон, Эмили
Franz Beckenbauer	Беккенбауэр, Франц
Joachim Löw	Лёв, Йоахим
Soltaniyeh	Сольтание
Sean Connery	Коннери, Шон
Anne Frank	Франк, Анна
Ariary	Малагасийский ариари
Raúl Albiol	Альбиоль, Рауль
Confucius	Конфуций
Sarah Bernhardt	Бернар, Сара
Marlene Dietrich	Дитрих, Марлен
Marilyn Monroe	Мэрилин Монро
Corbin Bleu	Блю, Корбин
Sokajy:Matematika	Категория:Математика
Mohamed Morsi	Мурси, Мухаммед
Barbra Streisand	Стрейзанд, Барбра
Endrika:Country data Iran	Шаблон:Флагификация/Иран
NGC 4594	Сомбреро (галактика)
NGC 4258	M 106 (галактика)
Andre de Kruijff	Де Крёйфф, Андре
Claude Debussy	Дебюсси, Клод
Le Corbusier	Ле Корбюзье
