Aafrika	Африка
Metabolism	Обмен веществ
Narendra Modi	Моди, Нарендра
Immuunsüsteem	Иммунная система
Gujarat	Гуджарат
Ontario järv	Онтарио (озеро)
Evolutsioon	Эволюция
Ühinenud Rahvaste Organisatsioon	Организация Объединённых Наций
Ülemjärv	Верхнее (озеро)
Dante Alighieri	Данте Алигьери
Geoloogia	Геология
Ahmadabad	Ахмадабад
Geograafia	География
Süda	Сердце
Peaaju	Головной мозг
Nahk	Кожа
Värvus	Цвет
Star Trek (sari)	Звёздный путь: Оригинальный сериал
Halvale teele	Во все тяжкие
Nimisõna	Имя существительное
Praha	Прага
Ruteenium	Рутений
Roodium	Родий
Sinine	Синий цвет
Pallaadium	Палладий
Hõbe	Серебро
Kaadmium	Кадмий
Star Trek	Звёздный путь
Limburgi provints (Holland)	Лимбург (Нидерланды)
Indium	Индий
Limburgi provints (Belgia)	Лимбург (провинция Бельгии)
Tina	Олово
Uraan	Уран (элемент)
Antimon	Сурьма
Telluur	Теллур
Põhja-Brabant	Северный Брабант
Plutoonium	Плутоний
Jood	Иод
Hemer	Хемер
Neptuunium	Нептуний
Ksenoon	Ксенон
Anime	Аниме
Tseesium	Цезий
Protaktiinium	Протактиний
Elektrilaeng	Электрический заряд
Baarium	Барий
Lääne-Flandria provints	Западная Фландрия
Ida-Flandria	Восточная Фландрия
Toorium	Торий
Antwerpeni provints	Антверпен (провинция)
Flaami Brabant	Фламандский Брабант
Hafnium	Гафний
Aktiinium	Актиний
Vallooni Brabant	Валлонский Брабант
Tantaal	Тантал (элемент)
Bill Clinton	Клинтон, Билл
Namuri provints	Намюр (провинция)
Luxembourg'i provints	Люксембург (провинция Бельгии)
Liège'i provints	Льеж (провинция)
Raadium	Радий
Hainaut	Эно
Iserlohn	Изерлон
Ahlen	Ален (Северный Рейн-Вестфалия)
Radoon	Радон
Lorraine	Лотарингия
Alsace	Эльзас
Jean-Philippe Rameau	Рамо, Жан-Филипп
Indira Gandhi	Ганди, Индира
Mercurius	Меркурий (мифология)
Hector Berlioz	Берлиоз, Гектор
Auvergne	Овернь
Busto Arsizio	Бусто-Арсицио
Mumbai	Мумбаи
IAAF	Международная ассоциация легкоатлетических федераций
Andhra Pradesh	Андхра-Прадеш
Limburg	Лимбург
Arunachal Pradesh	Аруначал-Прадеш
Assam	Ассам
Bihar	Бихар
Michigan	Мичиган
Chhattisgarh	Чхаттисгарх
Michigani järv	Мичиган (озеро)
Goa osariik	Гоа
Burgundia	Бургундия
Haryana	Харьяна
Himachal Pradesh	Химачал-Прадеш
Maurice Ravel	Равель, Морис
Akvitaania	Аквитания (регион)
Jammu ja Kashmir	Джамму и Кашмир
Puerto Rico	Пуэрто-Рико
Jharkhand	Джаркханд
Karnataka	Карнатака
Kerala	Керала
Madhya Pradesh	Мадхья-Прадеш
Usain Bolt	Болт, Усэйн
Limousin	Лимузен (регион)
Maharashtra	Махараштра
Jean-Baptiste Lully	Люлли, Жан-Батист
Manipur	Манипур
Schleswig-Holstein	Шлезвиг-Гольштейн
Meghalaya	Мегхалая
Mecklenburg-Vorpommern	Мекленбург-Передняя Померания
Alam-Saksi	Нижняя Саксония
Nordrhein-Westfalen	Северный Рейн-Вестфалия
Hessen	Гессен
Rheinland-Pfalz	Рейнланд-Пфальц
Saarimaa	Саар
Saksimaa	Саксония (земля)
John Lennon	Леннон, Джон
Illinois	Иллинойс
Tüüringi	Тюрингия
Saksi-Anhalt	Саксония-Анхальт
Põhja-Dakota	Северная Дакота
Brandenburg	Бранденбург
Bremeni liidumaa	Бремен (земля)
Lombardia	Ломбардия
Lõuna-Dakota	Южная Дакота
Montana	Монтана
Wyoming	Вайоминг
Straight edge	Straight edge
Piemonte	Пьемонт
Jeruusalemm	Иерусалим
Giorgio Napolitano	Наполитано, Джорджо
Idaho	Айдахо
Valle d'Aosta	Валле-д’Аоста
Washingtoni osariik	Вашингтон (штат)
Carlo Azeglio Ciampi	Чампи, Карло Адзельо
Bruce Springsteen	Спрингстин, Брюс
Rutherfordium	Резерфордий
Nevada	Невада
Oscar Luigi Scalfaro	Скальфаро, Оскар Луиджи
Don	Дон
Francesco Cossiga	Коссига, Франческо
Dubnium	Дубний
Seaborgium	Сиборгий
Trentino-Alto Adige	Трентино — Альто-Адидже
India ookean	Индийский океан
Veneto	Венето
Kosovo	Республика Косово
Kariibi meri	Карибское море
Bohrium	Борий
Friuli-Venezia Giulia	Фриули-Венеция-Джулия
Cotti Alpid	Котские Альпы
Hassium	Хассий
Ban Ki-moon	Пан Ги Мун
Kofi Annan	Аннан, Кофи
Liguuria	Лигурия
Boutros Boutros-Ghali	Бутрос-Гали, Бутрос
Meitneerium	Мейтнерий
Kurt Waldheim	Вальдхайм, Курт
Colorado	Колорадо
Emilia Romagna	Эмилия-Романья
U Thant	У Тан
Colorado jõgi	Колорадо (река)
Darmstadtium	Дармштадтий
Dag Hammarskjöld	Хаммаршёльд, Даг
Frédéric Chopin	Шопен, Фредерик
Penniini Alpid	Пеннинские Альпы
