افریقہ	Африка
ڈیگو ولازکوئز	Веласкес, Диего
چلی	Чили
ایل گریکو	Эль Греко
عیسیٰ علیہ السلام	Иисус Христос
ایلوس پریسلے	Пресли, Элвис
جسمانی سزا	Телесные наказания
گلیلیو گلیلی	Галилей, Галилео
عطارد	Меркурий
تاریخ	История
ایپل انکارپوریشن	Apple
زہرہ	Венера
لسان	Язык
محبت	Любовь
آمریت	Диктатура
کہکشاں	Галактика
مشتری	Юпитер
مشیل باشیلے	Бачелет, Мишель
جادہ شیر	Млечный Путь
انفجار عظیم	Большой взрыв
یورینس	Уран (планета)
برٹنی	Бретань (историческая область)
انگریزی ویکیپیڈیا	Английская Википедия
نکولس سرکوزی	Саркози, Николя
نیپچون	Нептун
فلکیات	Астрономия
سنگاپور	Сингапур
سائنس	Наука
علم الکائنات	Космология
پلوٹو	Плутон
مانٹریال	Монреаль
آزاد سوفٹویئر	Свободное программное обеспечение
لا فلیشی	Ла-Флеш
مستقبل	Будущее
مریم علیہا السلام	Богородица
لیختینستائن	Лихтенштейн
کھیل کود	Спорт
کیمبرج	Кембридж
ییلوسٹون نیشنل پارک	Йеллоустон
ہٹلر	Гитлер, Адольф
فیس بک	Facebook
گوگل+	Google+
گوانتانمو قید خانہ	Тюрьма в Гуантанамо
ویکی لیکس	WikiLeaks
جولین اسانژ	Ассанж, Джулиан
پہلی جنگ عظیم	Первая мировая война
دوسری جنگ عظیم	Вторая мировая война
کولون (علاقہ)	Кёльн
سیاسی بدعنوانی	Коррупция
آگسٹو پنوشے	Пиночет, Аугусто
ویکی اقتباسات	Викицитатник
ویکی سفرنامہ	Викигид
گھنٹا	Часы
اوبنٹو	Ubuntu
اسکوپیہ	Скопье
لینکس	Linux
پیمائشیات	Метрология
ریاضی	Математика
لاطینی زبان	Латинский язык
بحرین	Бахрейн
آرمینیا	Армения
خط میخنی	Клинопись
ہگ بوسون	Бозон Хиггса
سربیا	Сербия
چاند	Луна
استنبول	Стамбул
لنڈا لولیس	Лавлейс, Линда
آسٹریلیا	Австралия
کارل ساگان	Саган, Карл
حیاتیات خلا	Астробиология
طبیعیات	Физика
ارجنٹائن	Аргентина
بعید ابلاغیات	Электросвязь
پیرو	Перу
حیاتیات	Биология
شمالی کوریا	Корейская Народно-Демократическая Республика
کمبوڈیا	Камбоджа
قرآن	Коран
حیوان المہیب	Динозавры
حیوانیات	Зоология
اسلام	Ислам
ناشپاتی	Груша
کتب خانہ اسکندریہ	Александрийская библиотека
لیوبلیانا	Любляна
نباتیات	Ботаника
لیخ فاوینسا	Валенса, Лех
پہیہ	Колесо
عقل	Ум
امن	Мир (отсутствие войны)
دائرۃ المعارف بریطانیکا	Энциклопедия Британника
لیون	Лион
یورپی اتحاد	Европейский союз
پلوودیف	Пловдив
حبالہ محیط عالم (مقالہ ثانی)	Всемирная паутина
عورت	Женщина
صوفیہ	София
ڈان کے خوتے	Дон Кихот (роман)
نظم	Поэзия
کمپیوٹر وائرس	Компьютерный вирус
ہیروشیما اور ناگاساکی میں ایٹمی بمباری	Атомные бомбардировки Хиросимы и Нагасаки
میلان	Милан
دوستی	Дружба
تورینو	Турин
براز	Кал
مقعد	Анус
بغل	Подмышка
لیموں	Лимон
کیلا	Банан
666ء	666 год
پھول	Цветок
ماریانا ٹرینچ	Марианский жёлоб
ولادیمیر ویسوٹسکی	Высоцкий, Владимир Семёнович
ماؤنٹ ایورسٹ	Джомолунгма
تشریح (حیاتیات)	Анатомия
شہر	Город
نپولین	Наполеон I
فعلیات	Физиология
ستارہ	Звезда
سورج	Солнце
آسمان	Небо
لوئی پاسچر	Пастер, Луи
نوری سال	Световой год
گاؤں	Село
وکٹر ہیوگو	Гюго, Виктор
اوقیانوسیہ	Океания
گیریبالڈی	Гарибальди, Джузеппе
ارویتو	Орвието
ایتھلیٹکس	Лёгкая атлетика
نظام شمسی	Солнечная система
بحیرہ بالٹک	Балтийское море
تریستے	Триест
شانزے لیزے	Елисейские Поля
دانت	Зуб (биология)
ہائیڈروجن	Водород
ہیلیئم	Гелий
ویکیمیڈیا العام	Викисклад
انگیلا میرکل	Меркель, Ангела
لیتھیئم	Литий
بلوصر	Бериллий
بلندگو	Громкоговоритель
کتاب	Книга
دن	Сутки
مشرقی تیمور	Восточный Тимор
رات	Ночь
سال	Год
خط الوقت	Век
ویوربن	Вийёрбан
مونٹ بلانک	Монблан
دریائے رائن	Рейн
اوسلو	Осло
بون	Бонн
کاتوویتس	Катовице
ثقب اسود	Чёрная дыра
مسدومی	Гей
لزبن	Лиссабон
ایچیرو سوزوکی	Судзуки, Итиро
دریائے رون	Рона
دبئی	Дубай (эмират)
لیونل میسی	Месси, Лионель
نکولس کوپرنیکس	Коперник, Николай
کاربن	Углерод
دریائے وولگا	Волга
نائٹروجن	Азот
بیرگامو	Бергамо
آکسیجن	Кислород
سیارہ	Планета
قلوپطرہ	Клеопатра
موسیقی	Музыка
وینس	Венеция
دریائے پو	По (река)
شرم الشیخ	Шарм-эш-Шейх
حر پیما	Термометр
رین	Ренн
لیل	Лилль
ماسکو	Москва
اطالوی زبان	Итальянский язык
نیون	Неон
چہواہوا	Чиуауа
سینٹ پیٹرز برگ	Санкт-Петербург
چاڈ	Чад
سوڈیم	Натрий
شمال	Север
ایلومینیم	Алюминий
نیوزی لینڈ	Новая Зеландия
جنوب	Юг
بھارت	Индия
فرانسیئم	Франций
تووالو	Тувалу
فاسفورس	Фосфор
نثر	Проза
لوہا	Железо
ٹونگا	Тонга
مغرب-سمت	Запад
گندھک	Сера
سامووا	Самоа
مشرق	Восток
جزائر سلیمان	Соломоновы Острова
وانواتو	Вануату
مولیر	Мольер
پاپوا نیو گنی	Папуа — Новая Гвинея
ولیم شیکسپیئر	Шекспир, Уильям
پلاؤ	Палау
ناورو	Науру
موزیلا فائرفاکس	Mozilla Firefox
پوٹاشیم	Калий
زی لینڈ	Зеландия (провинция)
کیلشیم	Кальций
سیسہ	Свинец
جزائر مارشل	Маршалловы Острова
کیریباتی	Кирибати
منگولیا	Монголия
فجی	Фиджи
اسکینصر	Скандий
وینیزویلا	Венесуэла
شطرنج	Шахматы
سگینؤ، مشی گن	Сагино (Мичиган)
چنگیز خان	Чингисхан
مینے	Мэн (штат)
گھوڑا	Домашняя лошадь
ایمسٹرڈیم	Амстердам
اسلحہ	Оружие
جانور	Животные
سرینام	Суринам
پیراگوئے	Парагвай
گیانا	Гайана
فن	Искусство
ایکواڈور	Эквадор
رہینیئم	Рений
کولمبیا	Колумбия
کوبالٹ	Кобальт
ٹنگسٹن	Вольфрам
Nickel	Никель
بدھ مت	Буддизм
بولیویا	Боливия
Osmium	Осмий
تانبا	Медь
نباتات	Растения
سینٹ وینسینٹ و گریناڈائنز	Сент-Винсент и Гренадины
جست	Цинк
نیو ہیمپشائر	Нью-Гэмпшир
سینٹ لوسیا	Сент-Люсия
لیونارڈو ڈا ونچی	Леонардо да Винчи
سینٹ کیٹز و ناویس	Сент-Китс и Невис
پھپھوند	Грибы
ڈاریو فو	Фо, Дарио
جمیکا	Ямайка
گریناڈا	Гренада
میساچوسٹس	Массачусетс
گوئٹے مالا	Гватемала
گوگل کروم	Google Chrome
بہاماس	Багамские Острова
کنیکٹیکٹ	Коннектикут
مرغی	Курица
اینٹیگوا و باربوڈا	Антигуа и Барбуда
ہوائی	Гавайи
ہونڈوراس	Гондурас
ڈومینیکا	Доминика
جرزی	Джерси (остров)
جمہوریہ ڈومینیکن	Доминиканская Республика
سؤر	Домашняя свинья
بحر منجمد شمالی	Северный Ледовитый океан
ہیٹی	Республика Гаити
ایل سیلواڈور	Сальвадор
ایران	Иран
عراق	Ирак
الاسکا	Аляска
دانائی	Мудрость
کوسٹاریکا	Коста-Рика
اسرائیل	Израиль
پاناما	Панама
یمن	Йемен
لوزان	Лозанна
حُمہ	Вирусы
اردن	Иордания
نکاراگوا	Никарагуа
فلوریڈا	Флорида
کرغیزستان	Киргизия
ایریزونا	Аризона
کویت	Кувейт
لاؤس	Лаос
لبنان	Ливан
اوریگون	Орегон
مالدیپ	Мальдивы
امریکین	Америка
یوٹاہ	Юта
گائے	Корова
ملائیشیا	Малайзия
میانمار	Мьянма
نیپال	Непал
سلطنت عمان	Оман
پاکستان	Пакистан
جیمز بانڈ	Джеймс Бонд
قطر	Катар
ٹینس	Теннис
سعودی عرب	Саудовская Аравия
سری لنکا	Шри-Ланка
جوزف استالن	Сталин, Иосиф Виссарионович
شام	Сирия
افلاطون	Платон
جوزف برودسکی	Бродский, Иосиф Александрович
تاجکستان	Таджикистан
پوکیمون	Покемон
جمہوریۂ چین	Китайская Республика
یوٹیوب	YouTube
جرمانیئم	Германий
ارسطو	Аристотель
تھائی لینڈ	Таиланд
ریل گاڑی	Поезд
زرنیخ	Мышьяк
مشعہ	Радио
ترکمانستان	Туркмения
اباکان	Абакан
Iridium	Иридий
متحدہ عرب امارات	Объединённые Арабские Эмираты
پلاٹینیم	Платина
ویتنام	Вьетнам
چارلی چیپلن	Чаплин, Чарльз
نووسیبیرسک	Новосибирск
جنوبی کوریا	Республика Корея
دا سمپسنز	Симпсоны
یاکاٹرنبرگ	Екатеринбург
افغانستان	Афганистан
گانگنام اسٹائل	Gangnam Style
نزہنی نووگورود	Нижний Новгород
جان رونالڈ روئل ٹولکین	Толкин, Джон Рональд Руэл
سمارا، روس	Самара
سونا	Золото
اومسک	Омск
نہر سوئز	Суэцкий канал
قازان	Казань
سائنسدان	Учёный
بنگلہ دیش	Бангладеш
فرانز کافکا	Кафка, Франц
چیلیابنسک	Челябинск
روستوف-نا-دونو	Ростов-на-Дону
جارج لوئی بورگیس	Борхес, Хорхе Луис
اوفا	Уфа
مالی	Мали
سقراط	Сократ
وولگو گراد	Волгоград
انگولہ	Ангола
پیرم	Пермь
بھوٹان	Бутан
ٹویٹر	Твиттер
کراسنویارسک	Красноярск
برونائی دار السلام	Бруней
تنزانیہ	Танзания
پارہ	Ртуть
روآل آمونسن	Амундсен, Руаль
فلپائن	Филиппины
وسطی افریقی جمہوریہ	Центральноафриканская Республика
تھیلیئم	Таллий
قطب جنوبی	Южный полюс
قطب شمالی	Северный полюс
آئزک نیوٹن	Ньютон, Исаак
البرٹ آئنسٹائن	Эйнштейн, Альберт
بسمیتھ	Висмут
پیلا	Жёлтый цвет
کوانٹم میکانکس	Квантовая механика
ٹوگو	Того
تونس	Тунис
زیمبیا	Замбия
زمبابوے	Зимбабве
بیجنگ	Пекин
جنوبی سوڈان	Южный Судан
ولادیوستوک	Владивосток
تووا	Тыва
بینن	Бенин
بوٹسوانا	Ботсвана
برکینا فاسو	Буркина-Фасо
برونڈی	Бурунди
اتحاد القمری	Коморы
جمہوریہ کانگو	Республика Конго
جمہوری جمہوریہ کانگو	Демократическая Республика Конго
سان انٹونیو	Сан-Антонио
ٹومسک	Томск
جبوتی	Джибути
پولونیئم	Полоний
بواریا	Бавария
استوائی گنی	Экваториальная Гвинея
بادن-وورتمبرگ	Баден-Вюртемберг
اریتریا	Эритрея
نئی دہلی	Нью-Дели
فیودر دوستوئیفسکی	Достоевский, Фёдор Михайлович
جزیرہ نما کامچاٹکا	Камчатка
تبلیسی	Тбилиси
عیسٹاٹین	Астат
گیبون	Габон
موہن داس گاندھی	Махатма Ганди
کامکس	Комикс
گیمبیا	Гамбия
جمہوریہ گنی	Гвинея
گنی بساؤ	Гвинея-Бисау
کوت داوواغ	Кот-д’Ивуар
کیمرون	Камерун
کیپ ورڈی	Кабо-Верде
لیسوتھو	Лесото
لائبیریا	Либерия
لیبیا	Ливия
آچن	Ахен
مڈغاسکر	Мадагаскар
ملاوی	Малави
شٹوٹگارٹ	Штутгарт
موریتانیہ	Мавритания
مراکش	Марокко
موزمبیق	Мозамбик
نمیبیا	Намибия
نائجر	Нигер
نائجیریا	Нигерия
ڈارون	Дарвин, Чарлз
یوگنڈا	Уганда
روانڈا	Руанда
ساؤ ٹومے و پرنسپے	Сан-Томе и Принсипи
سینیگال	Сенегал
سیچیلیس	Сейшельские Острова
لنی اس	Линней, Карл
سیرالیون	Сьерра-Леоне
صومالیہ	Сомали
جواہر لعل نہرو	Неру, Джавахарлал
جولیس سیزر	Гай Юлий Цезарь
سوڈان	Судан
سوازی لینڈ	Свазиленд
دھنک	Радуга
ہامبرگ	Гамбург
استِقلاب	Обмен веществ
نریندر مودی	Моди, Нарендра
مناعی نظام	Иммунная система
گجرات (بھارت)	Гуджарат
جھیل انٹاریو	Онтарио (озеро)
نظریۂ ارتقا	Эволюция
اقوام متحدہ	Организация Объединённых Наций
جھیل سپیریئر	Верхнее (озеро)
دانتے الیگیری	Данте Алигьери
ارضیات	Геология
احمد آباد	Ахмадабад
جغرافیہ	География
قلب	Сердце
دماغ	Головной мозг
جلد	Кожа
رنگ	Цвет
اسم	Имя существительное
پراگ	Прага
نیلا	Синий цвет
چاندی	Серебро
کیڈمیئم	Кадмий
قلع	Олово
یورینیئم	Уран (элемент)
کحل	Сурьма
شمالی برابانٹ	Северный Брабант
پلوٹونیئم	Плутоний
آیوڈین	Иод
نیپچونیئم	Нептуний
زینون	Ксенон
اینیمے	Аниме
سیزیئم	Цезий
Protactinium	Протактиний
برقی بار	Электрический заряд
بیریئم	Барий
Thorium	Торий
ہفنیئم	Гафний
عیکٹنیئم	Актиний
Tantalum	Тантал (элемент)
بل کلنٹن	Клинтон, Билл
لکسمبرگ (بیلجیم)	Люксембург (провинция Бельгии)
ریڈیم	Радий
اہلن	Ален (Северный Рейн-Вестфалия)
ریڈون	Радон
اندرا گاندھی	Ганди, Индира
ہیکٹر برلیوز	Берлиоз, Гектор
جمنگر	Джамнагар
ممبئی	Мумбаи
آندھرا پردیش	Андхра-Прадеш
اروناچل پردیش	Аруначал-Прадеш
آسام	Ассам
بہار (بھارت)	Бихар
مشی گن	Мичиган
چھتیس گڑھ	Чхаттисгарх
جھیل مشی گن	Мичиган (озеро)
گوا	Гоа
ہریانہ	Харьяна
ہماچل پردیش	Химачал-Прадеш
جموں و کشمیر	Джамму и Кашмир
پورٹو ریکو	Пуэрто-Рико
جھاڑکھنڈ	Джаркханд
کرناٹک	Карнатака
کیرلا	Керала
مدھیہ پردیش	Мадхья-Прадеш
یوسین بولٹ	Болт, Усэйн
مہاراشٹر	Махараштра
منی پور	Манипур
شلسویگ-ہولشتائن	Шлезвиг-Гольштейн
میگھالیہ	Мегхалая
مکلنبرگ-ورپورمرن	Мекленбург-Передняя Померания
نیدرزاکسن	Нижняя Саксония
نوردرائن-ویسٹ فالیا	Северный Рейн-Вестфалия
ہیسے	Гессен
رائنلینڈ-پالاتینات	Рейнланд-Пфальц
سارلینڈ	Саар
زاکسن	Саксония (земля)
الینوائے	Иллинойс
تورینگن	Тюрингия
زاکسن-آنہالت	Саксония-Анхальт
شمالی ڈکوٹا	Северная Дакота
برندنبرگ	Бранденбург
برمن (ریاست)	Бремен (земля)
لومباردیہ	Ломбардия
جنوبی ڈکوٹا	Южная Дакота
مونٹانا	Монтана
وائیومنگ	Вайоминг
پیعیمونتے	Пьемонт
یروشلم	Иерусалим
ایڈاہو	Айдахо
وادی آوستہ	Валле-д’Аоста
ریاست واشنگٹن	Вашингтон (штат)
ردرفورڈیئم	Резерфордий
نیواڈا	Невада
ڈبنئیم	Дубний
سیبورگئیم	Сиборгий
ترینتینو جنوبی ٹائرول	Трентино — Альто-Адидже
بحر ہند	Индийский океан
وینیتو	Венето
بحیرہ کیریبین	Карибское море
بورئیم	Борий
فریولی وینیزیا جولیا	Фриули-Венеция-Джулия
ہاسیئم	Хассий
بان کی مون	Пан Ги Мун
کوفی عنان	Аннан, Кофи
لیگوریا	Лигурия
Meitnerium	Мейтнерий
کرٹ والڈہائیم	Вальдхайм, Курт
کولوراڈو	Колорадо
ایمیلیا رومانیا	Эмилия-Романья
اوتھاں	У Тан
دریائے کولوراڈو	Колорадо (река)
ڈارمسٹادیئم	Дармштадтий
فریڈرک شوپن	Шопен, Фредерик
روٹجینیم	Рентгений
تسکانہ	Тоскана
مارکے	Марке
امبریا	Умбрия
زمرہ:محتویات	Категория:Всё
لازیو	Лацио
آبروزو	Абруццо
الپس	Альпы
گرونوبل	Гренобль
پاسکل	Паскаль, Блез
برون	Брон
ڈرافٹس	Шашки
شکاگو, الینوائے	Чикаго
بیٹلز	The Beatles
کومو	Комо
ماستریخت	Маастрихт
موسم سرما	Зима
بہار	Весна
موسم گرما	Лето
خزاں	Осень
صدام حسین	Саддам Хусейн
اسامہ بن لادن	Усама бен Ладен
ہسپانوی زبان	Испанский язык
مونٹیویڈیو	Монтевидео
جوہن باخ	Бах, Иоганн Себастьян
انتونیو ویوالدی	Вивальди, Антонио
تولیاتی	Тольятти
اوپرا	Опера
فلاڈیلفیا, پنسلوانیا	Филадельфия
کولکاتہ	Калькутта
چینائی	Ченнаи
دلی	Дели
ڈھاکہ	Дакка
بنگلور	Бангалор
مغربی بنگال	Западная Бенгалия
مکڑی	Пауки
مفصلی پایہ	Членистоногие
حیدرآباد، دکن	Хайдарабад (Индия)
اسلام آباد	Исламабад
تری پورہ	Трипура
پھل	Плод
زر	Деньги
ورجینیا	Виргиния
مغربی ورجینیا	Западная Виргиния
میٹرہارن	Маттерхорн
جھیل ہیورون	Гурон
نیویارک	Нью-Йорк (штат)
سیریئم	Церий
Praseodymium	Празеодим
رہوڈ آئی لینڈ	Род-Айленд
Neodymium	Неодим
حشرات	Насекомые
میری لینڈ	Мэриленд
ڈیلاویئر	Делавэр
ولادیمیر لینن	Ленин, Владимир Ильич
یوروپیئم	Европий
اوہائیو	Огайо
ورجل	Вергилий
نکولو مکیاویلی	Макиавелли, Никколо
پنسلوانیا	Пенсильвания
بوکاچیو	Джованни Боккаччо
لیوگی پیرنڈیلو	Пиранделло, Луиджи
یوٹرسن	Итерзен
آگسٹس	Октавиан Август
مائیکروسافٹ ونڈوز	Windows
نیو جرسی	Нью-Джерси
جبل الطارق	Гибралтар
نیرو	Нерон
انڈیانا	Индиана
نوکیا	Nokia
خودمتحرک	Автомобиль
ٹائٹس	Тит (римский император)
جووینٹیس	Ювентус
روجر فیڈرر	Федерер, Роджер
جارجیا (امریکی ریاست)	Джорджия
زغرب	Загреб
راجستھان	Раджастхан
کمپانیہ	Кампания (Италия)
ٹیکساس	Техас
مولیزے	Молизе
تامل ناڈو	Тамилнад
پلیہ	Апулия
جینوا (اٹلی)	Генуя
بازیلیکاتا	Базиликата
شمالی کیرولینا	Северная Каролина
فیلڈ ہاکی	Хоккей на траве
جنوبی کیرولینا	Южная Каролина
کلابریا	Калабрия
صقلیہ	Сицилия
منیلا	Манила
ساردینیا	Сардиния
سیبو شہر	Себу (город)
دریائے سین	Сена
داوائو شہر	Давао
کویزون سٹی	Кесон-Сити
لو مان	Ле-Ман
کالوکان	Калоокан
بورڈو	Бордо
کوریزون اکینو	Акино, Корасон
بیونس آئرس	Буэнос-Айрес
میکسیکو شہر	Мехико
توکیو	Токио
لا پاز	Ла-Пас (Боливия)
برشلونہ	Барселона
انناس	Ананас крупнохохолковый
مسیسپی	Миссисипи (штат)
فرڈیننڈ میگلان	Магеллан, Фернан
دریائے مسیسپی	Миссисипи
اتر پردیش	Уттар-Прадеш
اتراکھنڈ	Уттаракханд
میزورم	Мизорам
سکم	Сикким
پیٹاگونیا	Патагония
مکاتی	Макати
ٹینیسی	Теннесси
رچرڈ واگنر	Вагнер, Рихард
ناگپور	Нагпур
آبدجان	Абиджан
ابوظہبی (شہر)	Абу-Даби
آستانہ	Астана
نیو میکسیکو	Нью-Мексико
رمسيس ثانی	Рамсес II
ایتھنز	Афины
مینیسوٹا	Миннесота
بغداد	Багдад
کراکس	Каракас
متناسق عالمی وقت	Всемирное координированное время
وسکونسن	Висконсин
پونہ	Пуна
آئیووا	Айова
آمپلیپوئی	Амплепуис
نیبراسکا	Небраска
گوئٹے مالا شہر	Гватемала (город)
کنساس	Канзас
ہوانا	Гавана
تمباکو	Табак (вещество)
ہندی زبان	Хинди
مراٹھی زبان	Маратхи (язык)
آواسٹ	Avast!
گنیش	Ганеша
مسوری	Миссури (штат)
جارج سائمن اوہم	Ом, Георг Симон
لوزیانا	Луизиана
ناگالینڈ	Нагаленд
کینٹکی	Кентукки
آرکنساس	Арканзас
نیل آرمسٹرانگ	Армстронг, Нил
اردو	Урду
پاسیگ	Пасиг
زامبوانگا شہر	Замбоанга
ایڈتھ پیاف	Пиаф, Эдит
انتیپولو	Антиполо
تاگیوگ	Тагиг
ایلب	Эльба (река)
کاگیان دی اورو	Кагаян-де-Оро
اوکلاہوما	Оклахома
دریائے ڈینیوب	Дунай
بحیرہ شمال	Северное море
لیگازپی، البائی	Легаспи (город)
ماسکو اوبلاست	Московская область
ایزابیلا، باسیلان	Исабела (город)
ہینور	Ганновер
ڈسلڈورف	Дюссельдорф
باتھانگاس شہر	Батангас
ساربرکن	Саарбрюккен
میونخ	Мюнхен
سمارا اوبلاست	Самарская область
والی بال	Волейбол
انسبروک	Инсбрук
بریگنز	Брегенц
ویانا	Вена
میڈونا	Мадонна (певица)
کوپن ہیگن	Копенгаген
کیلننگراڈ اوبلاست	Калининградская область
سٹاکہوم	Стокгольм
ہلسنکی	Хельсинки
مورمانسک اوبلاست	Мурманская область
ڈبلن	Дублин
مورمانسک	Мурманск
ریکیاوک	Рейкьявик
ٹالن	Таллин
ریگا	Рига
زنجبار	Занзибар (автономия)
لوئی آرمسٹرانگ	Армстронг, Луи
براٹیسلاوا	Братислава
بوداپست	Будапешт
فرینکفرٹ	Франкфурт-на-Майне
وراتسواف	Вроцлав
کوچی	Коччи
مکتوم	Лантан
Promethium	Прометий
فلکیاتی اکائی	Астрономическая единица
سین-تروپے	Сен-Тропе
سمارئیم	Самарий
باگیؤ	Багио
آچے	Ачех (провинция)
تاگبیلاران	Тагбиларан
کیلننگراڈ	Калининград
