Aprika	Африка
Sean Connery	Коннери, Шон
Kongzi	Конфуций
Corbin Bleu	Блю, Корбин
Grup:Ol matematik	Категория:Математика
Templet:Country data Iran	Шаблон:Флагификация/Иран
Euro	Евро
Jason Lee	Ли, Джейсон Майкл
Lotu Kristen	Христианство
Kontinen	Континент
Kapitol	Столица
Monzón	Монсон
Mun (taim)	Месяц
1948	1948 год
1949	1949 год
Almazán	Альмасан
1956	1956 год
1941	1941 год
1945	1945 год
1958	1958 год
1926	1926 год
1947	1947 год
1944	1944 год
1952	1952 год
Tokples Siapan	Японский язык
Ensaiklopedia	Энциклопедия
Fran pes	Заглавная страница
1959	1959 год
1957	1957 год
Frank Lloyd Wright	Райт, Фрэнк Ллойд
Betlehem	Вифлеем
Pilosopi	Философия
Grup:All articles proposed for deletion	Категория:Википедия:К быстрому удалению
Piano	Фортепиано
Ti	Чай
Hebe Camargo	Камарго, Эбе
Grup:Estronomi	Категория:Астрономия
Carcassonne	Каркасон
Sahara	Сахара
1801	1801 год
1802	1802 год
1803	1803 год
1804	1804 год
1805	1805 год
1806	1806 год
1807	1807 год
1808	1808 год
1809	1809 год
1810	1810 год
1811	1811 год
1812	1812 год
1813	1813 год
1814	1814 год
1815	1815 год
1816	1816 год
1817	1817 год
1818	1818 год
1819	1819 год
1820	1820 год
1821	1821 год
1822	1822 год
1823	1823 год
1824	1824 год
1825	1825 год
1826	1826 год
1827	1827 год
Buda	Будда
Politikis	Политика
Gavman	Правительство
Kantri	Государство
Kamel	Верблюды
1828	1828 год
1829	1829 год
1830	1830 год
1831	1831 год
1832	1832 год
1833	1833 год
1834	1834 год
1835	1835 год
1836	1836 год
1837	1837 год
1838	1838 год
1839	1839 год
1840	1840 год
1841	1841 год
1842	1842 год
1843	1843 год
1844	1844 год
Tok Rasia	Русский язык
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Всеобщая декларация прав человека
Tok Balgeria	Болгарский язык
Nelson Mandela	Мандела, Нельсон
Lajik	Логика
Grama	Грамматика
Ikonimikis	Экономика (наука)
Yen bilong Siapan	Японская иена
Stadi bilong pasin bilong ol tokples	Лингвистика
Hangul	Хангыль
Grup:Pranis	Категория:Франция
"Weird Al" Yankovic	«Странный Эл» Янкович
Alexander Makedon	Александр Македонский
Edukesen	Образование
Famili	Семья
Kopi	Кофе
Sol	Сеул
Tokples long Albenia	Албанский язык
Valencia	Валенсия
Tok Denmak	Датский язык
Tok Nowe	Норвежский язык
Tok Slovakia	Словацкий язык
Tok Hangari	Венгерский язык
Tok Lituwenia	Литовский язык
Tok Belaras	Белорусский язык
Tok Gris	Греческий язык
Tok Aialan	Ирландский язык
Imel	Электронная почта
Tokples Pesia	Персидский язык
Lotu	Религия
Tok Koria	Корейский язык
Tok Vietnam	Вьетнамский язык
Georg Wilhelm Friedrich Hegel	Гегель, Георг Вильгельм Фридрих
Judaisim	Иудаизм
Immanuel Kant	Кант, Иммануил
Saikolosi	Психология
Sidarta	Будда Шакьямуни
Martin Luther	Лютер, Мартин
Elisabet II	Елизавета II
Ronald Reagan	Рейган, Рональд
Fernando Alonso	Алонсо, Фернандо
David Beckham	Бекхэм, Дэвид
Gordon Brown	Браун, Гордон
Tebol bilong ol elemen	Периодическая система химических элементов
Diwai	Дерево
Kubuntu	Kubuntu
Grup:Romenia	Категория:Румыния
Egrikalsa	Сельское хозяйство
Elektroniks	Электроника
Ol kantri	Алфавитный список стран и территорий
Kensa	Злокачественная опухоль
Soria	Сория
Ponferrada	Понферрада
Templet:Location map Iceland	Шаблон:ПозКарта Исландия
Villarreal	Вильярреаль
Templet:Location map Samoa	Шаблон:ПозКарта Самоа
Mislata	Мислата
Kokonas	Кокосовая пальма
Ferdinand de Saussure	Соссюр, Фердинанд де
Unserdeutsch	Унзердойч
Kyushu	Кюсю
Honshu	Хонсю
Shikoku	Сикоку
Ista Ailan	Остров Пасхи
Ethnologue	Ethnologue
Bensheim	Бенсхайм
Queen	Queen
Freddie Mercury	Фредди Меркьюри
Wol	Мир (Земля)
Vemont	Вермонт
Koria	Корея
1925	1925 год
1927	1927 год
1955	1955 год
1954	1954 год
1953	1953 год
1951	1951 год
1950	1950 год
1946	1946 год
1943	1943 год
1942	1942 год
1940	1940 год
1939	1939 год
1938	1938 год
1937	1937 год
1936	1936 год
1935	1935 год
1934	1934 год
1933	1933 год
1932	1932 год
1931	1931 год
1930	1930 год
1929	1929 год
Pyongyang	Пхеньян
Nupela Testamen	Новый Завет
Nha Trang	Нячанг
Maya Angelou	Майя Энджелоу
Pop	Папство
Rafael Correa	Корреа, Рафаэль
Busares	Бухарест
1928	1928 год
Olpela Testamen	Ветхий Завет
Indo-Yuropien famili bilong tokples	Индоевропейские языки
Breinigerberg	Брайнигерберг
Gyeonggi	Кёнгидо
Ol Tokples Siamanik	Германские языки
Sosiolosi	Социология
Taiwan	Тайвань
Bahai	Бахаи
Aialan	Ирландия (остров)
7	7 год
Wik	Неделя
Antropolosi	Антропология
Ailan	Остров
Moshchena	Мощёная
Akiolosi	Археология
George H. W. Bush	Буш, Джордж Герберт Уокер
Paltoga	Палтога
Quang Binh Provins	Куангбинь
Protestan	Протестантизм
Bryan Cranston	Крэнстон, Брайан
Bikpela Briten	Великобритания (остров)
Kadinol daireksion	Стороны света
Lila Downs	Даунс, Лила
Famili bilong tokples	Генетическая классификация языков
Pichilemu	Пичилему
Pukpuk	Крокодилы
Amerika	Amerika
Cabañas Raras	Кабаньяс-Рарас
Ardón (León)	Ардон (Леон)
Algadefe	Альгадефе
Acebedo	Асебедо
Los Barrios de Luna	Лос-Барриос-де-Луна
Fresno de la Vega	Фресно-де-ла-Вега
La Antigua (Spen)	Ла-Антигуа (Испания)
Almanza	Альманса (Леон)
El Burgo Ranero	Эль-Бурго-Ранеро
Boca de Huérgano	Бока-де-Уэргано
Bustillo del Páramo	Бустильо-дель-Парамо
Boñar	Боньяр
Alija del Infantado	Алиха-дель-Инфантадо
Brazuelo	Брасуэло
Berlanga del Bierzo	Берланга-дель-Бьерсо
Cabreros del Río	Кабрерос-дель-Рио
Bercianos del Real Camino	Берсьянос-дель-Реаль-Камино
Burón (León)	Бурон (Леон)
Bercianos del Páramo	Берсьянос-дель-Парамо
Kokomo	Птицы-носороги
Danny DeVito	Де Вито, Дэнни
Jerry Springer	Спрингер, Джерри
Sentrel Amerika	Центральная Америка
Kaunti	Графство
Ecser	Эчер
Zhengzhou	Чжэнчжоу
Avril Lavigne	Лавин, Аврил
Rouen	Руан
Valery Leontiev	Леонтьев, Валерий Яковлевич
Tok Hawai	Гавайский язык
Hiri Motu	Хири-моту
Niu Kaledonia	Новая Каледония
Marlon Brando	Брандо, Марлон
Tok Pisin	Ток-писин
Mošovce	Мошовце
Ajetiv bilong nambawan kain	Имя прилагательное
Ido	Идо
44 yia i go bipo Jisas	44 год до н. э.
Bislama	Бислама
Hokkaido	Хоккайдо
Charles Bronson	Бронсон, Чарльз
Borneo	Калимантан
Siligo	Силиго
Apia	Апиа
Pot Mosbi	Порт-Морсби
.ru	.ru
.ad	.ad
Cork	Корк
Arancón	Аранкон
.am	.am
.de	.de
.fr	.fr
Melanesia	Меланезия
.au	.au
Maket	Рынок
.at	.at
Pot Vila	Порт-Вила
Auckland Grammar School	Оклендская гимназия
.us	.us
.es	.es
.pl	.pl
.uk	.uk
Kaukau	Батат
Yokohama	Иокогама
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
Lubuntu	Lubuntu
.ca	.ca
.ch	.ch
Maikroekonomiks	Макроэкономика
.be	.be
Ágreda	Агреда
.by	.by
.fj	.fj
.cl	.cl
.bt	.bt
Hobat	Хобарт
Niugini	Новая Гвинея
.tv	.tv
23 yia i go bipo Jisas	23 год до н. э.
.se	.se
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.sk	.sk
Julia Gillard	Гиллард, Джулия
.to	.to
.lv	.lv
Saikoanalisis	Психоанализ
.tj	.tj
.kp	.kp
Frank Gorshin	Горшин, Фрэнк
.ro	.ro
.nr	.nr
.ke	.ke
.vu	.vu
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Радд, Кевин
Plak bilong Siapan	Флаг Японии
Jim Morrison	Моррисон, Джим
Dan Castellaneta	Кастелланета, Дэн
Cubillos del Sil	Кубильос-дель-Силь
Igüeña	Игуэнья
Noceda del Bierzo	Носеда-дель-Бьерсо
Castropodame	Кастроподаме
Páramo del Sil	Парамо-дель-Силь
Molinaseca	Молинасека
Toreno	Торено
Folgoso de la Ribera	Фольгосо-де-ла-Рибера
.nu	.nu
Sancedo	Санседо
The Doors	The Doors
Pécs	Печ (город, Венгрия)
Sios	Храмовая архитектура
Plak bilong Pinlan	Флаг Финляндии
Templet:Commons category	Шаблон:Commonscat
Morgan Freeman	Фримен, Морган
Plak bilong Albenia	Флаг Албании
Dire Straits	Dire Straits
Richard Attenborough	Аттенборо, Ричард
Templet:Taxobox	Шаблон:Taxobox
Siete Aguas	Сьете-Агуас
Burjassot	Бурхасот
El Royo	Эль-Ройо
János Áder	Адер, Янош
Viktor Orbán	Орбан, Виктор
Reyero	Рейеро
La Ercina	Ла-Эрсина
Niu Briten	Новая Британия
La Robla	Ла-Робла
Santa Colomba de Curueño	Санта-Коломба-де-Куруэньо
Santa María del Monte de Cea	Санта-Мария-дель-Монте-де-Сеа
San Cristóbal de la Polantera	Сан-Кристобаль-де-ла-Полантера
Otto Sander	Зандер, Отто
Santa María del Páramo	Санта-Мария-дель-Парамо
Santa Elena de Jamuz	Санта-Элена-де-Хамус
San Justo de la Vega	Сан-Хусто-де-ла-Вега
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Флаг Соломоновых Островов
Nonvailens	Ненасилие
Debrecen	Дебрецен
Plak bilong Kanada	Флаг Канады
Quintana y Congosto	Кинтана-и-Конгосто
Matallana de Torío	Матальяна-де-Торио
Harrison Ford	Форд, Харрисон
Plak bilong Andora	Флаг Андорры
Kimi ga Yo	Гимн Японии
Szeged	Сегед
Plak bilong Ostrelia	Флаг Австралии
Plak bilong Hangari	Флаг Венгрии
Plak bilong Azerbaijan	Флаг Азербайджанской Республики
Plak bilong Nowe	Флаг Норвегии
Robin Williams	Уильямс, Робин
Gary Oldman	Олдмен, Гэри
Tauns long Burgos provins	Муниципалитеты Бургоса
Ol taun bilong León provins	Муниципалитеты Леона
Tauns long Soria provins	Муниципалитеты Сории
Plak bilong Aislan	Флаг Исландии
Plak bilong Indonisia	Флаг Индонезии
Plak bilong Skotlan	Флаг Шотландии
Miskolc	Мишкольц
Donald Sutherland	Сазерленд, Дональд
Peter O'Toole	О’Тул, Питер
Eli Wallach	Уоллак, Илай
Mickey Rooney	Микки Руни
Godelleta	Годельета
Plak bilong Tuvalu	Флаг Тувалу
Holly Hunter	Хантер, Холли
Kristen	Христианин
Stet	Штат
Meditesen	Медитация
James Garner	Гарнер, Джеймс
Joey King	Кинг, Джоуи
Pacific Games	Тихоокеанские игры
Plak bilong Kiribas	Флаг Кирибати
Saut Ailan	Южный (остров, Новая Зеландия)
Plak bilong Spen	Флаг Испании
Dziecinów	Дзецинув (Отвоцкий повят)
Haus bilong binen	Пчелиные соты
Michael Caine	Майкл Кейн
Steve Irwin	Ирвин, Стив
Plak bilong Saut Koria	Флаг Республики Корея
Plak bilong Slovenia	Флаг Словении
Plak bilong Romenia	Флаг Румынии
Grup:Manmeri bilong Hangari	Венгры
Dunedin	Данидин
Kamikaze	Камикадзе
Lucillo	Лусильо
Cimanes de la Vega	Симанес-де-ла-Вега
Cebrones del Río	Себронес-дель-Рио
Quintana del Marco	Кинтана-дель-Марко
San Millán de los Caballeros	Сан-Мильян-де-лос-Кабальерос
Cubillas de Rueda	Кубильяс-де-Руэда
Cea (León)	Сеа (Леон)
Garrafe de Torío	Гаррафе-де-Торио
Santa María de Ordás	Санта-Мария-де-Ордас
Cuadros	Куадрос (Леон)
Llamas de la Ribera	Льямас-де-ла-Рибера
Riello	Риельо
Palacios de la Valduerna	Паласьос-де-ла-Вальдуэрна
Castrocalbón	Кастрокальбон
Carrocera	Карросера
Murias de Paredes	Мурьяс-де-Паредес
Rioseco de Tapia	Риосеко-де-Тапия
Santa Cristina de Valmadrigal	Санта-Кристина-де-Вальмадригаль
Kuman	Куман (язык)
Grajal de Campos	Грахаль-де-Кампос
Santa María de la Isla	Санта-Мария-де-ла-Исла
Campo de Villavidel	Кампо-де-Вильявидель
Crémenes	Кременес
Cimanes del Tejar	Симанес-дель-Техар
Castilfalé	Кастильфале
Quintana del Castillo	Кинтана-дель-Кастильо
Campazas	Кампасас
Pajares de los Oteros	Пахарес-де-лос-Отерос
San Pedro Bercianos	Сан-Педро-Берсьянос
Santa Marina del Rey	Санта-Марина-дель-Рей
Cebanico	Себанико
Gordaliza del Pino	Гордалиса-дель-Пино
Castrillo de la Valduerna	Кастрильо-де-ла-Вальдуэрна
Pozuelo del Páramo	Посуэло-дель-Парамо
Prado de la Guzpeña	Прадо-де-ла-Гуспенья
Matanza (León)	Матанса (деревня)
Santa Colomba de Somoza	Санта-Коломба-де-Сомоса
Cubillas de los Oteros	Кубильяс-де-лос-Отерос
Mansilla Mayor	Мансилья-Майор
Gordoncillo	Гордонсильо
San Esteban de Nogales	Сан-Эстебан-де-Ногалес
Regueras de Arriba	Регерас-де-Арриба
Luyego	Луйего
Maraña	Маранья
Castrotierra de Valmadrigal	Кастротьерра-де-Вальмадригаль
Magaz de Cepeda	Магас-де-Сепеда
Matadeón de los Oteros	Матадеон-де-лос-Отерос
Castrillo de Cabrera	Кастрильо-де-Кабрера
Gusendos de los Oteros	Гусендос-де-лос-Отерос
Chozas de Abajo	Чосас-де-Абахо
Roperuelos del Páramo	Роперуэлос-дель-Парамо
Phu Quoc	Фукуок
Wikipedia:Save long senisim pes	Википедия:Как править статьи
Buai	Бетелевая пальма
Brobergen	Броберген
Daka	Бетель
Klostu Tudak	Сумерки (фильм, 2008)
Plak bilong Niu Silan	Флаг Новой Зеландии
Kaunti Cork	Корк (графство)
St. Peter's College, Auckland	Колледж Святого Петра (Окленд)
Siaman Niugini	Германская Новая Гвинея
Behaviourisim	Бихевиоризм
Samuel L. Jackson	Джексон, Сэмюэл Лерой
Caltojar	Кальтохар
Berlanga de Duero	Берланга-де-Дуэро
Kumul	Райские птицы
Christopher Lee	Ли, Кристофер
Helen Clark	Кларк, Хелен Элизабет
Lev Vygotsky	Выготский, Лев Семёнович
Plak bilong Fiji	Флаг Фиджи
Plak bilong Papua Niugini	Флаг Папуа — Новой Гвинеи
Plak bilong Nauru	Флаг Науру
Plak bilong Vanuatu	Флаг Вануату
Plak bilong Wels	Флаг Уэльса
Mike Myers	Майерс, Майк
Zelda Williams	Уильямс, Зельда
Plak bilong Tonga	Флаг Тонга
Plak bilong Samoa	Флаг Самоа
Plak bilong Palau	Флаг Палау
Christopher Plummer	Пламмер, Кристофер
E pluribus unum	E pluribus unum
Expo 2010	Всемирная выставка (2010)
James Woods	Вудс, Джеймс
Nancy Reagan	Рейган, Нэнси
Ol provinis bilong Swidan	Провинции Швеции
Plak bilong ol Masol Ailan	Флаг Маршалловых Островов
Kina	Кина
Bogenvil	Бугенвиль (остров)
Plak bilong Niue	Флаг Ниуэ
Roger Ebert	Эберт, Роджер
Bill Cosby	Косби, Билл
Niu Ailan ailan	Новая Ирландия (остров)
Jimmie Johnson	Джонсон, Джимми
Rabaul	Рабаул
Saksak	Саго
Plak bilong Hawai	Флаг Гавайев
Nesenel mak bilong Ostrelia	Герб Австралии
Eartha Kitt	Китт, Эрта
Phyllis Diller	Диллер, Филлис
Plak bilong Polinesia bilong Pranis	Флаг Французской Полинезии
Rhea Perlman	Перлман, Реа
Ian McShane	Макшейн, Иэн
Plak bilong Nofok Ailan	Флаг Острова Норфолк
Shelley Duvall	Дюваль, Шелли
Plak bilong Guam	Флаг Гуама
Julie Newmar	Джули Ньюмар
Carol Channing	Чэннинг, Кэрол
Dixie Carter	Картер, Дикси
Makó	Мако (город)
Joan Rivers	Риверз, Джоан
Camponaraya	Кампонарая
Elizabeth Peña	Пенья, Элизабет
Edie McClurg	Макклёрг, Эди
Plak bilong Tokelau	Флаг Токелау
Yumi, Yumi, Yumi	Гимн Вануату
Nesenel mak bilong Papua Niugini	Эмблема Папуа — Новой Гвинеи
Marcus Stephen	Стивен, Маркус
Małgorzata Braunek	Браунек, Малгожата
Carl Reiner	Райнер, Карл
Martin Landau	Ландау, Мартин
Tate Donovan	Донован, Тейт
Vadillo	Вадильо
Dick Van Dyke	Ван Дайк, Дик
Don Ameche	Амичи, Дон
Brad Bird	Бёрд, Брэд
Gary Coleman	Коулман, Гэри
Rip Torn	Торн, Рип
Jeff Gordon	Гордон, Джефф
Hal Holbrook	Холбрук, Хэл
Richard Griffiths	Гриффитс, Ричард
Donald Pleasence	Плезенс, Дональд
Michael Somare	Сомаре, Майкл Томас
Apisai Ielemia	Иелемиа, Аписаи
Plak bilong Wolis na Futuna	Флаг Уоллис и Футуна
Madang (provins)	Маданг (провинция)
Michael Jeter	Джетер, Майкл
Brad Dourif	Дуриф, Брэд
Craig T. Nelson	Нельсон, Крэйг
Larry the Cable Guy	Ларри-кабельщик
Olaf Stapledon	Стэплдон, Олаф
Burgess Meredith	Мередит, Бёрджесс
Richard Schiff	Шифф, Ричард
Nicanor Parra	Парра, Никанор
David Cross	Кросс, Дэвид (актёр)
Bobcat Goldthwait	Голдтуэйт, Бобкэт
Bry-sur-Marne	Бри-сюр-Марн
Con Dao	Кондао
Richard Kiel	Кил, Ричард
Almaluez	Альмалуэс
Derek Sikua	Сикуа, Дерек
Valencia de Don Juan	Валенсия-де-Дон-Хуан
Valdefresno	Вальдефресно
Cesar Romero	Ромеро, Сизар
Jackie Gleason	Глисон, Джеки
Buk bilong Momon	Книга Мормона
Astorga	Асторга
Fernanda Torres	Торрес, Фернанда
Ham Lini	Лини, Хам
Ples balus Tan Son Nhat	Таншоннят
Michael Clarke Duncan	Дункан, Майкл Кларк
Aliud	Альюд
Baraona	Бараона
Medinaceli	Мединасели
Burgo de Osma-Ciudad de Osma, Soria	Бурго-де-Осма-Сьюдад-де-Осма
Suellacabras	Суэльякабрас
Yanguas	Янгуас
San Esteban de Gormaz	Сан-Эстебан-де-Гормас
Comares	Комарес
.nl	.nl
Alcoy	Алькой
Goroka	Горока
Daru	Дару (город)
Espinosa de los Monteros (Burgos)	Эспиноса-де-лос-Монтерос
Cañamaque	Каньямаке
Navaleno	Навалено
Las Omañas	Лас-Оманьяс
Matt Frewer	Фрюэр, Мэтт
Carrot Top	Кэррот Топ
Alotau	Алотау
Seeheim-Jugenheim	Зехайм-Югенхайм
Trévago	Треваго
Madang (taun)	Маданг (город)
Valdepiélago	Вальдепьелаго
Villademor de la Vega	Вильядемор-де-ла-Вега
Dévanos	Деванос
Simbu	Симбу
Zotes del Páramo	Сотес-дель-Парамо
Priaranza del Bierzo	Приаранса-дель-Бьерсо
Fuentes de Carbajal	Фуэнтес-де-Карбахаль
Kundiawa	Кундиава
Lae	Лаэ (город)
Bulolo	Булоло
Magani	Валлаби
Ólvega	Ольвега
Arawa	Арава (Папуа — Новая Гвинея)
O Arise, All You Sons	Гимн Папуа — Новой Гвинеи
Villamartín de Don Sancho	Вильямартин-де-Дон-Санчо
Sobrado	Собрадо
Magaña	Маганья
Eliana	Элиана
Abajas (Burgos)	Абахас
Itero del Castillo (Burgos)	Итеро-дель-Кастильо
Wes Niu Briten	Западная Новая Британия
Blupela kumul	Синяя райская птица
Izagre	Исагре
Centenera de Andaluz	Сентенера-де-Андалус
Is Sepik	Восточный Сепик
Cacabelos	Какабелос
Histori long Koria	История Кореи
Paul Winchell	Уинчелл, Пол
Soto de la Vega	Сото-де-ла-Вега
Jenny Slate	Слейт, Дженни
Junta de Traslaloma (Burgos)	Хунта-де-Траслалома
Mansilla de las Mulas	Мансилья-де-лас-Мулас
Atapuerca	Атапуэрка (муниципалитет)
Oro	Оро (провинция)
Sandaun	Сандаун
Is Niu Briten	Восточная Новая Британия
Valderas	Вальдерас
Gradefes	Градефес
Onzonilla	Онсонилья
Sahagún	Саагун
Almarza	Альмарса
Aldealices	Альдеалисес
Aldealafuente	Альдеалафуэнте
Alentisque	Алентиске
Adradas	Адрадас
Alconaba	Альконаба
Abejar	Абехар
Almajano	Альмахано
Arenillas	Аренильяс
Aldealpozo	Альдеальпосо
Alcubilla de las Peñas	Алькубилья-де-лас-Пеньяс
Aldealseñor	Альдеальсеньор
Alcubilla de Avellaneda	Алькубилья-де-Авельянеда
Covaleda	Коваледа
Casarejos	Касарехос
Cerbón	Сербон
Calatañazor	Калатаньясор
Almazul	Альмасуль
Cidones	Сидонес
Alpanseque	Альпансеке
Arcos de Jalón	Аркос-де-Халон
Aldehuela de Periáñez	Альдеуэла-де-Перианьес
Beratón	Бератон
Almenar de Soria	Альменар-де-Сория
Maján	Махан (Сория)
Coscurita	Коскурита
Barcones	Барконес
Castilfrío de la Sierra	Кастильфрио-де-ла-Сьерра
Castilruiz	Кастильруис
Miño de Medinaceli	Миньо-де-Мединасели
Vinuesa	Винуэса
