Africa	Африка
Georgius W. Bush	Буш, Джордж Уокер
Rectangulum	Прямоугольник
Lettonia	Латвия
Ucraina	Украина
Cechia	Чехия
Slovacia	Словакия
Slovenia	Словения
Vilna	Вильнюс
Res publica Moldavica	Молдавия
Romania	Румыния
Bulgaria	Болгария
Roma	Рим
Res publica Macedonica	Республика Македония
Albania	Албания
Groenlandia	Гренландия (административная единица)
Croatia	Хорватия
Bosnia et Herzegovina	Босния и Герцеговина
Nuuk	Нуук
Atropatene (res publica)	Азербайджан
Andorra	Андорра
Cyprus	Республика Кипр
Georgia	Грузия
Wallonia	Валлония
Kazachstania	Казахстан
Melita (res publica)	Мальта
Flandria	Фландрия (историческая область)
Principatus Monoeci	Монако
Mons Niger	Черногория
Civitas Vaticana	Ватикан
Res publica Sancti Marini	Сан-Марино
Bruxellae	Брюссель
Regio Bruxellana	Брюссельский столичный регион
Cuba	Куба
Beliza	Белиз
Turris Eiffelia	Эйфелева башня
Barbata	Барбадос
Volkswagen	Volkswagen
Claviatura	Компьютерная клавиатура
Java (lingua programmandi)	Java
Indonesia	Индонезия
Wolfgangus Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludovicus van Beethoven	Бетховен, Людвиг ван
Lingua Turcica	Турецкий язык
Africa Australis	Южно-Африканская Республика
Ioannes Franciscus Champollio	Шампольон, Жан-Франсуа
Linkin Park	Linkin Park
Algerium	Алжир
Vicifons	Викитека
Huracanum Sandy	Сэнди (ураган)
Uzbecia	Узбекистан
Posnania	Познань
Lithopolis (Uzbecia)	Ташкент
Varsovia	Варшава
Ila insula	Айлей
Cantus Eurovisionis Certamen	Конкурс песни Евровидение
Mutina	Модена
Vischium	Виски
Vinum	Вино
Aqua	Вода
Condate (Carantonus)	Коньяк (город)
Lignum	Древесина
Turones	Тур (город)
Televisio	Телевидение
Sexus	Пол организмов
Pornographia	Порнография
Lingua Islandica	Исландский язык
Claudius Monet	Моне, Клод
Didacus Velázquez	Веласкес, Диего
Chilia	Чили
El Greco	Эль Греко
Iesus	Иисус Христос
Elvis Presley	Пресли, Элвис
Sebastianus Piñera	Пиньера, Себастьян
Galilaeus Galilaei	Галилей, Галилео
Mercurius (planeta)	Меркурий
Historia	История
Coemeterium Père Lachaise	Пер-Лашез
Apple Inc.	Apple
Venus (planeta)	Венера
Lingua	Язык
Amor	Любовь
Dictatura	Диктатура
Galaxias	Галактика
Iuppiter (planeta)	Юпитер
Michaela Bachelet	Бачелет, Мишель
Via lactea	Млечный Путь
Immanis diruptio	Большой взрыв
Uranus (planeta)	Уран (планета)
Eduardus Frei Ruiz-Tagle	Фрей Руис-Тагле, Эдуардо
Britannia Minor	Бретань (историческая область)
Vicipaedia Anglica	Английская Википедия
Nicolaus Sarkozy	Саркози, Николя
Ricardus Lagos	Лагос, Рикардо
Neptunus (planeta)	Нептун
Astronomia	Астрономия
Singapura	Сингапур
Patricius Aylwin	Эйлвин, Патрисио
Scientia (ratio)	Наука
Cosmologia	Космология
Pluto (planetula)	Плутон
Mons Regius	Монреаль
Libera programmatura	Свободное программное обеспечение
Coriosopitum	Кемпер
Flexia	Ла-Флеш
Tempus futurum	Будущее
Maria (mater Iesu)	Богородица
Ludovicus IX (rex Francorum)	Людовик IX
Lichtenstenum	Лихтенштейн
Ars athletica	Спорт
Cantabrigia	Кембридж
Adolphus Hitler	Гитлер, Адольф
Facebook	Facebook
Wikileaks	WikiLeaks
Iulianus Assange	Ассанж, Джулиан
Primum bellum mundanum	Первая мировая война
Secundum bellum mundanum	Вторая мировая война
Colonia Agrippina	Кёльн
Corruptio	Коррупция
Vicilibri	Викиучебник
Augustus Pinochet	Пиночет, Аугусто
Vicicitatio	Викицитатник
Vodca	Водка
Horologium	Часы
Ubuntu (systema internum)	Ubuntu
Scupi	Скопье
Civitas Gdinensis	Гдыня
Linux	Linux
Robertus Dylan	Боб Дилан
Stettinum	Щецин
Mathematica	Математика
U2	U2
Lingua Latina	Латинский язык
Baharina	Бахрейн
Armenia	Армения
Wenevera Jameson	Джеймсон, Дженна
Scriptura cuneiformis	Клинопись
Serbia	Сербия
Luna	Луна
Constantinopolis	Стамбул
Australia	Австралия
Robertus Marley	Марли, Боб
Carolus Sagan	Саган, Карл
Nomisma Quadrangulum a Pioneer	Пластинки «Пионера»
Physica	Физика
Argentina	Аргентина
Silbus Gomerensis	Сильбо гомеро
Telecommunicatio	Электросвязь
Peruvia	Перу
Biologia	Биология
Res volans ignota	Неопознанный летающий объект
Respublica Popularis Democratica Coreana	Корейская Народно-Демократическая Республика
Cambosia	Камбоджа
Iura animalium	Права животных
Zona Kuiperi	Пояс Койпера
Alcoranus	Коран
Dinosauria	Динозавры
Zoologia	Зоология
Religio Islamica	Ислам
Pyrus	Груша
Bibliotheca Alexandrina	Александрийская библиотека
Aemona	Любляна
Salvator Allende	Альенде, Сальвадор
Botanice	Ботаника
Naturalis historia (Plinius)	Естественная история (Плиний)
Ich bin ein Berliner	Я — берлинец
Lechus Wałęsa	Валенса, Лех
Rota	Колесо
Encyclopédie	Энциклопедия, или Толковый словарь наук, искусств и ремёсел
Dionysius Diderotus	Дидро, Дени
Georgius Brassens	Брассенс, Жорж
Mens	Ум
Pax	Мир (отсутствие войны)
Encyclopaedia Britannica	Энциклопедия Британника
Lugdunum	Лион
Pinciacum	Пуасси
Unio Europaea	Европейский союз
Philippopolis	Пловдив
Internet Archive	Архив Интернета
Star Wars	Звёздные войны
Rhodanus et Alpes	Рона — Альпы
Tela totius terrae	Всемирная паутина
Mulier	Женщина
Memex	Мемекс
Serdica	София
Aquae ductus	Акведук
Eduardus Frei Montalva	Фрей Монтальва, Эдуардо
Ñ	Ñ
Dominus Quixotus a Manica	Дон Кихот (роман)
Poësis	Поэзия
Virus informaticum	Компьютерный вирус
Mediolanum	Милан
Memoria	Память
Arthurus Rimbaud	Рембо, Артюр
Augusta Taurinorum	Турин
Faeces	Кал
Anus (anatomia)	Анус
Axilla	Подмышка
Limon	Лимон
Carolus Baudelaire	Бодлер, Шарль
Stendhal	Стендаль
Musa (fructus)	Банан
Aemilius Zola	Золя, Эмиль
666	666 год
Flos	Цветок
Googol	Гугол
Googolplex	Гуголплекс
Fossa Mariana	Марианский жёлоб
Vladimirus Vysockij	Высоцкий, Владимир Семёнович
Everestius mons	Джомолунгма
Anatomia	Анатомия
Urbs	Город
Napoleo I (imperator Franciae)	Наполеон I
Olympus mons (Mars)	Олимп (Марс)
Physiologia	Физиология
Stella	Звезда
Vesuvius	Везувий
Sol	Солнце
Caelum	Небо
Ludovicus Pasteur	Пастер, Луи
Annus luce mensus	Световой год
Oppidulum	Село
Victor Hugo	Гюго, Виктор
Oceania	Океания
Iosephus Garibaldi	Гарибальди, Джузеппе
Urbs Vetus	Орвието
Ludus gymnicus campestris	Лёгкая атлетика
Censura	Цензура
Systema solare	Солнечная система
Balticum mare	Балтийское море
Tergeste	Триест
Vistula	Висла
Campi Elysii (via)	Елисейские Поля
Viadrus	Одра
Dens	Зуб (биология)
Hydrogenium	Водород
Helium	Гелий
Infernus	Ад
Vicimedia Communia	Викисклад
Angela Merkel	Меркель, Ангела
Lithium	Литий
Beryllium	Бериллий
Megaphonum	Громкоговоритель
Liber	Книга
Dies	Сутки
Timoria Orientalis	Восточный Тимор
Nox	Ночь
Georgius Alessandri Rodríguez	Алессандри Родригес, Хорхе
Annus	Год
Saeculum	Век
Carolus Ibáñez del Campo	Ибаньес дель Кампо, Карлос
Lodzia	Лодзь
Canegratum	Канеграте
Rupes Alba	Монблан
Rhenus	Рейн
Asloa	Осло
Bonna	Бонн
Sollemnitas Omnium Sanctorum	Собор всех святых
Katovicum	Катовице
Gurges ater	Чёрная дыра
Ludovicus Camonius	Камоэнс, Луис де
Ceres (planetula)	Церера
Olisipo	Лиссабон
Resovia	Жешув
Ichiro Suzuki	Судзуки, Итиро
Haumea (planetula)	Хаумеа
Rhodanus	Рона
Makemake (planetula)	Макемаке
Michael Bloomberg	Блумберг, Майкл Рубенс
Actus sexuales	Секс
Iona (Ebudes)	Айона
Eris (planetula)	Эрида
Dubai	Дубай (эмират)
Leonillus Messi	Месси, Лионель
Patavium	Падуя
Borium	Бор (элемент)
Nicolaus Copernicus	Коперник, Николай
Versaliae	Версаль (город)
Ludoviciburgum	Людвигсбург
Carbonium	Углерод
Alexander Del Piero	Дель Пьеро, Алессандро
Rha	Волга
Nitrogenium	Азот
Bergomum	Бергамо
Oxygenium	Кислород
FC Internazionale Milano	Интернационале
Ioannes Moulin	Мулен, Жан
Neil Young	Янг, Нил
Planeta	Планета
Cleopatra VII (regina Aegypti)	Клеопатра
Musica	Музыка
Venetiae	Венеция
Naruto	Наруто
Padus	По (река)
Neva	Нева
Thermometrum	Термометр
Condate Redonum	Ренн
Insula (Francia)	Лилль
Moscua	Москва
Fluor	Фтор
Lingua Italiana	Итальянский язык
Neon	Неон
Chihuahua	Чиуауа
Petropolis	Санкт-Петербург
Tzadia	Чад
Natrium	Натрий
Septentrio (plaga)	Север
Magnesium	Магний
Neon Genesis Evangelion	Евангелион
Aluminium	Алюминий
Nova Zelandia	Новая Зеландия
Meridies	Юг
India	Индия
Silicium	Кремний
Francium	Франций
Tuvalu	Тувалу
One Piece	One Piece. Большой куш
Phosphorus	Фосфор
Andreas Maria Ampère	Ампер, Андре-Мари
Prosa	Проза
Ferrum	Железо
Tonga	Тонга
Occidens	Запад
Alexander Volta	Вольта, Алессандро
Sulphur	Сера
Samoa	Самоа
Oriens	Восток
Insulae Salomonis	Соломоновы Острова
Vanuatu	Вануату
Molière	Мольер
Chlorum	Хлор
Delphi (urbs Bataviae)	Делфт
Papua Nova Guinea	Папуа — Новая Гвинея
Gulielmus Shakesperius	Шекспир, Уильям
Fabula	Басня
Hollandia Australis	Южная Голландия
Belavia	Палау
Argon	Аргон
Nauru	Науру
Mozilla Firefox	Mozilla Firefox
Hollandia Septentrionalis	Северная Голландия
Civitates Foederatae Micronesiae	Федеративные Штаты Микронезии
Kalium	Калий
Zelandia	Зеландия (провинция)
Calcium	Кальций
Flevolandia	Флеволанд
Plumbum	Свинец
Insulae Marsalienses	Маршалловы Острова
Kiribati	Кирибати
Mongolia	Монголия
Viti	Фиджи
Scandium	Скандий
Stevie Wonder	Уандер, Стиви
Hailprunna	Хайльбронн
Titanium	Титан (элемент)
Venetiola	Венесуэла
Scacci	Шахматы
Saginava	Сагино (Мичиган)
Cingischam	Чингисхан
Vanadium	Ванадий
Cenomannica	Мэн (штат)
Chromium	Хром
Equus caballus	Домашняя лошадь
Amstelodamum	Амстердам
Arma	Оружие
Animalia	Животные
Surinamia	Суринам
Manganum	Марганец
Paraquaria	Парагвай
Guiana	Гайана
Ars	Искусство
Aequatoria	Эквадор
Rhenium	Рений
Columbia	Колумбия
Cobaltum	Кобальт
Ioannes Racine	Расин, Жан
Wolframium	Вольфрам
Niccolum	Никель
Fragaria	Земляника
Petrus Corneille	Корнель, Пьер
Buddhismus	Буддизм
Groninga (urbs)	Гронинген (город)
Bolivia	Боливия
Osmium	Осмий
Groninga (provincia)	Гронинген (провинция)
Cuprum	Медь
Trinitas et Tabacum	Тринидад и Тобаго
Plantae	Растения
Sanctus Vincentius et Granatinae	Сент-Винсент и Гренадины
Zincum	Цинк
Nova Hantonia	Нью-Гэмпшир
Sancta Lucia (civitas)	Сент-Люсия
Leonardus Vincius	Леонардо да Винчи
Sanctus Christophorus et Nives	Сент-Китс и Невис
Fungi	Грибы
Darius Fo	Фо, Дарио
Iamaica	Ямайка
Stephanus Mallarmé	Малларме, Стефан
Fanum Sancti Petri Brattiae	Супетар
Granata (civitas Caribica)	Гренада
Frisia (provincia)	Фрисландия (Нидерланды)
Massachusetta	Массачусетс
Drenthia	Дренте
Transisalania	Оверэйссел
Guatimalia	Гватемала
Geldria	Гелдерланд
Traiectum ad Rhenum (provincia)	Утрехт (провинция)
Insulae Bahamenses	Багамские Острова
Connecticuta	Коннектикут
Gallus	Курица
Antiqua et Barbuda	Антигуа и Барбуда
Havaii (civitas)	Гавайи
Honduria	Гондурас
Dominica (civitas)	Доминика
Caesarea Insula	Джерси (остров)
Respublica Dominicana	Доминиканская Республика
Porcus	Домашняя свинья
Oceanus Arcticus	Северный Ледовитый океан
Haiti	Республика Гаити
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukakapiki­maunga­horo­nuku­pokai­whenua­kitanatahu	Тауматауакатангиангакоауауотаматеатурипукакапикимаунгахоронукупокануэнуакитанатаху
Salvatoria	Сальвадор
Svolla	Зволле
Irania	Иран
Iracum	Ирак
Alasca	Аляска
Assen	Ассен
Sapientia	Мудрость
Costarica	Коста-Рика
Israël	Израиль
Traiectum ad Rhenum	Утрехт
Panama	Панама
Iemenia	Йемен
Lausanna	Лозанна
Virus biologicum	Вирусы
Lingua Polonica	Польский язык
Iordania	Иордания
Nicaragua	Никарагуа
Florida	Флорида
Chirgisia	Киргизия
Gabriel González Videla	Гонсалес Видела, Габриэль
Arizona	Аризона
Cuvaitum	Кувейт
Laotia	Лаос
Ioannes Antonius Ríos Morales	Риос, Хуан Антонио
Libanus	Ливан
Oregonia	Орегон
Insulae Maldivae	Мальдивы
America	Америка
Uta	Юта
Bos taurus	Корова
Malaesia	Малайзия
Valesia	Вале (кантон)
Michael Bulgakov	Булгаков, Михаил Афанасьевич
Birmania	Мьянма
Nepalia	Непал
Omania	Оман
Pakistania	Пакистан
Iacobus Bond	Джеймс Бонд
Petrus Aguirre Cerda	Агирре Серда, Педро
Quataria	Катар
Teniludus	Теннис
Arturus Alessandri	Алессандри, Артуро
Franciscus Villon	Вийон, Франсуа
Arabia Saudiana	Саудовская Аравия
Andreas Tarkovskij	Тарковский, Андрей Арсеньевич
Taprobane	Шри-Ланка
Iosephus Stalin	Сталин, Иосиф Виссарионович
Syria	Сирия
Plato	Платон
Gallium	Галлий
Iosephus Brodskij	Бродский, Иосиф Александрович
Tadzikistania	Таджикистан
Pokémon	Покемон
Res publica Sinarum	Китайская Республика
YouTube	YouTube
Germanium	Германий
Aristoteles	Аристотель
Thailandia	Таиланд
Tramen	Поезд
Arsenicum	Мышьяк
Radiophonia	Радио
Maria Ludovica Streep	Стрип, Мерил
Turcomannia	Туркмения
Selenium	Селен
Iridium	Иридий
Phylarchiarum Arabicarum Confoederatio	Объединённые Арабские Эмираты
Bromum	Бром
Platinum	Платина
Vietnamia	Вьетнам
Carolus Chaplin	Чаплин, Чарльз
Novosibirscum	Новосибирск
Respublica Coreana	Республика Корея
Iosephus Piłsudski	Пилсудский, Юзеф
The Simpsons	Симпсоны
Catharinopolis	Екатеринбург
Krypton	Криптон
Afgania	Афганистан
Gangnam Style	Gangnam Style
Novogardia Inferior	Нижний Новгород
Iohannes Raginualdus Raguel Tolkien	Толкин, Джон Рональд Руэл
Limonata	Лимонад
Samara (Russia)	Самара
Rubidium	Рубидий
Aurum	Золото
Omium	Омск
Canalis Suesiensis	Суэцкий канал
Casanum	Казань
Bangladesha	Бангладеш
Bleach (manga)	Блич
Franciscus Kafka	Кафка, Франц
Celiabinsca	Челябинск
Rostovia ad Tanaim	Ростов-на-Дону
Georgius Ludovicus Borges	Борхес, Хорхе Луис
Ufa	Уфа
Malium	Мали
Socrates	Сократ
Volgogradum	Волгоград
Angolia	Ангола
Permia	Пермь
Butania	Бутан
Twitter	Твиттер
Crasnoiarium	Красноярск
Bruneium	Бруней
Bretia	Брач
Tanzania	Танзания
Hydrargyrum	Ртуть
Rodoaldus Amundsen	Амундсен, Руаль
Henricus Mulisch	Мулиш, Харри
Philippinae	Филиппины
Respublica Africae Mediae	Центральноафриканская Республика
Thallium	Таллий
Polus Australis	Южный полюс
Polus arcticus	Северный полюс
Isaacus Newtonus	Ньютон, Исаак
Albertus Einstein	Эйнштейн, Альберт
Strontium	Стронций
Petrus I (imperator Brasiliae)	Педру I (император Бразилии)
Yttrium	Иттрий
Bisemutum	Висмут
Gilvus	Жёлтый цвет
Mechanica quantica	Квантовая механика
Togum	Того
Donaldus Tusk	Туск, Дональд
Tunesia	Тунис
Ioannes Bardeen	Бардин, Джон
Regiolum	Реджоло
Zambia	Замбия
Zimbabua	Зимбабве
Pechinum	Пекин
Sudania Australis	Южный Судан
Vladivostokium	Владивосток
Tuva	Тыва
Beninum	Бенин
Botswana	Ботсвана
Vicinuntii	Викиновости
Burkina Faso	Буркина-Фасо
Burundia	Бурунди
Varburgum Vestphalorum	Варбург
Insulae Comorianae	Коморы
Respublica Congensis	Республика Конго
Obius	Обь
Res publica democratica Congensis	Демократическая Республика Конго
Sanctus Antonius (Texia)	Сан-Антонио
Tomium (urbs)	Томск
Gibutum	Джибути
Memum	Мем
Polonium	Полоний
Bavaria	Бавария
Guinea Aequinoctialis	Экваториальная Гвинея
Badenia-Virtembergia	Баден-Вюртемберг
Erythraea	Эритрея
Dellium Novum	Нью-Дели
Ioannes Paulus II	Иоанн Павел II
Theodorus Dostoevskij	Достоевский, Фёдор Михайлович
Camtschatca	Камчатка
Tiphlis	Тбилиси
Andreas Sacharov	Сахаров, Андрей Дмитриевич
Infantulus	Младенец
Astatinum	Астат
Gabon	Габон
Mahatma Gandhi	Махатма Ганди
Narratio picta	Комикс
Gambia	Гамбия
Guinea	Гвинея
Guinea Bissaviensis	Гвинея-Бисау
Litus Eburneum	Кот-д’Ивуар
Cameronia	Камерун
Marburgum (Slovenia)	Марибор
Res publica Capitis Viridis	Кабо-Верде
Celeia	Целе
Lesothum	Лесото
Liberia	Либерия
Iustinopolis	Копер
Libya	Ливия
Aquisgranum	Ахен
Goritia Nova	Нова-Горица
Madagascaria	Мадагаскар
Malavium	Малави
Carnioburgum	Крань
Stutgardia	Штутгарт
Mauritania	Мавритания
Poloni	Поляки
Mauritia	Маврикий
Marocum	Марокко
Mozambicum	Мозамбик
Namibia	Намибия
Franciscus Preseren	Прешерн, Франце
Res publica Nigritana	Нигер
Nigeria	Нигерия
Belna (Helvetia)	Биль (город)
Carolus Darwinius	Дарвин, Чарлз
Uganda	Уганда
Ruanda	Руанда
Zirconium	Цирконий
Insulae Sancti Thomae et Principis	Сан-Томе и Принсипи
Carolsruha	Карлсруэ
Senegalia	Сенегал
Insulae Seisellenses	Сейшельские Острова
Carolus Linnaeus	Линней, Карл
Mons Leoninus	Сьерра-Леоне
Somalia	Сомали
Niobium	Ниобий
Jawaharlal Nehru	Неру, Джавахарлал
Gaius Iulius Caesar	Гай Юлий Цезарь
Sudania	Судан
Swazia	Свазиленд
Caelestis arcus	Радуга
Molybdenum	Молибден
Technetium	Технеций
Hamburgum	Гамбург
Italus Balbo	Бальбо, Итало
Metabolismus	Обмен веществ
Narendra Modi	Моди, Нарендра
Systema immunitatis	Иммунная система
Guzarata	Гуджарат
Andiatrocus Lacus	Онтарио (озеро)
Evolutio	Эволюция
Alexander Manzoni	Мандзони, Алессандро
Nationes Unitae	Организация Объединённых Наций
Lacus Superior	Верхнее (озеро)
Dantes Alagherius	Данте Алигьери
Geologia	Геология
Amedebatum	Ахмадабад
Geographia	География
Cor	Сердце
Cerebrum	Головной мозг
Cutis	Кожа
Color	Цвет
Breaking Bad	Во все тяжкие
Salernum	Салерно
Nomen substantivum	Имя существительное
Praga	Прага
Ruthenium	Рутений
Rhodium	Родий
Caeruleus	Синий цвет
Palladium	Палладий
Argentum	Серебро
Cadmium	Кадмий
Star Trek	Звёздный путь
Limburgum (provincia Nederlandica)	Лимбург (Нидерланды)
Indium	Индий
Limburgum (provincia Belgica)	Лимбург (провинция Бельгии)
Stannum	Олово
Statio principalis Berolinensis	Центральный вокзал Берлина
Uranium	Уран (элемент)
Stibium	Сурьма
Tellurium	Теллур
Plutonium	Плутоний
Iodum	Иод
Neptunium	Нептуний
Xenon	Ксенон
Anime	Аниме
Caesium	Цезий
Protactinium	Протактиний
Foederatio Unitatis Planetarum	Объединённая федерация планет
Onus electricum	Электрический заряд
Barium (elementum)	Барий
Flandria Occidentalis	Западная Фландрия
Flandria Orientalis	Восточная Фландрия
Thorium	Торий
Antverpia (provincia)	Антверпен (провинция)
Brabantia Flandrensis	Фламандский Брабант
Hafnium	Гафний
Actinium	Актиний
Tantalum	Тантал (элемент)
Gulielmus Clinton	Клинтон, Билл
Namurcum (provincia)	Намюр (провинция)
Luxemburgum (provincia Belgica)	Люксембург (провинция Бельгии)
Radium	Радий
Hannonia	Эно
Radon	Радон
Lotharingia	Лотарингия
Alsatia	Эльзас
Ioannes Philippus Rameau	Рамо, Жан-Филипп
Indira Gandhi	Ганди, Индира
Mercurius (deus)	Меркурий (мифология)
Hector Berlioz	Берлиоз, Гектор
Arvernia	Овернь
Bustum Arsitium	Бусто-Арсицио
Mumbai	Мумбаи
Andhra Pradesa	Андхра-Прадеш
Arunacala Pradesa	Аруначал-Прадеш
Asama	Ассам
Bihara	Бихар
Michigania	Мичиган
Chattisagarha	Чхаттисгарх
Lacus Michiganus	Мичиган (озеро)
Goa	Гоа
Burgundia (regio Franciae)	Бургундия
Hariyana	Харьяна
Himacala Pradesa	Химачал-Прадеш
Mauricius Ravel	Равель, Морис
Aquitania (regio Franciae)	Аквитания (регион)
Jammu et Casmiria	Джамму и Кашмир
Portus Dives	Пуэрто-Рико
Jharakhanda	Джаркханд
Carnatica	Карнатака
Malabaria	Керала
Madhya Pradesa	Мадхья-Прадеш
Usain Bolt	Болт, Усэйн
Lemovicensis (regio Franciae)	Лимузен (регион)
Maharastra	Махараштра
Ioannes Baptista Lully	Люлли, Жан-Батист
Manipura	Манипур
Slesvicum-Holsatia	Шлезвиг-Гольштейн
Meghalaya	Мегхалая
Megapolis-Pomerania Citerior	Мекленбург-Передняя Померания
Saxonia Inferior	Нижняя Саксония
Rhenania Septentrionalis-Vestfalia	Северный Рейн-Вестфалия
Hassia	Гессен
Rhenania-Palatinatus	Рейнланд-Пфальц
Saravia	Саар
Saxonia	Саксония (земля)
Ioannes Lennon	Леннон, Джон
Illinoesia	Иллинойс
Thuringia	Тюрингия
Saxonia-Anhaltium	Саксония-Анхальт
Dacota Septentrionalis	Северная Дакота
Brandenburgum	Бранденбург
Urbs Hanseatica Brema	Бремен (земля)
Langobardia	Ломбардия
Dacota Meridiana	Южная Дакота
Montana	Монтана
Vyomina	Вайоминг
Pedemontium	Пьемонт
Hierosolyma	Иерусалим
Georgius Napolitano	Наполитано, Джорджо
Idahum	Айдахо
Vallis Augustana	Валле-д’Аоста
Vasingtonia	Вашингтон (штат)
Carolus Azelius Ciampi	Чампи, Карло Адзельо
Bruce Springsteen	Спрингстин, Брюс
Rutherfordium	Резерфордий
Nivata	Невада
Anscharius Aloisius Scalfaro	Скальфаро, Оскар Луиджи
Tanais	Дон
Franciscus Cossiga	Коссига, Франческо
Dubnium	Дубний
Alexander Pertini	Пертини, Алессандро
Seaborgium	Сиборгий
Ioannes Leone	Леоне, Джованни
Tridentinum-Athesia Superior/Tirolis Meridionalis	Трентино — Альто-Адидже
Iosephus Saragat	Сарагат, Джузеппе
Oceanus Indicus	Индийский океан
Antonius Segni	Сеньи, Антонио
Ioannes Gronchi	Гронки, Джованни
Aloisius Einaudi	Эйнауди, Луиджи
Venetia (regio)	Венето
Henricus De Nicola	Никола, Энрико де
Kosovia	Республика Косово
Mare Caribaeum	Карибское море
Bohrium	Борий
Forum Iulii-Venetia Iulia	Фриули-Венеция-Джулия
Hassium	Хассий
Ban Gi-mun	Пан Ги Мун
Kofi Annan	Аннан, Кофи
Liguria	Лигурия
Boutros Boutros-Ghali	Бутрос-Гали, Бутрос
